subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
2rd,VDACtrain,0,r,null,null,2,r,v,3,,,
2rd,VDACtrain,0,r,true,558.1999999880791,1,g,h,5,,,
2rd,VDACtrain,0,r,true,421.29999999701977,2,r,v,4,,,
2rd,VDACtrain,0,r,true,461.5,2,r,h,0,,,
2rd,VDACtrain,0,r,true,462.1000000089407,1,g,v,0,,,
2rd,VDACtrain,0,r,true,383.20000000298023,2,r,h,2,,,
2rd,VDACtrain,0,r,true,526.8999999910593,2,r,h,1,,,
2rd,VDACtrain,0,r,true,414.5,1,g,v,5,,,
2rd,VDACtrain,0,r,true,686.1000000089407,1,g,h,3,,,
2rd,VDACtrain,0,r,true,614.9000000059605,1,g,v,2,,,
2rd,VDACtest,1,r,true,608,1,g,v,4,,,
2rd,VDACtest,2,r,true,628.7000000029802,2,r,v,0,,,
2rd,VDACtest,3,r,true,565.6000000089407,2,r,h,3,,,
2rd,VDACtest,4,r,true,654.1999999880791,2,r,h,0,,,
2rd,VDACtest,5,r,true,581.7999999970198,2,r,v,1,,,
2rd,VDACtest,6,r,true,428.79999999701977,1,g,v,0,,,
2rd,VDACtest,7,r,true,454.29999999701977,2,r,v,1,,,
2rd,VDACtest,8,r,true,423.29999999701977,2,r,h,0,,,
2rd,VDACtest,9,r,true,532.5999999940395,2,r,v,2,,,
2rd,VDACtest,10,r,true,743.5,1,g,v,4,,,
2rd,VDACtest,11,r,true,526.6000000089407,1,g,h,4,,,
2rd,VDACtest,12,r,false,798.2000000029802,2,r,h,2,,,
2rd,VDACtest,13,r,true,621.8999999910593,1,g,v,5,,,
2rd,VDACtest,14,r,true,535,1,g,v,2,,,
2rd,VDACtest,15,r,true,437.20000000298023,2,r,h,1,,,
2rd,VDACtest,16,r,true,509.3999999910593,2,r,v,3,,,
2rd,VDACtest,17,r,true,447,2,r,h,0,,,
2rd,VDACtest,18,r,false,428.70000000298023,1,g,h,1,,,
2rd,VDACtest,19,r,true,654.8999999910593,2,r,h,4,,,
2rd,VDACtest,20,r,true,501.90000000596046,2,r,v,2,,,
2rd,VDACtest,21,r,true,469.6000000089407,1,g,v,4,,,
2rd,VDACtest,22,r,true,516.5,1,g,h,3,,,
2rd,VDACtest,23,r,true,933.9000000059605,1,g,h,1,,,
2rd,VDACtest,24,r,true,582.7999999970198,1,g,v,4,,,
2rd,VDACtest,25,r,false,590.2000000029802,2,r,v,3,,,
2rd,VDACtest,26,r,true,661.9000000059605,1,g,v,2,,,
2rd,VDACtest,27,r,true,549.8999999910593,1,g,h,4,,,
2rd,VDACtest,28,r,true,551.2000000029802,2,r,v,3,,,
2rd,VDACtest,29,r,true,541.4000000059605,2,r,v,2,,,
2rd,VDACtest,30,r,true,468.79999999701977,1,g,v,2,,,
2rd,VDACtest,31,r,true,541.1000000089407,2,r,v,4,,,
2rd,VDACtest,32,r,true,479,1,g,h,2,,,
2rd,VDACtest,33,r,true,414.5,2,r,v,4,,,
2rd,VDACtest,34,r,true,435,1,g,v,2,,,
2rd,VDACtest,35,r,true,654.3999999910593,2,r,v,4,,,
