subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
zt8,VDACtrain,0,g,null,null,2,g,v,2,,,
zt8,VDACtrain,0,g,true,798.5,2,g,h,3,,,
zt8,VDACtrain,0,g,true,673.7000000476837,1,r,h,2,,,
zt8,VDACtrain,0,g,true,587.2000000476837,2,g,h,5,,,
zt8,VDACtrain,0,g,true,750.5,1,r,h,0,,,
zt8,VDACtrain,0,g,true,859.0999999046326,1,r,h,1,,,
zt8,VDACtrain,0,g,true,779.2999999523163,1,r,v,4,,,
zt8,VDACtrain,0,g,true,714.7999999523163,2,g,v,5,,,
zt8,VDACtrain,0,g,false,898.6000001430511,1,r,v,3,,,
zt8,VDACtrain,0,g,true,723.1000001430511,2,g,v,0,,,
zt8,VDACtest,1,g,true,634.6999998092651,1,r,v,0,,,
zt8,VDACtest,2,g,false,594.6000001430511,1,r,h,5,,,
zt8,VDACtest,3,g,null,null,1,r,h,1,,,
zt8,VDACtest,4,g,true,532.8999998569489,1,r,v,5,,,
zt8,VDACtest,5,g,true,587.6000001430511,2,g,h,4,,,
zt8,VDACtest,6,g,false,584.7999999523163,1,r,h,0,,,
zt8,VDACtest,7,g,true,873.5,2,g,v,3,,,
zt8,VDACtest,8,g,true,842.9000000953674,1,r,h,3,,,
zt8,VDACtest,9,g,true,771,2,g,h,2,,,
zt8,VDACtest,10,g,true,850.7000000476837,1,r,h,2,,,
zt8,VDACtest,11,g,true,667.5,1,r,h,4,,,
zt8,VDACtest,12,g,true,563,1,r,h,4,,,
zt8,VDACtest,13,g,true,626.1000001430511,2,g,h,3,,,
zt8,VDACtest,14,g,true,684.1999998092651,1,r,v,4,,,
zt8,VDACtest,15,g,true,539.5,1,r,h,5,,,
zt8,VDACtest,16,g,true,499.7999999523163,1,r,h,4,,,
zt8,VDACtest,17,g,true,787.4000000953674,1,r,v,0,,,
zt8,VDACtest,18,g,false,586.7000000476837,2,g,h,0,,,
zt8,VDACtest,19,g,false,530.4000000953674,1,r,h,5,,,
zt8,VDACtest,20,g,true,539.4000000953674,2,g,v,4,,,
zt8,VDACtest,21,g,true,635.7000000476837,2,g,h,0,,,
zt8,VDACtest,22,g,true,851.9000000953674,2,g,v,1,,,
zt8,VDACtest,23,g,true,827.5,1,r,v,1,,,
zt8,VDACtest,24,g,true,499.10000014305115,1,r,h,3,,,
zt8,VDACtest,25,g,false,715.7000000476837,1,r,v,2,,,
zt8,VDACtest,26,g,true,798.2000000476837,2,g,v,4,,,
zt8,VDACtest,27,g,true,530.8999998569489,1,r,v,0,,,
zt8,VDACtest,28,g,true,826.7999999523163,2,g,v,0,,,
zt8,VDACtest,29,g,true,611.5,2,g,v,2,,,
zt8,VDACtest,30,g,true,778.7999999523163,2,g,v,2,,,
zt8,VDACtest,31,g,true,843.2000000476837,1,r,h,1,,,
zt8,VDACtest,32,g,true,515,1,r,v,5,,,
zt8,VDACtest,33,g,true,505.89999985694885,2,g,v,5,,,
zt8,VDACtest,34,g,null,null,2,g,h,4,,,
zt8,VDACtest,35,g,true,676.6999998092651,2,g,h,0,,,
zt8,VDACtest,36,g,true,622.7999999523163,2,g,h,4,,,
zt8,VDACtest,37,g,true,547.4000000953674,2,g,v,4,,,
zt8,VDACtest,38,g,false,642.6999998092651,1,r,h,0,,,
zt8,VDACtest,39,g,true,540.5,1,r,h,2,,,
zt8,VDACtest,40,g,true,652.5,2,g,v,1,,,
