subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
qoq,VDACtrain,0,g,null,null,1,r,v,4,,,
qoq,VDACtrain,0,g,true,395.6999999284744,2,g,h,3,,,
qoq,VDACtrain,0,g,true,394.10000002384186,2,g,v,5,,,
qoq,VDACtrain,0,g,true,470.3000000715256,2,g,v,0,,,
qoq,VDACtrain,0,g,true,249.5,2,g,h,5,,,
qoq,VDACtrain,0,g,false,280.39999997615814,1,r,h,2,,,
qoq,VDACtrain,0,g,null,null,1,r,h,1,,,
qoq,VDACtrain,0,g,true,617.1000000238419,1,r,h,0,,,
qoq,VDACtrain,0,g,true,522.1999999284744,2,g,v,2,,,
qoq,VDACtrain,0,g,false,410.60000002384186,1,r,v,3,,,
qoq,VDACtest,1,g,true,493.6999999284744,2,g,h,3,,,
qoq,VDACtest,2,g,false,507.2000000476837,2,g,h,4,,,
qoq,VDACtest,3,g,true,570.2000000476837,2,g,h,3,,,
qoq,VDACtest,4,g,false,364.2000000476837,1,r,h,3,,,
qoq,VDACtest,5,g,true,748.7000000476837,1,r,h,4,,,
qoq,VDACtest,6,g,true,441.89999997615814,2,g,v,4,,,
qoq,VDACtest,7,g,true,538.8000000715256,2,g,h,5,,,
qoq,VDACtest,8,g,true,523.7999999523163,1,r,v,3,,,
qoq,VDACtest,9,g,true,555.1000000238419,2,g,v,0,,,
qoq,VDACtest,10,g,true,490.10000002384186,1,r,h,3,,,
qoq,VDACtest,11,g,false,444.5,1,r,v,2,,,
qoq,VDACtest,12,g,true,666.6000000238419,2,g,h,5,,,
qoq,VDACtest,13,g,true,428.5,1,r,h,3,,,
qoq,VDACtest,14,g,true,522.2999999523163,1,r,h,4,,,
qoq,VDACtest,15,g,true,555,2,g,v,0,,,
qoq,VDACtest,16,g,true,650.8000000715256,1,r,h,4,,,
qoq,VDACtest,17,g,true,651.5,1,r,v,4,,,
qoq,VDACtest,18,g,true,777.1999999284744,2,g,h,3,,,
qoq,VDACtest,19,g,true,667.2999999523163,2,g,h,2,,,
qoq,VDACtest,20,g,false,314.5,2,g,h,0,,,
qoq,VDACtest,21,g,true,411.2000000476837,1,r,v,4,,,
qoq,VDACtest,22,g,true,571.6999999284744,2,g,h,4,,,
qoq,VDACtest,23,g,false,683.7000000476837,2,g,v,2,,,
qoq,VDACtest,24,g,true,475.7000000476837,1,r,h,4,,,
qoq,VDACtest,25,g,null,null,1,r,h,2,,,
qoq,VDACtest,26,g,true,700.4000000953674,2,g,h,0,,,
qoq,VDACtest,27,g,true,683.6000000238419,2,g,h,4,,,
qoq,VDACtest,28,g,true,698.8999999761581,1,r,h,0,,,
qoq,VDACtest,29,g,true,747.8999999761581,2,g,h,1,,,
qoq,VDACtest,30,g,true,617.3999999761581,2,g,v,1,,,
qoq,VDACtest,31,g,true,507.39999997615814,1,r,v,4,,,
qoq,VDACtest,32,g,true,603.8000000715256,1,r,h,4,,,
qoq,VDACtest,33,g,true,571,2,g,v,1,,,
qoq,VDACtest,34,g,true,618.1000000238419,2,g,h,1,,,
qoq,VDACtest,35,g,false,551.8000000715256,2,g,h,1,,,
qoq,VDACtest,36,g,true,620.0999999046326,1,r,h,5,,,
qoq,VDACtest,37,g,true,539.0999999046326,1,r,h,5,,,
qoq,VDACtest,38,g,true,506.89999997615814,2,g,v,1,,,
qoq,VDACtest,39,g,false,475.60000002384186,1,r,v,3,,,
qoq,VDACtest,40,g,true,507.2000000476837,2,g,v,1,,,
qoq,VDACtest,41,g,true,649.7000000476837,2,g,v,2,,,
qoq,VDACtest,42,g,null,null,2,g,v,1,,,
qoq,VDACtest,43,g,true,766.8000000715256,2,g,v,1,,,
qoq,VDACtest,44,g,true,522.8999999761581,2,g,v,4,,,
qoq,VDACtest,45,g,true,699.7000000476837,1,r,h,4,,,
qoq,VDACtest,46,g,true,634.3999999761581,2,g,h,4,,,
qoq,VDACtest,47,g,true,635.6000000238419,2,g,h,0,,,
qoq,VDACtest,48,g,true,555.6000000238419,1,r,h,0,,,
qoq,VDACtest,49,g,false,506.7000000476837,1,r,v,5,,,
qoq,VDACtest,50,g,true,650,2,g,h,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
qoq,VDACtest,51,g,false,630.6000000238419,1,r,v,3,,,
qoq,VDACtest,52,g,true,725.1000000238419,1,r,h,2,,,
qoq,VDACtest,53,g,true,411.7999999523163,2,g,v,0,,,
qoq,VDACtest,54,g,true,427.2000000476837,2,g,h,4,,,
qoq,VDACtest,55,g,true,810.8000000715256,1,r,h,3,,,
qoq,VDACtest,56,g,true,473.7999999523163,2,g,v,4,,,
qoq,VDACtest,57,g,true,507.60000002384186,2,g,h,2,,,
qoq,VDACtest,58,g,true,506.8000000715256,2,g,h,5,,,
qoq,VDACtest,59,g,true,474.2999999523163,2,g,h,5,,,
qoq,VDACtest,60,g,true,586.6000000238419,1,r,v,2,,,
qoq,VDACtest,61,g,true,637,2,g,v,2,,,
qoq,VDACtest,62,g,null,null,1,r,h,1,,,
qoq,VDACtest,63,g,true,557.2000000476837,2,g,v,3,,,
qoq,VDACtest,64,g,true,539.4000000953674,1,r,v,3,,,
qoq,VDACtest,65,g,true,506.60000002384186,1,r,v,0,,,
qoq,VDACtest,66,g,true,587.1999999284744,1,r,h,1,,,
qoq,VDACtest,67,g,true,603.1000000238419,1,r,h,1,,,
qoq,VDACtest,68,g,false,651.6000000238419,1,r,h,1,,,
qoq,VDACtest,69,g,true,651.5,1,r,h,5,,,
qoq,VDACtest,70,g,true,459.10000002384186,1,r,h,2,,,
qoq,VDACtest,71,g,true,571.4000000953674,1,r,v,5,,,
qoq,VDACtest,72,g,true,745.3999999761581,1,r,h,2,,,
qoq,VDACtest,73,g,true,648.8999999761581,1,r,h,4,,,
qoq,VDACtest,74,g,true,488.2000000476837,1,r,v,5,,,
qoq,VDACtest,75,g,true,698.3999999761581,2,g,h,3,,,
qoq,VDACtest,76,g,true,603,1,r,h,1,,,
qoq,VDACtest,77,g,true,507.10000002384186,1,r,h,0,,,
qoq,VDACtest,78,g,true,491.1999999284744,1,r,h,0,,,
qoq,VDACtest,79,g,true,424.39999997615814,2,g,v,5,,,
qoq,VDACtest,80,g,null,null,1,r,v,1,,,
qoq,VDACtest,81,g,true,397.40000009536743,2,g,v,0,,,
qoq,VDACtest,82,g,true,505.7000000476837,2,g,h,2,,,
qoq,VDACtest,83,g,true,425.89999997615814,2,g,v,2,,,
qoq,VDACtest,84,g,true,377.5,2,g,h,2,,,
qoq,VDACtest,85,g,true,522.6999999284744,1,r,v,1,,,
qoq,VDACtest,86,g,true,779.1999999284744,2,g,h,4,,,
qoq,VDACtest,87,g,true,556.3999999761581,1,r,v,3,,,
qoq,VDACtest,88,g,true,555.2999999523163,2,g,v,5,,,
qoq,VDACtest,89,g,true,459.7999999523163,1,r,v,5,,,
qoq,VDACtest,90,g,true,507.5,1,r,v,1,,,
qoq,VDACtest,91,g,true,570.1000000238419,2,g,h,2,,,
qoq,VDACtest,92,g,true,378.90000009536743,2,g,v,0,,,
