subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
04l,VDACtrain,0,g,null,null,1,r,v,3,,,
04l,VDACtrain,0,g,true,760.1000001430511,1,r,h,2,,,
04l,VDACtrain,0,g,true,868,2,g,v,0,,,
04l,VDACtrain,0,g,true,913.4000000953674,2,g,v,5,,,
04l,VDACtrain,0,g,true,709.1000001430511,2,g,h,3,,,
04l,VDACtrain,0,g,true,805.2999999523163,1,r,h,1,,,
04l,VDACtrain,0,g,true,851.5999999046326,1,r,v,4,,,
04l,VDACtrain,0,g,false,740.4000000953674,1,r,h,0,,,
04l,VDACtrain,0,g,null,null,2,g,h,5,,,
04l,VDACtrain,0,g,null,null,2,g,v,2,,,
04l,VDACtest,1,g,true,957.7999999523163,1,r,h,4,,,
04l,VDACtest,2,g,true,866.9000000953674,2,g,h,1,,,
04l,VDACtest,3,g,true,635.5,2,g,v,0,,,
04l,VDACtest,4,g,true,452.39999985694885,2,g,h,3,,,
04l,VDACtest,5,g,true,443.59999990463257,2,g,v,0,,,
04l,VDACtest,6,g,true,677.2000000476837,1,r,v,5,,,
04l,VDACtest,7,g,true,716.1000001430511,2,g,h,4,,,
04l,VDACtest,8,g,true,693.1999998092651,2,g,h,3,,,
04l,VDACtest,9,g,false,636.2000000476837,2,g,h,0,,,
04l,VDACtest,10,g,true,812.3000001907349,2,g,v,2,,,
04l,VDACtest,11,g,true,653.1999998092651,2,g,h,3,,,
04l,VDACtest,12,g,true,811.5,1,r,v,0,,,
04l,VDACtest,13,g,false,756.2000000476837,1,r,h,3,,,
04l,VDACtest,14,g,null,null,2,g,v,1,,,
04l,VDACtest,15,g,true,670.0999999046326,1,r,v,0,,,
04l,VDACtest,16,g,true,606.2000000476837,2,g,h,5,,,
04l,VDACtest,17,g,true,467.39999985694885,1,r,v,0,,,
04l,VDACtest,18,g,false,612.1000001430511,1,r,h,4,,,
04l,VDACtest,19,g,true,844.7000000476837,1,r,h,0,,,
04l,VDACtest,20,g,true,604.0999999046326,2,g,v,5,,,
04l,VDACtest,21,g,true,923.6999998092651,1,r,h,0,,,
04l,VDACtest,22,g,true,756.5,1,r,h,3,,,
04l,VDACtest,23,g,true,978,2,g,h,2,,,
04l,VDACtest,24,g,true,844.5999999046326,1,r,v,1,,,
04l,VDACtest,25,g,true,787.9000000953674,2,g,h,0,,,
04l,VDACtest,26,g,true,687.7000000476837,2,g,h,1,,,
04l,VDACtest,27,g,true,709.5999999046326,1,r,v,5,,,
04l,VDACtest,28,g,true,588.5,1,r,h,5,,,
04l,VDACtest,29,g,true,996.2000000476837,1,r,v,0,,,
04l,VDACtest,30,g,true,570.5,1,r,v,5,,,
04l,VDACtest,31,g,true,933.5,1,r,h,3,,,
04l,VDACtest,32,g,true,707.9000000953674,1,r,v,1,,,
04l,VDACtest,33,g,true,621.5,2,g,h,0,,,
04l,VDACtest,34,g,true,789.3000001907349,1,r,v,3,,,
04l,VDACtest,35,g,true,635.7999999523163,1,r,v,1,,,
04l,VDACtest,36,g,false,476.60000014305115,2,g,v,2,,,
04l,VDACtest,37,g,true,952.7000000476837,2,g,h,5,,,
04l,VDACtest,38,g,true,739.3999998569489,1,r,v,4,,,
04l,VDACtest,39,g,true,861.2000000476837,2,g,h,2,,,
04l,VDACtest,40,g,true,500.2000000476837,1,r,v,1,,,
04l,VDACtest,41,g,true,708,1,r,v,2,,,
04l,VDACtest,42,g,null,null,2,g,h,3,,,
04l,VDACtest,43,g,true,758.9000000953674,1,r,v,4,,,
04l,VDACtest,44,g,true,796.5,1,r,v,1,,,
04l,VDACtest,45,g,true,850.3999998569489,1,r,h,3,,,
04l,VDACtest,46,g,true,925.2999999523163,2,g,h,1,,,
04l,VDACtest,47,g,true,625.6000001430511,1,r,v,2,,,
04l,VDACtest,48,g,true,973.5,1,r,v,4,,,
04l,VDACtest,49,g,true,540.2000000476837,2,g,h,5,,,
04l,VDACtest,50,g,true,547.2999999523163,1,r,v,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
04l,VDACtest,51,g,true,936.2000000476837,2,g,v,5,,,
04l,VDACtest,52,g,false,555.9000000953674,2,g,h,5,,,
04l,VDACtest,53,g,true,720.8999998569489,2,g,v,4,,,
04l,VDACtest,54,g,true,834.7000000476837,2,g,v,0,,,
04l,VDACtest,55,g,true,566.9000000953674,1,r,h,2,,,
04l,VDACtest,56,g,true,533.4000000953674,2,g,v,0,,,
04l,VDACtest,57,g,false,565.3999998569489,1,r,v,3,,,
04l,VDACtest,58,g,true,757.6999998092651,1,r,h,3,,,
04l,VDACtest,59,g,true,923.7000000476837,2,g,h,1,,,
04l,VDACtest,60,g,true,725.4000000953674,2,g,h,2,,,
04l,VDACtest,61,g,true,470.10000014305115,1,r,v,5,,,
04l,VDACtest,62,g,true,763.5,1,r,h,1,,,
04l,VDACtest,63,g,true,748.9000000953674,2,g,v,3,,,
