subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
7ll,VDACtrain,0,g,null,null,2,g,v,0,,,
7ll,VDACtrain,0,g,null,null,2,g,h,5,,,
7ll,VDACtrain,0,g,null,null,1,r,h,0,,,
7ll,VDACtrain,0,g,true,729.7000000476837,2,g,v,5,,,
7ll,VDACtrain,0,g,null,null,2,g,v,2,,,
7ll,VDACtrain,0,g,true,893.5,1,r,v,4,,,
7ll,VDACtrain,0,g,true,695.3999998569489,1,r,h,2,,,
7ll,VDACtrain,0,g,true,968.0999999046326,1,r,h,1,,,
7ll,VDACtrain,0,g,true,616.9000000953674,1,r,v,3,,,
7ll,VDACtrain,0,g,true,895.5999999046326,2,g,h,3,,,
7ll,VDACtest,1,g,true,521.7000000476837,1,r,h,3,,,
7ll,VDACtest,2,g,true,518.7000000476837,2,g,v,3,,,
7ll,VDACtest,3,g,true,856,2,g,h,1,,,
7ll,VDACtest,4,g,false,711.9000000953674,1,r,v,1,,,
7ll,VDACtest,5,g,null,null,1,r,h,5,,,
7ll,VDACtest,6,g,true,758.3999998569489,2,g,h,2,,,
7ll,VDACtest,7,g,true,808.7000000476837,1,r,h,5,,,
7ll,VDACtest,8,g,true,673.3999998569489,2,g,h,1,,,
7ll,VDACtest,9,g,true,959.5,1,r,v,3,,,
7ll,VDACtest,10,g,true,688.7999999523163,1,r,v,5,,,
7ll,VDACtest,11,g,true,496.7999999523163,1,r,v,4,,,
7ll,VDACtest,12,g,true,863.1000001430511,2,g,h,0,,,
7ll,VDACtest,13,g,true,848.1000001430511,1,r,h,2,,,
7ll,VDACtest,14,g,true,569,2,g,v,4,,,
7ll,VDACtest,15,g,false,760.5,2,g,v,1,,,
7ll,VDACtest,16,g,false,751.1000001430511,2,g,v,1,,,
7ll,VDACtest,17,g,true,776.7999999523163,1,r,v,4,,,
7ll,VDACtest,18,g,null,null,1,r,v,3,,,
7ll,VDACtest,19,g,true,773.1999998092651,2,g,v,1,,,
7ll,VDACtest,20,g,true,945.5,2,g,v,5,,,
7ll,VDACtest,21,g,null,null,1,r,v,3,,,
7ll,VDACtest,22,g,true,641.2000000476837,2,g,h,4,,,
7ll,VDACtest,23,g,null,null,1,r,v,4,,,
7ll,VDACtest,24,g,true,992.7000000476837,1,r,v,3,,,
7ll,VDACtest,25,g,null,null,1,r,v,5,,,
7ll,VDACtest,26,g,true,784.3000001907349,2,g,v,3,,,
7ll,VDACtest,27,g,true,512.7000000476837,2,g,h,4,,,
7ll,VDACtest,28,g,false,830.7000000476837,1,r,v,2,,,
7ll,VDACtest,29,g,true,648,2,g,v,1,,,
7ll,VDACtest,30,g,true,872.6999998092651,1,r,v,1,,,
7ll,VDACtest,31,g,true,663.7999999523163,2,g,h,2,,,
7ll,VDACtest,32,g,false,689.2999999523163,1,r,h,3,,,
7ll,VDACtest,33,g,true,775.2999999523163,2,g,h,2,,,
7ll,VDACtest,34,g,false,641.2000000476837,2,g,v,4,,,
7ll,VDACtest,35,g,null,null,2,g,v,0,,,
