subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
xfv,VDACtrain,0,g,null,null,2,g,h,5,,,
xfv,VDACtrain,0,g,true,767,2,g,v,2,,,
xfv,VDACtrain,0,g,true,712.9000000953674,1,r,h,1,,,
xfv,VDACtrain,0,g,true,626.2000000476837,1,r,v,4,,,
xfv,VDACtrain,0,g,true,424.09999990463257,2,g,h,3,,,
xfv,VDACtrain,0,g,false,703.3000001907349,2,g,v,0,,,
xfv,VDACtrain,0,g,true,713.4000000953674,1,r,h,2,,,
xfv,VDACtrain,0,g,false,521.1000001430511,1,r,v,3,,,
xfv,VDACtrain,0,g,true,738.8000001907349,2,g,v,5,,,
xfv,VDACtrain,0,g,true,673.0999999046326,1,r,h,0,,,
xfv,VDACtest,1,g,false,602.2000000476837,2,g,h,4,,,
xfv,VDACtest,2,g,true,688.6999998092651,1,r,v,3,,,
xfv,VDACtest,3,g,true,705,2,g,v,2,,,
xfv,VDACtest,4,g,true,615.8999998569489,1,r,h,0,,,
xfv,VDACtest,5,g,false,561.2000000476837,1,r,h,5,,,
xfv,VDACtest,6,g,true,552.5,1,r,v,5,,,
xfv,VDACtest,7,g,true,610.4000000953674,2,g,v,4,,,
xfv,VDACtest,8,g,true,775.9000000953674,1,r,v,0,,,
xfv,VDACtest,9,g,true,550.7999999523163,1,r,v,4,,,
xfv,VDACtest,10,g,true,376.5,1,r,v,5,,,
xfv,VDACtest,11,g,false,624.6000001430511,1,r,h,4,,,
xfv,VDACtest,12,g,true,648.9000000953674,2,g,v,1,,,
xfv,VDACtest,13,g,true,568.2000000476837,2,g,h,4,,,
xfv,VDACtest,14,g,true,625.2999999523163,1,r,v,1,,,
xfv,VDACtest,15,g,false,609.5,1,r,h,4,,,
xfv,VDACtest,16,g,true,577.8999998569489,2,g,v,4,,,
xfv,VDACtest,17,g,true,577.4000000953674,2,g,h,3,,,
xfv,VDACtest,18,g,true,696,2,g,h,2,,,
xfv,VDACtest,19,g,false,544.8999998569489,2,g,v,1,,,
xfv,VDACtest,20,g,true,672,2,g,v,5,,,
xfv,VDACtest,21,g,true,513,1,r,h,2,,,
xfv,VDACtest,22,g,true,589.7000000476837,2,g,h,2,,,
xfv,VDACtest,23,g,false,738.1999998092651,2,g,h,5,,,
xfv,VDACtest,24,g,true,561.5,1,r,v,5,,,
xfv,VDACtest,25,g,true,737.5,1,r,v,2,,,
xfv,VDACtest,26,g,true,577.7000000476837,1,r,v,3,,,
xfv,VDACtest,27,g,true,522.5999999046326,1,r,v,1,,,
xfv,VDACtest,28,g,true,553.0999999046326,1,r,v,4,,,
xfv,VDACtest,29,g,true,735.2999999523163,2,g,v,1,,,
xfv,VDACtest,30,g,true,569.5,2,g,h,1,,,
xfv,VDACtest,31,g,true,608.6000001430511,1,r,h,2,,,
xfv,VDACtest,32,g,true,744.7000000476837,2,g,v,3,,,
xfv,VDACtest,33,g,true,776.7000000476837,1,r,h,0,,,
