subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
7kz,VDACtrain,0,g,null,null,1,r,v,3,,,
7kz,VDACtrain,0,g,true,927.0999999046326,1,r,h,2,,,
7kz,VDACtrain,0,g,false,887.5999999046326,1,r,h,0,,,
7kz,VDACtrain,0,g,null,null,1,r,v,4,,,
7kz,VDACtrain,0,g,null,null,2,g,v,2,,,
7kz,VDACtrain,0,g,true,786.1999998092651,2,g,h,3,,,
7kz,VDACtrain,0,g,false,786,1,r,h,1,,,
7kz,VDACtrain,0,g,null,null,2,g,h,5,,,
7kz,VDACtrain,0,g,null,null,2,g,v,5,,,
7kz,VDACtrain,0,g,true,711.9000000953674,2,g,v,0,,,
7kz,VDACtest,1,g,true,764.2000002861023,2,g,h,3,,,
7kz,VDACtest,2,g,true,673.0999999046326,1,r,v,4,,,
7kz,VDACtest,3,g,true,714.7000002861023,2,g,h,3,,,
7kz,VDACtest,4,g,true,690.4000000953674,1,r,v,3,,,
7kz,VDACtest,5,g,true,881.0999999046326,2,g,h,4,,,
7kz,VDACtest,6,g,false,666.0999999046326,2,g,v,4,,,
7kz,VDACtest,7,g,false,632.5,2,g,v,5,,,
7kz,VDACtest,8,g,null,null,1,r,v,2,,,
7kz,VDACtest,9,g,true,619,1,r,h,2,,,
7kz,VDACtest,10,g,false,664.5999999046326,2,g,v,3,,,
7kz,VDACtest,11,g,true,865.8000001907349,1,r,v,4,,,
7kz,VDACtest,12,g,null,null,2,g,v,1,,,
7kz,VDACtest,13,g,true,847.7999997138977,1,r,h,1,,,
7kz,VDACtest,14,g,true,929,1,r,h,1,,,
7kz,VDACtest,15,g,null,null,1,r,h,3,,,
7kz,VDACtest,16,g,true,577.9000000953674,2,g,v,3,,,
7kz,VDACtest,17,g,true,843.0999999046326,2,g,h,0,,,
7kz,VDACtest,18,g,false,729.9000000953674,2,g,h,1,,,
7kz,VDACtest,19,g,false,833.8000001907349,2,g,v,2,,,
7kz,VDACtest,20,g,null,null,1,r,v,4,,,
7kz,VDACtest,21,g,false,570.4000000953674,2,g,v,4,,,
7kz,VDACtest,22,g,true,729.8999996185303,2,g,v,0,,,
