subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
dvt,VDACtrain,0,g,null,null,1,r,h,2,,,
dvt,VDACtrain,0,g,null,null,1,r,v,4,,,
dvt,VDACtrain,0,g,true,691.8999999910593,2,g,v,5,,,
dvt,VDACtrain,0,g,null,null,2,g,h,5,,,
dvt,VDACtrain,0,g,false,625.5,2,g,h,3,,,
dvt,VDACtrain,0,g,true,741.7999999970198,2,g,v,0,,,
dvt,VDACtrain,0,g,true,831.0999999940395,1,r,h,1,,,
dvt,VDACtrain,0,g,false,705,1,r,h,0,,,
dvt,VDACtrain,0,g,true,718.2999999970198,1,r,v,3,,,
dvt,VDACtrain,0,g,null,null,2,g,v,2,,,
dvt,VDACtest,1,g,true,821.8999999910593,2,g,v,5,,,
dvt,VDACtest,2,g,false,676.7000000029802,1,r,v,0,,,
dvt,VDACtest,3,g,true,740.2999999970198,1,r,h,3,,,
dvt,VDACtest,4,g,true,541.5,2,g,v,4,,,
dvt,VDACtest,5,g,true,565.2999999970198,1,r,h,4,,,
dvt,VDACtest,6,g,true,718.2999999970198,2,g,v,2,,,
dvt,VDACtest,7,g,true,741.3999999910593,2,g,v,3,,,
dvt,VDACtest,8,g,true,462.79999999701977,1,r,h,0,,,
dvt,VDACtest,9,g,false,544.7000000029802,2,g,v,4,,,
dvt,VDACtest,10,g,true,589.4000000059605,1,r,v,5,,,
dvt,VDACtest,11,g,true,637.6000000089407,2,g,v,0,,,
dvt,VDACtest,12,g,true,389.8999999910593,1,r,h,4,,,
dvt,VDACtest,13,g,null,null,2,g,h,0,,,
dvt,VDACtest,14,g,null,null,1,r,v,2,,,
dvt,VDACtest,15,g,true,477,1,r,h,4,,,
dvt,VDACtest,16,g,true,758.0999999940395,1,r,h,5,,,
dvt,VDACtest,17,g,true,715.7999999970198,1,r,v,4,,,
dvt,VDACtest,18,g,true,557.2999999970198,2,g,v,4,,,
dvt,VDACtest,19,g,true,493.40000000596046,2,g,v,4,,,
dvt,VDACtest,20,g,true,708.7999999970198,2,g,h,2,,,
dvt,VDACtest,21,g,true,869,2,g,h,4,,,
dvt,VDACtest,22,g,true,669,1,r,h,1,,,
dvt,VDACtest,23,g,true,606.5,1,r,v,1,,,
dvt,VDACtest,24,g,true,677.4000000059605,1,r,h,4,,,
dvt,VDACtest,25,g,true,766.7000000029802,1,r,h,0,,,
dvt,VDACtest,26,g,true,725,1,r,h,0,,,
dvt,VDACtest,27,g,true,510.1000000089407,1,r,h,2,,,
dvt,VDACtest,28,g,true,645,1,r,v,3,,,
dvt,VDACtest,29,g,true,558.2000000029802,1,r,h,3,,,
dvt,VDACtest,30,g,true,644.8000000119209,1,r,v,1,,,
dvt,VDACtest,31,g,true,573.2000000029802,1,r,h,1,,,
dvt,VDACtest,32,g,true,619.7000000029802,2,g,h,1,,,
dvt,VDACtest,33,g,null,null,1,r,v,4,,,
dvt,VDACtest,34,g,null,null,2,g,v,1,,,
dvt,VDACtest,35,g,true,555.5999999940395,1,r,h,5,,,
dvt,VDACtest,36,g,true,868.4000000059605,2,g,h,0,,,
dvt,VDACtest,37,g,true,533.6999999880791,1,r,h,1,,,
dvt,VDACtest,38,g,true,622.1999999880791,2,g,v,1,,,
dvt,VDACtest,39,g,true,669.6999999880791,2,g,v,5,,,
dvt,VDACtest,40,g,true,517,1,r,h,1,,,
dvt,VDACtest,41,g,true,623,2,g,v,0,,,
dvt,VDACtest,42,g,null,null,2,g,h,2,,,
dvt,VDACtest,43,g,true,643,2,g,h,3,,,
dvt,VDACtest,44,g,true,607,2,g,v,0,,,
dvt,VDACtest,45,g,true,572.2999999970198,2,g,h,4,,,
dvt,VDACtest,46,g,null,null,1,r,v,1,,,
dvt,VDACtest,47,g,true,673,2,g,v,2,,,
dvt,VDACtest,48,g,true,860.2999999970198,2,g,h,4,,,
dvt,VDACtest,49,g,true,853.0999999940395,2,g,v,1,,,
dvt,VDACtest,50,g,true,492.5,2,g,h,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
dvt,VDACtest,51,g,true,644,2,g,h,5,,,
dvt,VDACtest,52,g,true,676.2999999970198,2,g,h,4,,,
dvt,VDACtest,53,g,true,429.79999999701977,2,g,h,4,,,
dvt,VDACtest,54,g,true,862.7000000029802,2,g,v,1,,,
dvt,VDACtest,55,g,true,660.5,2,g,v,1,,,
dvt,VDACtest,56,g,true,669.3000000119209,2,g,h,4,,,
dvt,VDACtest,57,g,false,662.3999999910593,1,r,v,4,,,
dvt,VDACtest,58,g,null,null,2,g,v,2,,,
dvt,VDACtest,59,g,true,769.4000000059605,2,g,h,1,,,
dvt,VDACtest,60,g,true,549.5999999940395,1,r,h,0,,,
dvt,VDACtest,61,g,true,595.5999999940395,1,r,v,3,,,
dvt,VDACtest,62,g,true,660.9000000059605,2,g,h,4,,,
dvt,VDACtest,63,g,true,693.8999999910593,2,g,h,0,,,
dvt,VDACtest,64,g,true,820.1000000089407,2,g,h,5,,,
dvt,VDACtest,65,g,true,620.5,2,g,h,2,,,
dvt,VDACtest,66,g,true,581.4000000059605,2,g,h,1,,,
dvt,VDACtest,67,g,true,677.7000000029802,1,r,v,1,,,
dvt,VDACtest,68,g,true,524.3000000119209,2,g,h,3,,,
dvt,VDACtest,69,g,true,508.59999999403954,1,r,v,4,,,
dvt,VDACtest,70,g,true,517.7000000029802,2,g,h,3,,,
dvt,VDACtest,71,g,true,694.5999999940395,1,r,v,2,,,
dvt,VDACtest,72,g,true,734.5,1,r,v,5,,,
dvt,VDACtest,73,g,true,885.2000000029802,2,g,h,2,,,
dvt,VDACtest,74,g,true,574.2000000029802,2,g,v,5,,,
dvt,VDACtest,75,g,true,770.3999999910593,2,g,h,5,,,
dvt,VDACtest,76,g,true,566.2000000029802,1,r,h,5,,,
dvt,VDACtest,77,g,true,559.1999999880791,2,g,v,4,,,
dvt,VDACtest,78,g,true,555.7000000029802,1,r,h,3,,,
dvt,VDACtest,79,g,true,613.9000000059605,1,r,h,5,,,
dvt,VDACtest,80,g,true,606.2999999970198,1,r,h,1,,,
dvt,VDACtest,81,g,true,644.1000000089407,1,r,h,3,,,
dvt,VDACtest,82,g,true,653.5,1,r,v,0,,,
dvt,VDACtest,83,g,true,718.1999999880791,1,r,v,3,,,
dvt,VDACtest,84,g,true,502.29999999701977,1,r,v,4,,,
dvt,VDACtest,85,g,true,443,1,r,v,5,,,
dvt,VDACtest,86,g,true,662.7000000029802,1,r,h,2,,,
dvt,VDACtest,87,g,true,797.3999999910593,2,g,v,3,,,
dvt,VDACtest,88,g,true,740.9000000059605,2,g,v,2,,,
dvt,VDACtest,89,g,true,678.1999999880791,2,g,v,2,,,
dvt,VDACtest,90,g,true,654.7000000029802,2,g,h,2,,,
dvt,VDACtest,91,g,true,820,2,g,h,1,,,
dvt,VDACtest,92,g,true,581.5999999940395,1,r,v,1,,,
dvt,VDACtest,93,g,true,709.8999999910593,2,g,h,1,,,
dvt,VDACtest,94,g,true,853.7999999970198,2,g,h,3,,,
dvt,VDACtest,95,g,true,662.7999999970198,2,g,v,1,,,
dvt,VDACtest,96,g,true,694.3999999910593,1,r,v,0,,,
dvt,VDACtest,97,g,true,595.7999999970198,2,g,v,1,,,
dvt,VDACtest,98,g,true,574.4000000059605,1,r,v,3,,,
dvt,VDACtest,99,g,true,508.5,2,g,v,3,,,
dvt,VDACtest,100,g,true,659.5999999940395,2,g,v,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
dvt,VDACtest,101,g,true,771.3999999910593,2,g,h,3,,,
dvt,VDACtest,102,g,true,461.70000000298023,2,g,h,3,,,
dvt,VDACtest,103,g,true,416.20000000298023,2,g,h,3,,,
dvt,VDACtest,104,g,true,420,1,r,v,0,,,
dvt,VDACtest,105,g,true,580.5,1,r,v,2,,,
dvt,VDACtest,106,g,true,541.2999999970198,1,r,v,2,,,
dvt,VDACtest,107,g,true,479,1,r,v,2,,,
dvt,VDACtest,108,g,true,650.9000000059605,2,g,v,3,,,
dvt,VDACtest,109,g,true,469.70000000298023,2,g,v,4,,,
dvt,VDACtest,110,g,true,677.2999999970198,2,g,h,5,,,
dvt,VDACtest,111,g,true,661.9000000059605,1,r,h,4,,,
dvt,VDACtest,112,g,true,716.9000000059605,2,g,v,0,,,
dvt,VDACtest,113,g,true,566,2,g,v,0,,,
dvt,VDACtest,114,g,true,459.5,1,r,h,4,,,
dvt,VDACtest,115,g,true,700.8999999910593,2,g,h,2,,,
dvt,VDACtest,116,g,true,573.3999999910593,2,g,v,0,,,
dvt,VDACtest,117,g,true,717.2999999970198,1,r,v,5,,,
dvt,VDACtest,118,g,true,458.79999999701977,1,r,v,0,,,
dvt,VDACtest,119,g,true,869.6000000089407,2,g,v,3,,,
dvt,VDACtest,120,g,true,781.2999999970198,2,g,h,1,,,
dvt,VDACtest,121,g,true,573.7999999970198,1,r,h,3,,,
dvt,VDACtest,122,g,true,453.5,1,r,h,3,,,
dvt,VDACtest,123,g,true,877.2000000029802,2,g,h,1,,,
dvt,VDACtest,124,g,true,467.70000000298023,1,r,h,2,,,
dvt,VDACtest,125,g,true,550,1,r,h,4,,,
dvt,VDACtest,126,g,true,525,1,r,h,3,,,
dvt,VDACtest,127,g,true,542.3999999910593,1,r,h,5,,,
dvt,VDACtest,128,g,true,637.7999999970198,1,r,v,4,,,
dvt,VDACtest,129,g,true,516.6000000089407,1,r,v,1,,,
dvt,VDACtest,130,g,true,708.5,1,r,v,4,,,
dvt,VDACtest,131,g,true,676.7999999970198,2,g,v,0,,,
dvt,VDACtest,132,g,true,555.5999999940395,1,r,v,1,,,
dvt,VDACtest,133,g,true,558.4000000059605,1,r,h,0,,,
dvt,VDACtest,134,g,true,620.7999999970198,2,g,v,1,,,
dvt,VDACtest,135,g,true,572.2999999970198,1,r,v,0,,,
dvt,VDACtest,136,g,true,637,1,r,h,2,,,
dvt,VDACtest,137,g,true,724.4000000059605,2,g,h,1,,,
dvt,VDACtest,138,g,true,637.3999999910593,2,g,h,2,,,
dvt,VDACtest,139,g,true,514.6000000089407,1,r,h,2,,,
dvt,VDACtest,140,g,true,533.2000000029802,1,r,h,2,,,
dvt,VDACtest,141,g,true,565.5999999940395,1,r,v,5,,,
dvt,VDACtest,142,g,true,597.1999999880791,2,g,v,5,,,
dvt,VDACtest,143,g,true,677.7000000029802,1,r,v,0,,,
dvt,VDACtest,144,g,true,604.3999999910593,1,r,h,5,,,
dvt,VDACtest,145,g,true,995.4000000059605,2,g,v,2,,,
dvt,VDACtest,146,g,true,678.0999999940395,1,r,h,1,,,
dvt,VDACtest,147,g,true,523.7000000029802,1,r,h,4,,,
dvt,VDACtest,148,g,true,613.0999999940395,2,g,h,3,,,
dvt,VDACtest,149,g,true,579.8999999910593,2,g,v,3,,,
dvt,VDACtest,150,g,true,514.7000000029802,2,g,h,2,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
dvt,VDACtest,151,g,true,705.0999999940395,2,g,h,0,,,
dvt,VDACtest,152,g,true,747.3999999910593,2,g,v,3,,,
dvt,VDACtest,153,g,true,598.5999999940395,1,r,v,4,,,
dvt,VDACtest,154,g,true,708.7000000029802,1,r,h,1,,,
dvt,VDACtest,155,g,true,739.2000000029802,2,g,h,0,,,
dvt,VDACtest,156,g,true,641.5,1,r,h,1,,,
dvt,VDACtest,157,g,true,588,2,g,v,3,,,
dvt,VDACtest,158,g,true,468.20000000298023,1,r,h,0,,,
dvt,VDACtest,159,g,true,493.90000000596046,1,r,h,2,,,
dvt,VDACtest,160,g,true,572.7999999970198,1,r,v,1,,,
dvt,VDACtest,161,g,true,661.2999999970198,2,g,v,2,,,
dvt,VDACtest,162,g,true,619.5999999940395,1,r,v,3,,,
dvt,VDACtest,163,g,true,589.9000000059605,2,g,h,5,,,
dvt,VDACtest,164,g,true,556.5999999940395,2,g,h,5,,,
dvt,VDACtest,165,g,true,614,2,g,v,4,,,
dvt,VDACtest,166,g,true,726.1999999880791,1,r,v,2,,,
dvt,VDACtest,167,g,true,533,2,g,v,0,,,
dvt,VDACtest,168,g,true,611.6000000089407,1,r,v,3,,,
dvt,VDACtest,169,g,true,542.2999999970198,2,g,v,5,,,
dvt,VDACtest,170,g,true,540.5,1,r,v,2,,,
dvt,VDACtest,171,g,true,517.1000000089407,1,r,h,5,,,
dvt,VDACtest,172,g,true,837.5,2,g,v,4,,,
dvt,VDACtest,173,g,true,462.79999999701977,2,g,v,4,,,
dvt,VDACtest,174,g,true,549.2999999970198,2,g,h,5,,,
dvt,VDACtest,175,g,true,532.5,2,g,h,0,,,
dvt,VDACtest,176,g,true,420.40000000596046,2,g,h,5,,,
dvt,VDACtest,177,g,true,636.1999999880791,2,g,v,1,,,
dvt,VDACtest,178,g,null,null,1,r,v,5,,,
dvt,VDACtest,179,g,true,690.4000000059605,1,r,v,0,,,
dvt,VDACtest,180,g,true,452.5,1,r,v,5,,,
dvt,VDACtest,181,g,true,821,2,g,v,2,,,
dvt,VDACtest,182,g,true,478,1,r,h,0,,,
dvt,VDACtest,183,g,true,901.2000000029802,2,g,h,4,,,
dvt,VDACtest,184,g,true,644.3999999910593,1,r,v,5,,,
