subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
qou,VDACtrain,0,g,null,null,1,r,v,4,,,
qou,VDACtrain,0,g,true,951.0999999046326,1,r,h,2,,,
qou,VDACtrain,0,g,false,770.5999999046326,2,g,v,2,,,
qou,VDACtrain,0,g,false,842.2000002861023,2,g,h,3,,,
qou,VDACtrain,0,g,null,null,1,r,h,0,,,
qou,VDACtrain,0,g,true,802.5,1,r,h,1,,,
qou,VDACtrain,0,g,true,610.4000000953674,2,g,h,5,,,
qou,VDACtrain,0,g,true,554.7000002861023,2,g,v,0,,,
qou,VDACtrain,0,g,true,555.4000000953674,2,g,v,5,,,
qou,VDACtrain,0,g,null,null,1,r,v,3,,,
qou,VDACtest,1,g,null,null,2,g,h,4,,,
qou,VDACtest,2,g,null,null,2,g,h,0,,,
qou,VDACtest,3,g,true,535.0999999046326,2,g,h,5,,,
qou,VDACtest,4,g,true,612.0999999046326,1,r,v,1,,,
qou,VDACtest,5,g,true,539.7000002861023,1,r,v,5,,,
qou,VDACtest,6,g,true,579,2,g,v,5,,,
qou,VDACtest,7,g,true,509.19999980926514,1,r,h,3,,,
qou,VDACtest,8,g,true,476.30000019073486,1,r,v,4,,,
qou,VDACtest,9,g,true,748.3000001907349,2,g,h,2,,,
qou,VDACtest,10,g,true,618.9000000953674,1,r,v,2,,,
qou,VDACtest,11,g,false,773.5,2,g,v,5,,,
qou,VDACtest,12,g,true,579.8000001907349,1,r,v,3,,,
qou,VDACtest,13,g,true,762.3000001907349,2,g,v,3,,,
qou,VDACtest,14,g,true,642.5999999046326,1,r,v,3,,,
qou,VDACtest,15,g,true,677,2,g,v,1,,,
qou,VDACtest,16,g,true,644.1000003814697,1,r,h,3,,,
qou,VDACtest,17,g,true,788.0999999046326,1,r,h,0,,,
qou,VDACtest,18,g,true,666.4000000953674,1,r,v,2,,,
qou,VDACtest,19,g,true,587.5999999046326,1,r,v,5,,,
qou,VDACtest,20,g,false,843.4000000953674,2,g,h,2,,,
qou,VDACtest,21,g,true,771.5,1,r,h,1,,,
qou,VDACtest,22,g,true,515.7999997138977,2,g,h,3,,,
qou,VDACtest,23,g,true,627.4000000953674,1,r,v,0,,,
qou,VDACtest,24,g,false,619.7999997138977,2,g,v,2,,,
qou,VDACtest,25,g,false,659.1999998092651,1,r,h,0,,,
qou,VDACtest,26,g,true,609.7999997138977,2,g,h,4,,,
qou,VDACtest,27,g,true,762.6999998092651,1,r,v,2,,,
qou,VDACtest,28,g,true,843.5,2,g,v,4,,,
qou,VDACtest,29,g,true,587.9000000953674,2,g,v,0,,,
qou,VDACtest,30,g,null,null,2,g,h,5,,,
