subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
k28,VDACtrain,0,r,null,null,2,r,h,1,,,
k28,VDACtrain,0,r,null,null,2,r,v,3,,,
k28,VDACtrain,0,r,null,null,1,g,h,3,,,
k28,VDACtrain,0,r,null,null,2,r,v,4,,,
k28,VDACtrain,0,r,null,null,1,g,v,2,,,
k28,VDACtrain,0,r,null,null,1,g,h,5,,,
k28,VDACtrain,0,r,true,785.7999999970198,1,g,v,0,,,
k28,VDACtrain,0,r,null,null,2,r,h,2,,,
k28,VDACtrain,0,r,true,677.9000000059605,1,g,v,5,,,
k28,VDACtrain,0,r,true,666.3999999910593,2,r,h,0,,,
k28,VDACtrain,0,r,true,689.4000000059605,1,g,h,5,,,
k28,VDACtrain,0,r,false,570.6999999880791,2,r,h,1,,,
k28,VDACtrain,0,r,true,992.3000000119209,2,r,v,3,,,
k28,VDACtrain,0,r,true,720,2,r,h,0,,,
k28,VDACtrain,0,r,true,674.7999999970198,1,g,v,2,,,
k28,VDACtrain,0,r,true,617.7000000029802,2,r,h,2,,,
k28,VDACtrain,0,r,true,681.5,2,r,v,4,,,
k28,VDACtrain,0,r,true,650.5999999940395,1,g,v,0,,,
k28,VDACtrain,0,r,true,670.2999999970198,1,g,h,3,,,
k28,VDACtrain,0,r,true,625.5999999940395,1,g,v,5,,,
k28,VDACtest,1,r,true,660.8999999910593,2,r,v,3,,,
k28,VDACtest,2,r,true,641.4000000059605,2,r,h,0,,,
k28,VDACtest,3,r,true,761.2999999970198,1,g,v,5,,,
k28,VDACtest,4,r,true,641.4000000059605,2,r,v,3,,,
k28,VDACtest,5,r,true,778.3000000119209,2,r,h,1,,,
k28,VDACtest,6,r,true,689.1000000089407,2,r,v,5,,,
k28,VDACtest,7,r,true,481.29999999701977,2,r,v,5,,,
k28,VDACtest,8,r,true,736.8999999910593,1,g,h,2,,,
k28,VDACtest,9,r,true,473.69999998807907,2,r,v,4,,,
k28,VDACtest,10,r,null,null,1,g,h,0,,,
k28,VDACtest,11,r,true,547.2000000029802,2,r,v,5,,,
k28,VDACtest,12,r,true,666.5,1,g,v,4,,,
k28,VDACtest,13,r,true,905,2,r,h,4,,,
k28,VDACtest,14,r,false,609.3999999910593,2,r,v,1,,,
k28,VDACtest,15,r,true,545.7000000029802,2,r,v,3,,,
k28,VDACtest,16,r,true,851.0999999940395,1,g,h,3,,,
k28,VDACtest,17,r,true,634.3999999910593,1,g,h,4,,,
k28,VDACtest,18,r,true,532,1,g,v,1,,,
k28,VDACtest,19,r,true,482.29999999701977,1,g,v,2,,,
k28,VDACtest,20,r,true,658,2,r,v,1,,,
k28,VDACtest,21,r,true,770.3000000119209,1,g,v,2,,,
k28,VDACtest,22,r,true,674.5999999940395,1,g,v,1,,,
k28,VDACtest,23,r,true,779,2,r,h,4,,,
k28,VDACtest,24,r,false,549.0999999940395,2,r,v,4,,,
k28,VDACtest,25,r,true,714.2999999970198,1,g,v,0,,,
k28,VDACtest,26,r,true,556.7000000029802,2,r,v,0,,,
