subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
9wb,VDACtrain,0,r,null,null,2,r,h,2,,,
9wb,VDACtrain,0,r,false,567.8999996185303,2,r,v,3,,,
9wb,VDACtrain,0,r,true,646.3999996185303,1,g,h,3,,,
9wb,VDACtrain,0,r,true,727.1999988555908,1,g,v,2,,,
9wb,VDACtrain,0,r,false,709.7999992370605,1,g,h,5,,,
9wb,VDACtrain,0,r,true,678,2,r,v,4,,,
9wb,VDACtrain,0,r,true,566.3999996185303,1,g,v,0,,,
9wb,VDACtrain,0,r,true,566.7999992370605,2,r,h,0,,,
9wb,VDACtrain,0,r,true,598.5,1,g,v,5,,,
9wb,VDACtrain,0,r,true,903.2999992370605,2,r,h,1,,,
9wb,VDACtest,1,r,true,647.8999996185303,2,r,v,4,,,
9wb,VDACtest,2,r,true,447.20000076293945,1,g,h,4,,,
9wb,VDACtest,3,r,true,518.5999984741211,2,r,h,3,,,
9wb,VDACtest,4,r,true,463.6000003814697,1,g,v,3,,,
9wb,VDACtest,5,r,false,423,2,r,v,2,,,
9wb,VDACtest,6,r,false,566.1999988555908,1,g,v,1,,,
9wb,VDACtest,7,r,true,589.7000007629395,1,g,v,2,,,
9wb,VDACtest,8,r,true,542.8000011444092,2,r,h,2,,,
9wb,VDACtest,9,r,true,388.79999923706055,1,g,v,5,,,
9wb,VDACtest,10,r,false,701.9000015258789,2,r,v,1,,,
9wb,VDACtest,11,r,true,496.6000003814697,2,r,v,3,,,
9wb,VDACtest,12,r,true,454.29999923706055,2,r,h,2,,,
9wb,VDACtest,13,r,true,445.3999996185303,1,g,h,1,,,
9wb,VDACtest,14,r,true,383.6000003814697,1,g,v,3,,,
9wb,VDACtest,15,r,true,497.5,2,r,v,1,,,
9wb,VDACtest,16,r,true,667.1000003814697,1,g,h,3,,,
9wb,VDACtest,17,r,true,378.5,1,g,h,3,,,
9wb,VDACtest,18,r,true,425.20000076293945,1,g,v,4,,,
9wb,VDACtest,19,r,false,288.4000015258789,2,r,v,4,,,
9wb,VDACtest,20,r,false,399.6000003814697,2,r,h,5,,,
9wb,VDACtest,21,r,true,693.8000011444092,2,r,v,1,,,
9wb,VDACtest,22,r,true,503,1,g,v,1,,,
9wb,VDACtest,23,r,true,488.3999996185303,2,r,h,2,,,
9wb,VDACtest,24,r,false,535.5,1,g,h,4,,,
9wb,VDACtest,25,r,true,406.1000003814697,1,g,h,4,,,
9wb,VDACtest,26,r,true,558.5999984741211,2,r,v,3,,,
9wb,VDACtest,27,r,true,558.2000007629395,1,g,v,0,,,
9wb,VDACtest,28,r,true,519.7000007629395,2,r,v,4,,,
9wb,VDACtest,29,r,false,638.2999992370605,2,r,v,0,,,
9wb,VDACtest,30,r,true,500.79999923706055,2,r,h,4,,,
9wb,VDACtest,31,r,false,407.20000076293945,1,g,h,1,,,
9wb,VDACtest,32,r,true,482.29999923706055,2,r,h,1,,,
9wb,VDACtest,33,r,true,549.6000003814697,1,g,h,2,,,
9wb,VDACtest,34,r,true,470.70000076293945,1,g,h,3,,,
9wb,VDACtest,35,r,true,439.4000015258789,1,g,h,5,,,
9wb,VDACtest,36,r,true,381.3999996185303,1,g,v,2,,,
9wb,VDACtest,37,r,true,560.2999992370605,1,g,v,1,,,
9wb,VDACtest,38,r,true,542.3999996185303,1,g,v,2,,,
9wb,VDACtest,39,r,true,503.3999996185303,2,r,v,4,,,
9wb,VDACtest,40,r,false,461.1000003814697,1,g,v,2,,,
9wb,VDACtest,41,r,false,533.8000011444092,1,g,h,3,,,
9wb,VDACtest,42,r,true,469,2,r,h,5,,,
9wb,VDACtest,43,r,true,493.5999984741211,2,r,h,3,,,
9wb,VDACtest,44,r,true,543.3999996185303,2,r,h,0,,,
9wb,VDACtest,45,r,true,508.6999988555908,1,g,h,0,,,
9wb,VDACtest,46,r,null,null,2,r,h,1,,,
9wb,VDACtest,47,r,true,587.8999996185303,2,r,v,2,,,
9wb,VDACtest,48,r,true,556.9000015258789,1,g,h,2,,,
9wb,VDACtest,49,r,true,655.2999992370605,1,g,v,1,,,
9wb,VDACtest,50,r,true,502.3999996185303,2,r,h,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
9wb,VDACtest,51,r,false,648.0999984741211,2,r,v,2,,,
9wb,VDACtest,52,r,true,507.8999996185303,2,r,h,3,,,
9wb,VDACtest,53,r,true,486.6999988555908,2,r,h,4,,,
9wb,VDACtest,54,r,true,414.9000015258789,1,g,v,0,,,
9wb,VDACtest,55,r,false,470.5,1,g,v,1,,,
9wb,VDACtest,56,r,true,526.5,2,r,h,2,,,
9wb,VDACtest,57,r,true,469.6000003814697,1,g,h,2,,,
9wb,VDACtest,58,r,true,750.7999992370605,1,g,v,1,,,
9wb,VDACtest,59,r,true,510.3999996185303,2,r,h,0,,,
9wb,VDACtest,60,r,true,524.7000007629395,2,r,h,0,,,
9wb,VDACtest,61,r,true,799.2000007629395,2,r,v,4,,,
9wb,VDACtest,62,r,false,605.7999992370605,2,r,v,2,,,
9wb,VDACtest,63,r,true,447.70000076293945,1,g,h,1,,,
9wb,VDACtest,64,r,true,38.19999885559082,2,r,h,4,,,
9wb,VDACtest,65,r,false,221.80000114440918,1,g,v,5,,,
9wb,VDACtest,66,r,true,718.8000011444092,2,r,v,2,,,
9wb,VDACtest,67,r,true,501.20000076293945,1,g,v,5,,,
9wb,VDACtest,68,r,false,502.1000003814697,1,g,h,4,,,
9wb,VDACtest,69,r,false,503.5,2,r,h,0,,,
9wb,VDACtest,70,r,true,542.2000007629395,1,g,v,4,,,
9wb,VDACtest,71,r,true,527.1000003814697,1,g,h,5,,,
9wb,VDACtest,72,r,true,947.7999992370605,1,g,v,4,,,
9wb,VDACtest,73,r,true,486.1000003814697,2,r,h,5,,,
9wb,VDACtest,74,r,true,540.7999992370605,1,g,h,1,,,
9wb,VDACtest,75,r,false,541.0999984741211,1,g,v,1,,,
9wb,VDACtest,76,r,true,622.3000011444092,1,g,h,0,,,
9wb,VDACtest,77,r,true,518,1,g,h,5,,,
9wb,VDACtest,78,r,true,669.1000003814697,1,g,h,2,,,
9wb,VDACtest,79,r,true,654.7999992370605,2,r,h,3,,,
9wb,VDACtest,80,r,true,544.5,2,r,h,0,,,
9wb,VDACtest,81,r,true,501.4000015258789,2,r,v,3,,,
9wb,VDACtest,82,r,false,454.6999988555908,1,g,v,3,,,
9wb,VDACtest,83,r,true,575.7999992370605,1,g,h,2,,,
9wb,VDACtest,84,r,true,620.5,2,r,v,1,,,
9wb,VDACtest,85,r,false,847.5,2,r,h,1,,,
9wb,VDACtest,86,r,true,607,2,r,h,5,,,
9wb,VDACtest,87,r,false,549.6999988555908,1,g,v,0,,,
9wb,VDACtest,88,r,true,572.2999992370605,1,g,h,3,,,
9wb,VDACtest,89,r,true,630.2999992370605,1,g,h,4,,,
9wb,VDACtest,90,r,true,904.1000003814697,2,r,h,4,,,
9wb,VDACtest,91,r,true,527.1999988555908,1,g,h,1,,,
9wb,VDACtest,92,r,true,646.5,2,r,v,0,,,
