subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
rvw,VDACtrain,0,r,true,934.7999992370605,1,g,h,5,,,
rvw,VDACtrain,0,r,null,null,2,r,h,0,,,
rvw,VDACtrain,0,r,true,552,1,g,h,3,,,
rvw,VDACtrain,0,r,null,null,2,r,v,3,,,
rvw,VDACtrain,0,r,null,null,2,r,v,4,,,
rvw,VDACtrain,0,r,true,688.1000003814697,2,r,h,1,,,
rvw,VDACtrain,0,r,true,585,2,r,h,2,,,
rvw,VDACtrain,0,r,true,537.8999996185303,1,g,v,5,,,
rvw,VDACtrain,0,r,true,625.2999992370605,1,g,v,0,,,
rvw,VDACtrain,0,r,true,529.0999984741211,1,g,v,2,,,
rvw,VDACtest,1,r,true,707.8999996185303,2,r,h,4,,,
rvw,VDACtest,2,r,true,609,1,g,h,5,,,
rvw,VDACtest,3,r,true,529.7000007629395,1,g,v,3,,,
rvw,VDACtest,4,r,true,536.9000015258789,1,g,v,5,,,
rvw,VDACtest,5,r,true,488.29999923706055,2,r,h,4,,,
rvw,VDACtest,6,r,false,603.1000003814697,1,g,h,3,,,
rvw,VDACtest,7,r,true,577.5,1,g,v,5,,,
rvw,VDACtest,8,r,true,921.8000011444092,2,r,h,1,,,
rvw,VDACtest,9,r,true,993.5,2,r,h,4,,,
rvw,VDACtest,10,r,true,545.7999992370605,1,g,v,4,,,
rvw,VDACtest,11,r,false,690.1000003814697,1,g,v,2,,,
rvw,VDACtest,12,r,true,690.7000007629395,1,g,h,4,,,
rvw,VDACtest,13,r,true,537.6000003814697,2,r,v,4,,,
rvw,VDACtest,14,r,true,681.1000003814697,1,g,h,0,,,
rvw,VDACtest,15,r,true,747.3999996185303,1,g,h,1,,,
rvw,VDACtest,16,r,true,647,2,r,h,0,,,
rvw,VDACtest,17,r,true,596.5,1,g,v,0,,,
rvw,VDACtest,18,r,true,681.8999996185303,2,r,v,1,,,
rvw,VDACtest,19,r,true,465,1,g,h,4,,,
rvw,VDACtest,20,r,true,516.3000011444092,2,r,v,5,,,
rvw,VDACtest,21,r,true,395,2,r,h,4,,,
rvw,VDACtest,22,r,true,481.1999988555908,2,r,h,4,,,
rvw,VDACtest,23,r,true,682,1,g,v,2,,,
rvw,VDACtest,24,r,true,609.6999988555908,2,r,h,0,,,
rvw,VDACtest,25,r,true,498.0999984741211,1,g,v,1,,,
rvw,VDACtest,26,r,true,458.3000011444092,1,g,h,2,,,
rvw,VDACtest,27,r,true,499,1,g,h,2,,,
rvw,VDACtest,28,r,true,522.8000011444092,1,g,h,3,,,
rvw,VDACtest,29,r,true,449.20000076293945,2,r,v,5,,,
rvw,VDACtest,30,r,false,441.3999996185303,1,g,v,2,,,
