subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
m2v,VDACtrain,0,r,null,null,1,g,v,0,,,
m2v,VDACtrain,0,r,null,null,1,g,h,3,,,
m2v,VDACtrain,0,r,true,749.1000001430511,2,r,v,3,,,
m2v,VDACtrain,0,r,true,973.2999999523163,1,g,v,5,,,
m2v,VDACtrain,0,r,true,861.7999999523163,2,r,h,0,,,
m2v,VDACtrain,0,r,true,710.8999998569489,1,g,v,2,,,
m2v,VDACtrain,0,r,true,837.8999998569489,1,g,h,5,,,
m2v,VDACtrain,0,r,null,null,2,r,h,2,,,
m2v,VDACtrain,0,r,null,null,2,r,h,1,,,
m2v,VDACtrain,0,r,true,751.5,2,r,v,4,,,
m2v,VDACtest,1,r,true,633,1,g,v,4,,,
m2v,VDACtest,2,r,true,691.5,1,g,h,4,,,
m2v,VDACtest,3,r,true,630.6000001430511,1,g,h,4,,,
m2v,VDACtest,4,r,true,567.2000000476837,2,r,v,3,,,
m2v,VDACtest,5,r,true,533.5999999046326,1,g,h,0,,,
m2v,VDACtest,6,r,true,684.4000000953674,1,g,v,2,,,
m2v,VDACtest,7,r,true,830.2000000476837,1,g,h,3,,,
m2v,VDACtest,8,r,true,542.5999999046326,1,g,v,0,,,
m2v,VDACtest,9,r,true,731.1000001430511,1,g,v,5,,,
m2v,VDACtest,10,r,true,565.7000000476837,1,g,h,2,,,
m2v,VDACtest,11,r,true,542.0999999046326,2,r,v,0,,,
m2v,VDACtest,12,r,true,861.2999999523163,2,r,h,2,,,
m2v,VDACtest,13,r,true,541.5,2,r,h,2,,,
m2v,VDACtest,14,r,false,575.2000000476837,1,g,h,0,,,
m2v,VDACtest,15,r,false,699.1999998092651,1,g,v,5,,,
m2v,VDACtest,16,r,true,789.0999999046326,2,r,v,0,,,
m2v,VDACtest,17,r,true,573,2,r,h,0,,,
m2v,VDACtest,18,r,null,null,2,r,h,3,,,
m2v,VDACtest,19,r,null,null,1,g,v,5,,,
m2v,VDACtest,20,r,true,728,1,g,v,0,,,
m2v,VDACtest,21,r,true,524.7999999523163,2,r,h,3,,,
m2v,VDACtest,22,r,true,830.6000001430511,1,g,v,1,,,
m2v,VDACtest,23,r,true,485.90000009536743,2,r,h,2,,,
m2v,VDACtest,24,r,false,630.2999999523163,2,r,v,2,,,
m2v,VDACtest,25,r,false,749.7000000476837,2,r,h,1,,,
m2v,VDACtest,26,r,false,808.4000000953674,2,r,v,3,,,
m2v,VDACtest,27,r,true,918,2,r,v,2,,,
m2v,VDACtest,28,r,true,702.7999999523163,2,r,h,4,,,
m2v,VDACtest,29,r,true,946,1,g,h,2,,,
m2v,VDACtest,30,r,true,589.2999999523163,2,r,h,4,,,
m2v,VDACtest,31,r,true,518.5,1,g,h,4,,,
m2v,VDACtest,32,r,true,894.5999999046326,1,g,h,3,,,
m2v,VDACtest,33,r,true,630.4000000953674,2,r,v,4,,,
m2v,VDACtest,34,r,true,662.0999999046326,2,r,h,5,,,
m2v,VDACtest,35,r,true,633.4000000953674,1,g,h,5,,,
m2v,VDACtest,36,r,true,437.2000000476837,2,r,v,4,,,
m2v,VDACtest,37,r,false,710.1000001430511,1,g,v,4,,,
m2v,VDACtest,38,r,true,806.5,1,g,v,5,,,
m2v,VDACtest,39,r,true,509.40000009536743,1,g,h,3,,,
m2v,VDACtest,40,r,false,645.8999998569489,1,g,h,0,,,
m2v,VDACtest,41,r,false,725.8999998569489,2,r,h,5,,,
m2v,VDACtest,42,r,true,693.2000000476837,2,r,h,4,,,
m2v,VDACtest,43,r,null,null,2,r,h,1,,,
m2v,VDACtest,44,r,true,938,2,r,h,4,,,
m2v,VDACtest,45,r,true,572.2999999523163,1,g,v,4,,,
m2v,VDACtest,46,r,true,925.8999998569489,2,r,h,2,,,
m2v,VDACtest,47,r,false,692.9000000953674,2,r,v,0,,,
m2v,VDACtest,48,r,null,null,1,g,v,2,,,
m2v,VDACtest,49,r,true,668.2000000476837,1,g,v,3,,,
m2v,VDACtest,50,r,true,759,1,g,v,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
m2v,VDACtest,51,r,true,964.1999998092651,1,g,v,1,,,
m2v,VDACtest,52,r,null,null,2,r,v,0,,,
m2v,VDACtest,53,r,true,508.39999985694885,1,g,h,5,,,
