subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
akm,VDACtrain,0,r,null,null,2,r,h,0,,,
akm,VDACtrain,0,r,null,null,2,r,v,4,,,
akm,VDACtrain,0,r,null,null,1,g,v,2,,,
akm,VDACtrain,0,r,true,618.2999999970198,1,g,v,0,,,
akm,VDACtrain,0,r,true,746.4000000059605,2,r,h,2,,,
akm,VDACtrain,0,r,null,null,1,g,h,3,,,
akm,VDACtrain,0,r,null,null,2,r,h,1,,,
akm,VDACtrain,0,r,true,934.9000000059605,1,g,h,5,,,
akm,VDACtrain,0,r,true,620.2999999970198,2,r,v,3,,,
akm,VDACtrain,0,r,null,null,1,g,v,5,,,
akm,VDACtrain,0,r,null,null,2,r,h,1,,,
akm,VDACtrain,0,r,true,663.5,1,g,v,5,,,
akm,VDACtrain,0,r,null,null,2,r,v,3,,,
akm,VDACtrain,0,r,null,null,2,r,h,2,,,
akm,VDACtrain,0,r,false,868.7999999970198,1,g,h,3,,,
akm,VDACtrain,0,r,false,762.1000000089407,1,g,v,2,,,
akm,VDACtrain,0,r,null,null,2,r,h,0,,,
akm,VDACtrain,0,r,true,732.4000000059605,1,g,h,5,,,
akm,VDACtrain,0,r,true,712.4000000059605,1,g,v,0,,,
akm,VDACtrain,0,r,false,740.5,2,r,v,4,,,
akm,VDACtest,1,r,true,974.7000000029802,1,g,v,4,,,
akm,VDACtest,2,r,false,730,2,r,v,0,,,
akm,VDACtest,3,r,true,835.4000000059605,1,g,v,4,,,
akm,VDACtest,4,r,true,803,1,g,v,2,,,
akm,VDACtest,5,r,true,683.0999999940395,2,r,h,3,,,
akm,VDACtest,6,r,true,858.5,1,g,v,1,,,
akm,VDACtest,7,r,true,540.7999999970198,2,r,h,4,,,
akm,VDACtest,8,r,false,451.09999999403954,1,g,h,4,,,
akm,VDACtest,9,r,true,538.8999999910593,1,g,h,5,,,
akm,VDACtest,10,r,true,568.8000000119209,2,r,v,2,,,
akm,VDACtest,11,r,true,802.8999999910593,1,g,v,2,,,
akm,VDACtest,12,r,true,529.7999999970198,1,g,v,2,,,
akm,VDACtest,13,r,true,758.9000000059605,1,g,v,1,,,
akm,VDACtest,14,r,true,533.0999999940395,1,g,v,1,,,
akm,VDACtest,15,r,true,386.8999999910593,1,g,v,4,,,
akm,VDACtest,16,r,true,554.5999999940395,2,r,h,5,,,
akm,VDACtest,17,r,true,578.5999999940395,2,r,v,3,,,
akm,VDACtest,18,r,true,578.2999999970198,1,g,h,4,,,
akm,VDACtest,19,r,true,562.7999999970198,1,g,v,3,,,
akm,VDACtest,20,r,true,682.3999999910593,1,g,v,2,,,
akm,VDACtest,21,r,true,564.2999999970198,1,g,v,5,,,
akm,VDACtest,22,r,true,643.1000000089407,1,g,h,2,,,
akm,VDACtest,23,r,true,672.6999999880791,2,r,h,4,,,
akm,VDACtest,24,r,false,507.29999999701977,1,g,h,1,,,
akm,VDACtest,25,r,true,850.5999999940395,1,g,h,2,,,
akm,VDACtest,26,r,true,657.6999999880791,1,g,h,4,,,
akm,VDACtest,27,r,true,499.6000000089407,1,g,v,4,,,
akm,VDACtest,28,r,false,682.7999999970198,1,g,h,2,,,
akm,VDACtest,29,r,true,746.5999999940395,1,g,h,5,,,
akm,VDACtest,30,r,true,761,1,g,v,2,,,
akm,VDACtest,31,r,true,562.7999999970198,2,r,v,0,,,
akm,VDACtest,32,r,true,601.7000000029802,2,r,h,2,,,
akm,VDACtest,33,r,true,955.2000000029802,1,g,v,3,,,
akm,VDACtest,34,r,false,577.1999999880791,2,r,v,0,,,
akm,VDACtest,35,r,true,729.6999999880791,2,r,v,5,,,
akm,VDACtest,36,r,true,539.2999999970198,1,g,v,0,,,
akm,VDACtest,37,r,true,451.30000001192093,1,g,v,0,,,
akm,VDACtest,38,r,true,604.6000000089407,1,g,h,3,,,
akm,VDACtest,39,r,true,523.2000000029802,1,g,h,0,,,
akm,VDACtest,40,r,true,522.9000000059605,1,g,v,2,,,
akm,VDACtest,41,r,true,450.5,1,g,v,5,,,
akm,VDACtest,42,r,true,542.3999999910593,2,r,h,4,,,
akm,VDACtest,43,r,true,675.7999999970198,1,g,h,0,,,
akm,VDACtest,44,r,false,617.6000000089407,1,g,h,4,,,
akm,VDACtest,45,r,true,634.2000000029802,1,g,h,1,,,
akm,VDACtest,46,r,true,659.0999999940395,1,g,h,2,,,
akm,VDACtest,47,r,true,690.6000000089407,2,r,v,5,,,
akm,VDACtest,48,r,true,562.2999999970198,1,g,h,5,,,
akm,VDACtest,49,r,true,643.1000000089407,2,r,h,2,,,
akm,VDACtest,50,r,true,602.9000000059605,1,g,v,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
akm,VDACtest,51,r,true,870.4000000059605,1,g,v,4,,,
akm,VDACtest,52,r,true,874.9000000059605,2,r,v,3,,,
akm,VDACtest,53,r,true,642.5,1,g,h,0,,,
akm,VDACtest,54,r,true,708.0999999940395,2,r,v,3,,,
akm,VDACtest,55,r,true,627.3000000119209,2,r,v,2,,,
akm,VDACtest,56,r,true,875.2999999970198,1,g,v,5,,,
akm,VDACtest,57,r,true,737.2999999970198,1,g,v,2,,,
akm,VDACtest,58,r,true,810.8999999910593,2,r,h,3,,,
akm,VDACtest,59,r,true,691.6000000089407,1,g,h,2,,,
akm,VDACtest,60,r,true,714.9000000059605,1,g,h,3,,,
akm,VDACtest,61,r,true,585.7999999970198,2,r,h,0,,,
akm,VDACtest,62,r,true,571.1000000089407,2,r,v,2,,,
akm,VDACtest,63,r,true,698.2999999970198,2,r,h,1,,,
akm,VDACtest,64,r,true,641.9000000059605,2,r,h,0,,,
akm,VDACtest,65,r,true,546.5,2,r,v,4,,,
akm,VDACtest,66,r,true,618.7000000029802,2,r,h,1,,,
akm,VDACtest,67,r,true,706.3000000119209,2,r,v,4,,,
akm,VDACtest,68,r,true,514.4000000059605,2,r,h,3,,,
akm,VDACtest,69,r,null,null,1,g,v,3,,,
akm,VDACtest,70,r,true,643.1000000089407,2,r,h,3,,,
akm,VDACtest,71,r,true,568.5999999940395,1,g,v,3,,,
akm,VDACtest,72,r,true,643.3999999910593,2,r,h,4,,,
akm,VDACtest,73,r,true,682.5999999940395,2,r,v,2,,,
akm,VDACtest,74,r,true,512.7000000029802,1,g,h,4,,,
akm,VDACtest,75,r,false,786.2999999970198,2,r,v,1,,,
akm,VDACtest,76,r,true,579.7999999970198,1,g,v,1,,,
akm,VDACtest,77,r,true,649,2,r,h,1,,,
akm,VDACtest,78,r,true,730.9000000059605,2,r,v,1,,,
akm,VDACtest,79,r,true,715.0999999940395,1,g,v,4,,,
akm,VDACtest,80,r,true,594.8000000119209,2,r,v,4,,,
akm,VDACtest,81,r,true,611.5,1,g,h,3,,,
akm,VDACtest,82,r,true,667.0999999940395,2,r,h,5,,,
akm,VDACtest,83,r,true,601.5999999940395,2,r,v,5,,,
akm,VDACtest,84,r,true,811,2,r,v,0,,,
akm,VDACtest,85,r,true,826.7999999970198,2,r,v,4,,,
akm,VDACtest,86,r,true,538.7000000029802,1,g,v,0,,,
akm,VDACtest,87,r,true,715.5999999940395,1,g,h,0,,,
akm,VDACtest,88,r,true,610.2000000029802,1,g,v,3,,,
akm,VDACtest,89,r,true,649.9000000059605,2,r,h,4,,,
akm,VDACtest,90,r,true,642.2000000029802,2,r,v,4,,,
akm,VDACtest,91,r,true,675.5,1,g,h,1,,,
akm,VDACtest,92,r,true,545.2999999970198,1,g,h,3,,,
akm,VDACtest,93,r,true,658.3000000119209,2,r,v,4,,,
akm,VDACtest,94,r,true,602.2999999970198,2,r,h,0,,,
akm,VDACtest,95,r,true,722.0999999940395,1,g,h,1,,,
akm,VDACtest,96,r,true,723.7000000029802,1,g,h,2,,,
akm,VDACtest,97,r,true,722.5999999940395,1,g,v,3,,,
akm,VDACtest,98,r,true,920.0999999940395,1,g,v,5,,,
akm,VDACtest,99,r,true,475.1000000089407,1,g,h,0,,,
akm,VDACtest,100,r,true,680.6999999880791,2,r,h,2,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
akm,VDACtest,101,r,true,944.1000000089407,1,g,h,1,,,
akm,VDACtest,102,r,true,818.5999999940395,1,g,h,5,,,
akm,VDACtest,103,r,true,661.5,2,r,h,5,,,
akm,VDACtest,104,r,true,538,1,g,v,1,,,
akm,VDACtest,105,r,true,586,2,r,v,2,,,
akm,VDACtest,106,r,true,586.4000000059605,2,r,v,1,,,
akm,VDACtest,107,r,true,626.8000000119209,2,r,h,1,,,
akm,VDACtest,108,r,false,771.6000000089407,1,g,h,3,,,
akm,VDACtest,109,r,true,825.5999999940395,1,g,v,5,,,
akm,VDACtest,110,r,true,730.3000000119209,2,r,v,1,,,
akm,VDACtest,111,r,true,690.1000000089407,2,r,h,4,,,
akm,VDACtest,112,r,true,850.1000000089407,1,g,h,4,,,
akm,VDACtest,113,r,true,826,2,r,v,3,,,
akm,VDACtest,114,r,true,754.2999999970198,2,r,h,2,,,
akm,VDACtest,115,r,true,849.8999999910593,1,g,h,1,,,
akm,VDACtest,116,r,true,739.2000000029802,1,g,v,2,,,
akm,VDACtest,117,r,true,793.0999999940395,1,g,v,0,,,
akm,VDACtest,118,r,true,600.9000000059605,1,g,h,0,,,
akm,VDACtest,119,r,true,939.2000000029802,2,r,h,3,,,
akm,VDACtest,120,r,true,841.5,1,g,h,0,,,
akm,VDACtest,121,r,true,734.7999999970198,2,r,v,5,,,
akm,VDACtest,122,r,true,722,1,g,h,4,,,
akm,VDACtest,123,r,true,898.7000000029802,1,g,h,3,,,
akm,VDACtest,124,r,true,746.2000000029802,1,g,h,0,,,
akm,VDACtest,125,r,true,626.2999999970198,2,r,v,1,,,
akm,VDACtest,126,r,true,826.7000000029802,2,r,v,1,,,
akm,VDACtest,127,r,true,594.9000000059605,1,g,v,5,,,
akm,VDACtest,128,r,true,618.7999999970198,1,g,h,2,,,
akm,VDACtest,129,r,false,811.4000000059605,2,r,v,2,,,
akm,VDACtest,130,r,true,570.8000000119209,1,g,v,4,,,
akm,VDACtest,131,r,true,539,2,r,v,3,,,
akm,VDACtest,132,r,true,530.4000000059605,1,g,v,3,,,
akm,VDACtest,133,r,true,601.8000000119209,1,g,v,0,,,
akm,VDACtest,134,r,true,537.7999999970198,2,r,h,2,,,
akm,VDACtest,135,r,true,623.7999999970198,1,g,v,5,,,
akm,VDACtest,136,r,true,522.8999999910593,2,r,h,4,,,
akm,VDACtest,137,r,true,593.5,2,r,v,5,,,
akm,VDACtest,138,r,true,578.5,1,g,v,5,,,
akm,VDACtest,139,r,true,539.4000000059605,2,r,h,5,,,
akm,VDACtest,140,r,true,538.1999999880791,1,g,v,4,,,
akm,VDACtest,141,r,true,859.2000000029802,2,r,h,1,,,
akm,VDACtest,142,r,true,731,2,r,v,0,,,
akm,VDACtest,143,r,true,626.7999999970198,2,r,v,3,,,
akm,VDACtest,144,r,true,642.8999999910593,2,r,v,5,,,
akm,VDACtest,145,r,true,633.7000000029802,2,r,v,0,,,
akm,VDACtest,146,r,true,545.6999999880791,2,r,v,0,,,
akm,VDACtest,147,r,true,803.2000000029802,1,g,h,5,,,
akm,VDACtest,148,r,true,577.9000000059605,2,r,h,0,,,
akm,VDACtest,149,r,true,665.2999999970198,2,r,h,3,,,
akm,VDACtest,150,r,true,490.70000000298023,1,g,v,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
akm,VDACtest,151,r,null,null,2,r,v,4,,,
akm,VDACtest,152,r,true,905.9000000059605,2,r,v,0,,,
akm,VDACtest,153,r,true,699.0999999940395,1,g,h,3,,,
akm,VDACtest,154,r,true,610.5,2,r,v,1,,,
