subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
3hn,VDACtrain,0,r,null,null,1,g,v,5,,,
3hn,VDACtrain,0,r,null,null,1,g,h,3,,,
3hn,VDACtrain,0,r,null,null,1,g,v,0,,,
3hn,VDACtrain,0,r,true,935.5999994277954,2,r,v,4,,,
3hn,VDACtrain,0,r,null,null,2,r,v,3,,,
3hn,VDACtrain,0,r,null,null,2,r,h,0,,,
3hn,VDACtrain,0,r,true,794.5,1,g,h,5,,,
3hn,VDACtrain,0,r,null,null,2,r,h,2,,,
3hn,VDACtrain,0,r,false,855.5999994277954,1,g,v,2,,,
3hn,VDACtrain,0,r,null,null,2,r,h,1,,,
3hn,VDACtrain,0,r,true,628.5,1,g,h,3,,,
3hn,VDACtrain,0,r,true,843.4000005722046,1,g,v,2,,,
3hn,VDACtrain,0,r,null,null,2,r,v,3,,,
3hn,VDACtrain,0,r,true,759.6999998092651,1,g,h,5,,,
3hn,VDACtrain,0,r,false,997.1000003814697,2,r,h,1,,,
3hn,VDACtrain,0,r,true,914,2,r,h,0,,,
3hn,VDACtrain,0,r,true,837,1,g,v,0,,,
3hn,VDACtrain,0,r,true,671,1,g,v,5,,,
3hn,VDACtrain,0,r,true,827.6000003814697,2,r,v,4,,,
3hn,VDACtrain,0,r,null,null,2,r,h,2,,,
3hn,VDACtest,1,r,false,815.1999998092651,2,r,h,0,,,
3hn,VDACtest,2,r,true,859.2999992370605,2,r,h,4,,,
3hn,VDACtest,3,r,null,null,2,r,h,5,,,
3hn,VDACtest,4,r,null,null,1,g,h,0,,,
3hn,VDACtest,5,r,true,979.6999998092651,2,r,v,2,,,
3hn,VDACtest,6,r,true,611.3000001907349,1,g,h,0,,,
3hn,VDACtest,7,r,true,749.3000001907349,1,g,v,1,,,
3hn,VDACtest,8,r,true,588.5999994277954,2,r,v,2,,,
3hn,VDACtest,9,r,true,554.8999996185303,1,g,h,3,,,
3hn,VDACtest,10,r,true,707.2999992370605,1,g,v,0,,,
3hn,VDACtest,11,r,true,855.5999994277954,2,r,h,0,,,
3hn,VDACtest,12,r,false,932,1,g,h,4,,,
3hn,VDACtest,13,r,true,685.6999998092651,1,g,v,0,,,
3hn,VDACtest,14,r,true,651.3000001907349,2,r,v,1,,,
3hn,VDACtest,15,r,true,778.4000005722046,2,r,h,2,,,
3hn,VDACtest,16,r,true,765.6999998092651,2,r,h,1,,,
3hn,VDACtest,17,r,true,882,1,g,h,5,,,
3hn,VDACtest,18,r,true,956.3999996185303,1,g,h,1,,,
3hn,VDACtest,19,r,true,877.8000001907349,2,r,h,3,,,
3hn,VDACtest,20,r,null,null,2,r,h,1,,,
3hn,VDACtest,21,r,true,717.6999998092651,1,g,h,3,,,
3hn,VDACtest,22,r,true,661,2,r,h,4,,,
3hn,VDACtest,23,r,false,755.3999996185303,1,g,v,2,,,
3hn,VDACtest,24,r,true,597.5999994277954,1,g,h,4,,,
3hn,VDACtest,25,r,true,717.0999994277954,2,r,h,4,,,
3hn,VDACtest,26,r,true,515.3000001907349,2,r,h,4,,,
3hn,VDACtest,27,r,true,469.1000003814697,1,g,v,0,,,
3hn,VDACtest,28,r,true,693.8000001907349,1,g,v,1,,,
3hn,VDACtest,29,r,null,null,1,g,h,2,,,
3hn,VDACtest,30,r,true,695.5,1,g,v,2,,,
3hn,VDACtest,31,r,true,541.3000001907349,1,g,h,4,,,
3hn,VDACtest,32,r,false,692.2000007629395,1,g,h,4,,,
3hn,VDACtest,33,r,true,699,1,g,v,5,,,
3hn,VDACtest,34,r,null,null,1,g,h,1,,,
3hn,VDACtest,35,r,true,680.6000003814697,1,g,v,3,,,
3hn,VDACtest,36,r,true,629,1,g,v,1,,,
3hn,VDACtest,37,r,true,589.6999998092651,2,r,v,1,,,
3hn,VDACtest,38,r,true,548,2,r,v,0,,,
3hn,VDACtest,39,r,true,667.3000001907349,1,g,h,1,,,
3hn,VDACtest,40,r,false,875.8000001907349,1,g,h,4,,,
3hn,VDACtest,41,r,false,922.7999992370605,1,g,v,2,,,
3hn,VDACtest,42,r,true,653.0999994277954,2,r,v,3,,,
3hn,VDACtest,43,r,true,701.8000001907349,2,r,v,1,,,
3hn,VDACtest,44,r,true,860.6999998092651,2,r,v,0,,,
3hn,VDACtest,45,r,true,741.2999992370605,1,g,h,0,,,
3hn,VDACtest,46,r,false,692,1,g,h,5,,,
3hn,VDACtest,47,r,false,747.8000001907349,2,r,h,1,,,
3hn,VDACtest,48,r,true,596.8000001907349,2,r,h,1,,,
