subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
bvu,VDACtrain,0,r,true,945.8999996185303,1,g,v,0,,,
bvu,VDACtrain,0,r,true,836.5,2,r,h,1,,,
bvu,VDACtrain,0,r,null,null,1,g,v,5,,,
bvu,VDACtrain,0,r,true,737.8999996185303,1,g,h,3,,,
bvu,VDACtrain,0,r,true,917.8000001907349,2,r,h,0,,,
bvu,VDACtrain,0,r,false,670,2,r,v,4,,,
bvu,VDACtrain,0,r,true,684,1,g,h,5,,,
bvu,VDACtrain,0,r,true,679.3999996185303,2,r,v,3,,,
bvu,VDACtrain,0,r,true,805.6999998092651,2,r,h,2,,,
bvu,VDACtrain,0,r,true,597.4000005722046,1,g,v,2,,,
bvu,VDACtest,1,r,true,691.8000001907349,2,r,h,4,,,
bvu,VDACtest,2,r,true,940,2,r,v,4,,,
bvu,VDACtest,3,r,true,548.3999996185303,2,r,v,1,,,
bvu,VDACtest,4,r,true,964.1999998092651,2,r,h,5,,,
bvu,VDACtest,5,r,true,845.5,1,g,h,3,,,
bvu,VDACtest,6,r,true,819.3000001907349,1,g,v,3,,,
bvu,VDACtest,7,r,true,773.7999992370605,2,r,h,3,,,
bvu,VDACtest,8,r,true,645.1000003814697,1,g,v,1,,,
bvu,VDACtest,9,r,true,756.6999998092651,1,g,v,2,,,
bvu,VDACtest,10,r,null,null,2,r,v,1,,,
bvu,VDACtest,11,r,true,681.9000005722046,2,r,v,0,,,
bvu,VDACtest,12,r,true,646.1999998092651,2,r,h,3,,,
bvu,VDACtest,13,r,false,629.6999998092651,2,r,v,5,,,
bvu,VDACtest,14,r,true,765.4000005722046,2,r,h,2,,,
bvu,VDACtest,15,r,true,405.0999994277954,2,r,v,5,,,
bvu,VDACtest,16,r,true,502.1000003814697,2,r,h,5,,,
bvu,VDACtest,17,r,false,612.1999998092651,1,g,h,3,,,
bvu,VDACtest,18,r,true,652.8000001907349,1,g,v,3,,,
bvu,VDACtest,19,r,true,805.3000001907349,2,r,h,2,,,
bvu,VDACtest,20,r,true,637.3000001907349,2,r,v,3,,,
bvu,VDACtest,21,r,true,798.5,1,g,v,1,,,
bvu,VDACtest,22,r,true,775,2,r,h,4,,,
bvu,VDACtest,23,r,true,578.1000003814697,1,g,h,1,,,
bvu,VDACtest,24,r,true,669.5,1,g,h,0,,,
bvu,VDACtest,25,r,true,654.0999994277954,2,r,h,1,,,
bvu,VDACtest,26,r,true,701.8999996185303,1,g,h,4,,,
bvu,VDACtest,27,r,true,501.9000005722046,1,g,v,0,,,
bvu,VDACtest,28,r,true,518.4000005722046,1,g,v,4,,,
bvu,VDACtest,29,r,true,588.7000007629395,1,g,h,1,,,
bvu,VDACtest,30,r,true,757.1999998092651,2,r,h,1,,,
bvu,VDACtest,31,r,false,526,1,g,h,3,,,
bvu,VDACtest,32,r,true,653.4000005722046,1,g,h,2,,,
bvu,VDACtest,33,r,true,571.3000001907349,1,g,h,3,,,
bvu,VDACtest,34,r,true,483.80000019073486,2,r,v,4,,,
bvu,VDACtest,35,r,true,539.8000001907349,2,r,v,4,,,
bvu,VDACtest,36,r,true,596.6999998092651,1,g,h,0,,,
bvu,VDACtest,37,r,true,501.3999996185303,2,r,v,5,,,
bvu,VDACtest,38,r,true,654,1,g,h,0,,,
bvu,VDACtest,39,r,true,660.8999996185303,2,r,h,4,,,
bvu,VDACtest,40,r,true,517.2000007629395,1,g,v,0,,,
bvu,VDACtest,41,r,true,683.9000005722046,2,r,h,1,,,
bvu,VDACtest,42,r,true,637,1,g,v,1,,,
bvu,VDACtest,43,r,true,877.1000003814697,2,r,v,1,,,
bvu,VDACtest,44,r,true,509.9000005722046,2,r,v,0,,,
bvu,VDACtest,45,r,true,613.8999996185303,2,r,v,2,,,
bvu,VDACtest,46,r,true,573.4000005722046,2,r,h,2,,,
bvu,VDACtest,47,r,false,526.5999994277954,2,r,h,5,,,
bvu,VDACtest,48,r,false,590.0999994277954,2,r,h,4,,,
bvu,VDACtest,49,r,true,726.0999994277954,1,g,v,3,,,
bvu,VDACtest,50,r,true,661.6999998092651,1,g,v,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
bvu,VDACtest,51,r,true,817.1999998092651,1,g,v,2,,,
bvu,VDACtest,52,r,true,709.2999992370605,1,g,h,1,,,
bvu,VDACtest,53,r,true,645.6999998092651,1,g,v,2,,,
bvu,VDACtest,54,r,true,581.9000005722046,1,g,h,2,,,
bvu,VDACtest,55,r,true,581.5,2,r,v,2,,,
bvu,VDACtest,56,r,true,531.7999992370605,2,r,v,2,,,
bvu,VDACtest,57,r,true,772.3999996185303,2,r,h,0,,,
bvu,VDACtest,58,r,true,693.3999996185303,2,r,v,2,,,
bvu,VDACtest,59,r,true,595.1999998092651,2,r,h,1,,,
bvu,VDACtest,60,r,true,615.3000001907349,1,g,h,0,,,
bvu,VDACtest,61,r,true,637.2999992370605,1,g,v,3,,,
bvu,VDACtest,62,r,true,629.8000001907349,1,g,v,4,,,
bvu,VDACtest,63,r,true,548.7000007629395,2,r,h,0,,,
bvu,VDACtest,64,r,true,597.6000003814697,1,g,v,5,,,
bvu,VDACtest,65,r,true,533.5,2,r,v,0,,,
bvu,VDACtest,66,r,true,639.2999992370605,1,g,v,3,,,
bvu,VDACtest,67,r,true,733,1,g,h,1,,,
bvu,VDACtest,68,r,true,478.20000076293945,2,r,v,0,,,
bvu,VDACtest,69,r,true,574.9000005722046,1,g,h,1,,,
bvu,VDACtest,70,r,true,822.1000003814697,1,g,h,0,,,
bvu,VDACtest,71,r,true,803.8000001907349,1,g,v,3,,,
bvu,VDACtest,72,r,true,613.1000003814697,2,r,h,3,,,
bvu,VDACtest,73,r,true,565.0999994277954,1,g,v,0,,,
bvu,VDACtest,74,r,true,621,2,r,v,1,,,
bvu,VDACtest,75,r,true,653.5,2,r,h,2,,,
bvu,VDACtest,76,r,true,542.1999998092651,2,r,v,5,,,
bvu,VDACtest,77,r,true,597.1999998092651,2,r,v,3,,,
bvu,VDACtest,78,r,true,549.6000003814697,2,r,h,3,,,
bvu,VDACtest,79,r,true,638.6999998092651,1,g,h,2,,,
bvu,VDACtest,80,r,true,460.69999980926514,2,r,v,4,,,
bvu,VDACtest,81,r,true,621.2000007629395,2,r,h,5,,,
bvu,VDACtest,82,r,true,614.1000003814697,2,r,h,2,,,
bvu,VDACtest,83,r,true,524.3999996185303,2,r,v,3,,,
bvu,VDACtest,84,r,true,548.3999996185303,1,g,h,5,,,
bvu,VDACtest,85,r,true,619.3999996185303,1,g,h,2,,,
bvu,VDACtest,86,r,true,494.5999994277954,1,g,v,0,,,
bvu,VDACtest,87,r,true,557.1999998092651,1,g,h,5,,,
bvu,VDACtest,88,r,true,699.5,1,g,v,0,,,
bvu,VDACtest,89,r,true,693.7000007629395,2,r,v,1,,,
bvu,VDACtest,90,r,true,549.7999992370605,2,r,v,2,,,
bvu,VDACtest,91,r,true,509.8999996185303,1,g,v,5,,,
bvu,VDACtest,92,r,true,533.7000007629395,2,r,v,0,,,
bvu,VDACtest,93,r,true,582.8999996185303,1,g,h,4,,,
bvu,VDACtest,94,r,true,533,2,r,v,3,,,
bvu,VDACtest,95,r,true,636.3999996185303,2,r,h,1,,,
bvu,VDACtest,96,r,true,734.1999998092651,1,g,v,2,,,
bvu,VDACtest,97,r,true,643.3999996185303,2,r,h,4,,,
bvu,VDACtest,98,r,true,500.69999980926514,2,r,h,0,,,
bvu,VDACtest,99,r,true,534.5999994277954,1,g,v,4,,,
bvu,VDACtest,100,r,true,568.6000003814697,2,r,h,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
bvu,VDACtest,101,r,true,747.3999996185303,1,g,h,4,,,
bvu,VDACtest,102,r,true,493.6000003814697,1,g,v,1,,,
bvu,VDACtest,103,r,true,791,1,g,h,3,,,
bvu,VDACtest,104,r,true,525.1999998092651,1,g,h,5,,,
bvu,VDACtest,105,r,false,460.69999980926514,1,g,v,1,,,
bvu,VDACtest,106,r,true,636.3999996185303,2,r,h,5,,,
bvu,VDACtest,107,r,true,647.3000001907349,2,r,h,3,,,
bvu,VDACtest,108,r,true,525.6999998092651,1,g,v,0,,,
bvu,VDACtest,109,r,true,533.7999992370605,1,g,h,4,,,
bvu,VDACtest,110,r,true,485.3999996185303,1,g,v,4,,,
bvu,VDACtest,111,r,true,541.1000003814697,2,r,v,1,,,
bvu,VDACtest,112,r,true,557.8000001907349,1,g,h,4,,,
bvu,VDACtest,113,r,true,535,1,g,h,4,,,
bvu,VDACtest,114,r,true,525.8999996185303,2,r,h,4,,,
bvu,VDACtest,115,r,true,526.8999996185303,1,g,v,5,,,
bvu,VDACtest,116,r,true,597.3000001907349,1,g,h,3,,,
bvu,VDACtest,117,r,true,612.6000003814697,1,g,v,3,,,
bvu,VDACtest,118,r,true,477.5999994277954,2,r,v,1,,,
