"","test"
"1","1 1 0.6492 2 0 0 2"
"2","1 1 0.5649 2 1 1 2"
"3","1 1 0.6792 2 2 2 2"
"4","1 1 0.647 2 0 0 2"
"5","1 1 0.6921 2 1 1 2"
"6","1 1 0.4074 2 0 0 2"
"7","1 1 0.5902 2 2 2 2"
"8","1 1 0.8053 2 1 1 2"
"9","1 1 0.5377 2 2 2 2"
"10","1 1 0.4421 2 0 0 2"
"11","1 1 0.4207 2 0 0 2"
"12","1 0 0.9084 2 2 2 2"
"13","1 0 0.9102 2 1 1 2"
"14","1 1 0.6696 2 1 1 2"
"15","1 1 0.3896 2 2 2 2"
"16","1 1 0.4887 2 2 2 2"
"17","1 1 0.7769 2 1 1 2"
"18","1 1 0.7688 2 0 0 2"
"19","1 1 0.6412 2 3 0 1"
"20","1 1 0.7999 2 3 1 1"
"21","1 0 0.9202 2 3 1 1"
"22","1 1 0.6864 2 3 1 1"
"23","1 1 0.9845 2 3 0 1"
"24","1 1 0.7747 2 3 1 1"
"25","1 1 0.6649 2 3 2 1"
"26","1 0 0.6229 2 3 2 1"
"27","1 1 0.9277 2 3 0 1"
"28","1 1 1.1484 2 3 2 1"
"29","1 0 1.0384 2 3 0 1"
"30","1 1 0.764 2 3 1 1"
"31","1 1 0.605 2 3 1 1"
"32","1 0 0.8851 2 3 0 1"
"33","1 1 0.6394 2 3 1 1"
"34","1 1 0.8766 2 3 2 1"
"35","1 1 0.8138 2 3 1 1"
"36","1 1 0.7813 2 3 2 1"
"37","1 1 0.932 2 3 0 1"
"38","1 1 0.7634 2 3 1 1"
"39","1 1 0.661 2 3 2 1"
"40","1 1 0.894 2 3 2 1"
"41","1 1 0.9402 2 3 1 1"
"42","1 1 0.9644 2 3 0 1"
"43","1 1 0.8113 2 3 2 1"
"44","1 1 0.693 2 3 2 1"
"45","1 0 0.7646 2 3 0 1"
"46","1 0 0.8522 2 3 2 1"
"47","1 1 0.8024 2 3 0 1"
"48","1 1 0.8999 2 3 1 1"
"49","1 1 1.1064 2 3 2 1"
"50","1 0 0.46 2 3 0 1"
"51","1 1 0.8381 2 3 0 1"
"52","1 1 1.002 2 3 2 1"
"53","1 1 0.7254 2 3 1 1"
"54","1 0 0.8542 2 3 0 1"
