subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
44s,VDACtrain,0,g,null,null,2,g,v,5,,,
44s,VDACtrain,0,g,null,null,2,g,v,0,,,
44s,VDACtrain,0,g,true,541.6000003814697,1,r,h,1,,,
44s,VDACtrain,0,g,true,580,1,r,h,2,,,
44s,VDACtrain,0,g,true,386.5,1,r,h,0,,,
44s,VDACtrain,0,g,false,434.29999923706055,1,r,v,3,,,
44s,VDACtrain,0,g,false,753.5,1,r,v,4,,,
44s,VDACtrain,0,g,false,437.8000011444092,2,g,h,5,,,
44s,VDACtrain,0,g,null,null,2,g,v,2,,,
44s,VDACtrain,0,g,true,291.29999923706055,2,g,h,3,,,
44s,VDACtest,1,g,false,487.9000015258789,2,g,v,0,,,
44s,VDACtest,2,g,null,null,1,r,v,4,,,
44s,VDACtest,3,g,true,529.5,2,g,h,4,,,
44s,VDACtest,4,g,false,371.70000076293945,1,r,v,1,,,
44s,VDACtest,5,g,false,804.7999992370605,2,g,h,3,,,
44s,VDACtest,6,g,false,484.6000003814697,2,g,v,0,,,
44s,VDACtest,7,g,true,261.29999923706055,2,g,v,2,,,
44s,VDACtest,8,g,true,421.1999988555908,1,r,h,4,,,
44s,VDACtest,9,g,true,259.5999984741211,1,r,v,2,,,
44s,VDACtest,10,g,true,356.79999923706055,2,g,h,0,,,
44s,VDACtest,11,g,true,291.6000003814697,1,r,v,0,,,
44s,VDACtest,12,g,false,277.1000003814697,1,r,v,1,,,
44s,VDACtest,13,g,true,245.89999961853027,1,r,v,5,,,
44s,VDACtest,14,g,false,374.20000076293945,1,r,v,3,,,
44s,VDACtest,15,g,true,277.0999984741211,2,g,v,1,,,
44s,VDACtest,16,g,true,290.79999923706055,2,g,v,3,,,
44s,VDACtest,17,g,false,309.1000003814697,2,g,h,3,,,
44s,VDACtest,18,g,true,293.6999988555908,1,r,h,0,,,
44s,VDACtest,19,g,true,583,1,r,h,4,,,
44s,VDACtest,20,g,true,789.6000003814697,1,r,h,3,,,
44s,VDACtest,21,g,true,949.1000003814697,2,g,v,1,,,
44s,VDACtest,22,g,true,628,1,r,h,4,,,
44s,VDACtest,23,g,true,548.6000003814697,1,r,h,3,,,
44s,VDACtest,24,g,true,612.6999988555908,1,r,v,4,,,
44s,VDACtest,25,g,true,516.2000007629395,1,r,h,3,,,
44s,VDACtest,26,g,true,613.1999988555908,1,r,h,1,,,
44s,VDACtest,27,g,true,581.5,1,r,v,5,,,
44s,VDACtest,28,g,true,885,1,r,v,0,,,
44s,VDACtest,29,g,false,469.1000003814697,1,r,v,2,,,
44s,VDACtest,30,g,null,null,2,g,h,0,,,
44s,VDACtest,31,g,false,545,1,r,v,3,,,
44s,VDACtest,32,g,null,null,2,g,h,5,,,
44s,VDACtest,33,g,true,626,1,r,h,4,,,
44s,VDACtest,34,g,true,562.8000011444092,1,r,v,3,,,
44s,VDACtest,35,g,false,629.1000003814697,1,r,h,2,,,
44s,VDACtest,36,g,false,949.6000003814697,2,g,h,5,,,
44s,VDACtest,37,g,false,580.6000003814697,1,r,v,4,,,
44s,VDACtest,38,g,false,965.2000007629395,2,g,h,1,,,
44s,VDACtest,39,g,true,580.8000011444092,1,r,h,4,,,
44s,VDACtest,40,g,true,707.5,1,r,h,0,,,
44s,VDACtest,41,g,null,null,2,g,h,5,,,
44s,VDACtest,42,g,false,816.7999992370605,2,g,v,5,,,
44s,VDACtest,43,g,false,884,2,g,v,4,,,
44s,VDACtest,44,g,false,755.9000015258789,2,g,h,2,,,
44s,VDACtest,45,g,false,741,2,g,h,1,,,
44s,VDACtest,46,g,null,null,2,g,v,3,,,
44s,VDACtest,47,g,false,865.8999996185303,2,g,h,1,,,
44s,VDACtest,48,g,true,661.2000007629395,1,r,h,5,,,
44s,VDACtest,49,g,null,null,1,r,v,1,,,
44s,VDACtest,50,g,false,560.2000007629395,1,r,h,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
44s,VDACtest,51,g,false,942,1,r,v,4,,,
44s,VDACtest,52,g,true,755.5,1,r,v,0,,,
44s,VDACtest,53,g,true,629.3000011444092,1,r,h,4,,,
44s,VDACtest,54,g,true,436.79999923706055,2,g,h,4,,,
44s,VDACtest,55,g,false,850.8999996185303,1,r,h,1,,,
44s,VDACtest,56,g,null,null,2,g,v,3,,,
44s,VDACtest,57,g,true,831.8999996185303,2,g,v,3,,,
44s,VDACtest,58,g,true,675.8000011444092,1,r,v,2,,,
44s,VDACtest,59,g,true,581.3999996185303,1,r,v,5,,,
44s,VDACtest,60,g,true,965.3999996185303,1,r,h,1,,,
44s,VDACtest,61,g,false,644.8999996185303,2,g,h,2,,,
44s,VDACtest,62,g,true,627.5,2,g,v,0,,,
44s,VDACtest,63,g,true,676.8999996185303,2,g,v,5,,,
44s,VDACtest,64,g,false,563.7999992370605,2,g,h,0,,,
44s,VDACtest,65,g,false,419.5,2,g,v,0,,,
44s,VDACtest,66,g,true,677.3999996185303,1,r,v,5,,,
44s,VDACtest,67,g,true,517,1,r,v,5,,,
44s,VDACtest,68,g,true,612.8999996185303,1,r,h,0,,,
44s,VDACtest,69,g,false,564.1999988555908,2,g,h,3,,,
44s,VDACtest,70,g,true,726.3999996185303,2,g,v,5,,,
44s,VDACtest,71,g,true,772.3000011444092,1,r,v,1,,,
44s,VDACtest,72,g,true,563.3999996185303,2,g,v,4,,,
44s,VDACtest,73,g,true,499.3999996185303,1,r,h,0,,,
44s,VDACtest,74,g,false,580.4000015258789,2,g,h,1,,,
44s,VDACtest,75,g,true,803.6999988555908,2,g,h,4,,,
44s,VDACtest,76,g,false,629.0999984741211,2,g,h,1,,,
44s,VDACtest,77,g,true,788.2000007629395,2,g,v,5,,,
44s,VDACtest,78,g,true,596.3999996185303,1,r,v,1,,,
44s,VDACtest,79,g,true,549.5,1,r,v,1,,,
44s,VDACtest,80,g,true,564.3999996185303,1,r,v,1,,,
44s,VDACtest,81,g,null,null,2,g,h,3,,,
44s,VDACtest,82,g,true,623.5,2,g,v,5,,,
44s,VDACtest,83,g,true,773.1999988555908,1,r,v,1,,,
44s,VDACtest,84,g,true,516.9000015258789,2,g,v,4,,,
44s,VDACtest,85,g,false,500,1,r,h,1,,,
