subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
ldu,VDACtrain,0,g,null,null,2,g,v,5,,,
ldu,VDACtrain,0,g,true,607.5,2,g,h,3,,,
ldu,VDACtrain,0,g,true,685.2999999523163,1,r,v,3,,,
ldu,VDACtrain,0,g,false,588.2999999523163,1,r,v,4,,,
ldu,VDACtrain,0,g,true,893.3000000715256,1,r,h,1,,,
ldu,VDACtrain,0,g,false,684.3999999761581,2,g,v,2,,,
ldu,VDACtrain,0,g,false,814.7999999523163,1,r,h,0,,,
ldu,VDACtrain,0,g,true,718.8999999761581,1,r,h,2,,,
ldu,VDACtrain,0,g,true,783,2,g,h,5,,,
ldu,VDACtrain,0,g,null,null,2,g,v,0,,,
ldu,VDACtest,1,g,true,736.2000000476837,2,g,h,4,,,
ldu,VDACtest,2,g,true,892.8999999761581,2,g,h,1,,,
ldu,VDACtest,3,g,null,null,1,r,v,3,,,
ldu,VDACtest,4,g,true,769.6000000238419,2,g,h,2,,,
ldu,VDACtest,5,g,true,719.1000000238419,1,r,h,0,,,
ldu,VDACtest,6,g,true,797.6000000238419,1,r,v,4,,,
ldu,VDACtest,7,g,true,637.5,2,g,v,5,,,
ldu,VDACtest,8,g,false,846.7000000476837,1,r,v,5,,,
ldu,VDACtest,9,g,true,989.1000000238419,2,g,h,4,,,
ldu,VDACtest,10,g,true,764.8999999761581,1,r,v,5,,,
ldu,VDACtest,11,g,true,717.1999999284744,1,r,v,0,,,
ldu,VDACtest,12,g,true,702.8999999761581,1,r,v,1,,,
ldu,VDACtest,13,g,true,686.1000000238419,2,g,v,3,,,
ldu,VDACtest,14,g,true,845.1999999284744,1,r,v,0,,,
ldu,VDACtest,15,g,true,559.5,1,r,v,1,,,
ldu,VDACtest,16,g,true,541.1999999284744,1,r,v,5,,,
ldu,VDACtest,17,g,false,685.7000000476837,2,g,v,4,,,
ldu,VDACtest,18,g,true,623.6000000238419,2,g,h,3,,,
ldu,VDACtest,19,g,false,589.8999999761581,2,g,v,2,,,
