subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
r4d,VDACtrain,0,g,null,null,1,r,h,0,,,
r4d,VDACtrain,0,g,null,null,1,r,h,1,,,
r4d,VDACtrain,0,g,true,596.5,1,r,v,4,,,
r4d,VDACtrain,0,g,true,647.8999999761581,1,r,v,3,,,
r4d,VDACtrain,0,g,true,952.2999999523163,1,r,h,2,,,
r4d,VDACtrain,0,g,null,null,2,g,v,5,,,
r4d,VDACtrain,0,g,true,631.3999999761581,2,g,v,2,,,
r4d,VDACtrain,0,g,true,535.6000000238419,2,g,v,0,,,
r4d,VDACtrain,0,g,false,600.5,2,g,h,5,,,
r4d,VDACtrain,0,g,true,456.7999999523163,2,g,h,3,,,
r4d,VDACtest,1,g,false,697.3999999761581,2,g,h,2,,,
r4d,VDACtest,2,g,true,681.1999999284744,2,g,h,5,,,
r4d,VDACtest,3,g,true,856,2,g,h,1,,,
r4d,VDACtest,4,g,null,null,1,r,v,3,,,
r4d,VDACtest,5,g,false,904.2999999523163,1,r,h,1,,,
r4d,VDACtest,6,g,true,888.7999999523163,2,g,v,0,,,
r4d,VDACtest,7,g,true,616.7000000476837,2,g,v,4,,,
r4d,VDACtest,8,g,true,985.0999999046326,1,r,v,5,,,
r4d,VDACtest,9,g,true,841.3999999761581,2,g,h,0,,,
r4d,VDACtest,10,g,true,568.3999999761581,2,g,h,1,,,
r4d,VDACtest,11,g,null,null,1,r,h,2,,,
r4d,VDACtest,12,g,null,null,1,r,h,4,,,
r4d,VDACtest,13,g,true,778.1999999284744,2,g,h,3,,,
r4d,VDACtest,14,g,true,631.7999999523163,2,g,v,2,,,
r4d,VDACtest,15,g,true,665,2,g,v,1,,,
r4d,VDACtest,16,g,true,697.1000000238419,2,g,v,0,,,
r4d,VDACtest,17,g,null,null,1,r,h,1,,,
r4d,VDACtest,18,g,null,null,2,g,h,3,,,
r4d,VDACtest,19,g,false,713,1,r,h,1,,,
r4d,VDACtest,20,g,true,600.3999999761581,2,g,h,3,,,
r4d,VDACtest,21,g,true,889.1999999284744,1,r,h,0,,,
r4d,VDACtest,22,g,true,522.2000000476837,1,r,h,0,,,
r4d,VDACtest,23,g,true,587,2,g,h,1,,,
r4d,VDACtest,24,g,true,586.3000000715256,1,r,h,5,,,
r4d,VDACtest,25,g,true,635.0999999046326,1,r,v,4,,,
r4d,VDACtest,26,g,true,650.8999999761581,2,g,v,0,,,
r4d,VDACtest,27,g,true,586.3999999761581,2,g,h,1,,,
r4d,VDACtest,28,g,false,570.5,2,g,v,3,,,
r4d,VDACtest,29,g,true,585.2000000476837,2,g,v,2,,,
r4d,VDACtest,30,g,true,616.0999999046326,2,g,v,4,,,
r4d,VDACtest,31,g,true,680,2,g,h,1,,,
r4d,VDACtest,32,g,null,null,1,r,h,3,,,
r4d,VDACtest,33,g,false,806.6000000238419,2,g,h,0,,,
r4d,VDACtest,34,g,true,601.5,1,r,h,5,,,
r4d,VDACtest,35,g,true,553.1999999284744,2,g,h,0,,,
r4d,VDACtest,36,g,true,568.6000000238419,2,g,v,0,,,
r4d,VDACtest,37,g,true,616.1000000238419,2,g,v,4,,,
r4d,VDACtest,38,g,false,856.3999999761581,1,r,v,5,,,
r4d,VDACtest,39,g,true,567.3999999761581,1,r,h,0,,,
r4d,VDACtest,40,g,true,600.7999999523163,1,r,v,4,,,
r4d,VDACtest,41,g,true,630.9000000953674,1,r,h,3,,,
r4d,VDACtest,42,g,false,776,2,g,v,3,,,
r4d,VDACtest,43,g,false,873.5,1,r,v,0,,,
r4d,VDACtest,44,g,true,760.8999999761581,2,g,v,3,,,
r4d,VDACtest,45,g,true,664.8999999761581,2,g,h,2,,,
r4d,VDACtest,46,g,null,null,1,r,v,3,,,
r4d,VDACtest,47,g,true,649,2,g,v,4,,,
r4d,VDACtest,48,g,true,634,2,g,h,4,,,
r4d,VDACtest,49,g,true,665,1,r,h,3,,,
r4d,VDACtest,50,g,true,616.6000000238419,2,g,v,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
r4d,VDACtest,51,g,null,null,1,r,v,5,,,
r4d,VDACtest,52,g,true,649.8999999761581,2,g,h,1,,,
r4d,VDACtest,53,g,true,872.6000000238419,1,r,h,0,,,
r4d,VDACtest,54,g,true,680.8000000715256,2,g,h,5,,,
r4d,VDACtest,55,g,true,569.8999999761581,1,r,v,1,,,
r4d,VDACtest,56,g,true,537.1000000238419,2,g,h,3,,,
r4d,VDACtest,57,g,false,488.7000000476837,1,r,v,3,,,
r4d,VDACtest,58,g,true,504.6999999284744,1,r,v,3,,,
r4d,VDACtest,59,g,true,810.3000000715256,1,r,v,1,,,
r4d,VDACtest,60,g,null,null,1,r,h,4,,,
r4d,VDACtest,61,g,true,872.8999999761581,2,g,h,4,,,
r4d,VDACtest,62,g,true,504.39999997615814,1,r,h,4,,,
r4d,VDACtest,63,g,true,934.6000000238419,1,r,h,1,,,
r4d,VDACtest,64,g,true,521.3999999761581,1,r,h,5,,,
r4d,VDACtest,65,g,false,423.10000002384186,2,g,h,4,,,
r4d,VDACtest,66,g,true,583.1000000238419,1,r,h,0,,,
r4d,VDACtest,67,g,true,599.8999999761581,1,r,v,2,,,
r4d,VDACtest,68,g,true,552.8999999761581,2,g,h,0,,,
r4d,VDACtest,69,g,true,617.3999999761581,1,r,v,4,,,
r4d,VDACtest,70,g,false,681.7999999523163,1,r,v,1,,,
r4d,VDACtest,71,g,true,711.8999999761581,1,r,h,5,,,
r4d,VDACtest,72,g,true,682.7000000476837,2,g,v,5,,,
r4d,VDACtest,73,g,true,695.1000000238419,1,r,h,4,,,
r4d,VDACtest,74,g,false,728.3999999761581,2,g,v,2,,,
r4d,VDACtest,75,g,true,487.89999997615814,2,g,v,4,,,
r4d,VDACtest,76,g,true,745.5,1,r,h,2,,,
r4d,VDACtest,77,g,true,440,1,r,v,4,,,
r4d,VDACtest,78,g,true,616.5,1,r,h,2,,,
r4d,VDACtest,79,g,true,472.60000002384186,2,g,v,5,,,
r4d,VDACtest,80,g,true,502.7000000476837,1,r,h,0,,,
r4d,VDACtest,81,g,true,631.3999999761581,1,r,v,0,,,
r4d,VDACtest,82,g,false,408.8000000715256,2,g,v,2,,,
r4d,VDACtest,83,g,true,568.7000000476837,2,g,h,2,,,
r4d,VDACtest,84,g,true,490.5,2,g,h,0,,,
r4d,VDACtest,85,g,true,502.2999999523163,2,g,h,3,,,
r4d,VDACtest,86,g,true,552.5,2,g,h,0,,,
r4d,VDACtest,87,g,true,665.6999999284744,1,r,h,3,,,
r4d,VDACtest,88,g,true,647.3999999761581,1,r,v,2,,,
r4d,VDACtest,89,g,true,632,1,r,v,5,,,
r4d,VDACtest,90,g,false,504.5,2,g,v,3,,,
