subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
g6u,VDACtrain,0,g,null,null,2,g,h,5,,,
g6u,VDACtrain,0,g,null,null,1,r,v,3,,,
g6u,VDACtrain,0,g,false,941.7999999523163,1,r,h,0,,,
g6u,VDACtrain,0,g,true,675.4000000953674,2,g,h,3,,,
g6u,VDACtrain,0,g,true,955.7000000476837,2,g,v,2,,,
g6u,VDACtrain,0,g,null,null,1,r,h,2,,,
g6u,VDACtrain,0,g,false,997.9000000953674,1,r,h,1,,,
g6u,VDACtrain,0,g,true,596.8999998569489,2,g,v,0,,,
g6u,VDACtrain,0,g,true,875.8999998569489,1,r,v,4,,,
g6u,VDACtrain,0,g,true,771.9000000953674,2,g,v,5,,,
g6u,VDACtest,1,g,null,null,1,r,v,0,,,
g6u,VDACtest,2,g,true,983.1000001430511,1,r,v,2,,,
g6u,VDACtest,3,g,false,778.2999999523163,1,r,h,0,,,
g6u,VDACtest,4,g,true,970.2000000476837,1,r,v,4,,,
g6u,VDACtest,5,g,true,812.8000001907349,2,g,h,0,,,
g6u,VDACtest,6,g,true,642.2999999523163,1,r,v,4,,,
g6u,VDACtest,7,g,false,779.1999998092651,1,r,v,2,,,
g6u,VDACtest,8,g,true,651.2000000476837,1,r,v,1,,,
g6u,VDACtest,9,g,false,760.2999999523163,1,r,h,1,,,
g6u,VDACtest,10,g,true,621.1000001430511,1,r,v,4,,,
g6u,VDACtest,11,g,false,572,1,r,h,1,,,
g6u,VDACtest,12,g,true,618.5999999046326,1,r,v,0,,,
g6u,VDACtest,13,g,true,756,1,r,v,0,,,
g6u,VDACtest,14,g,true,620.5,2,g,v,4,,,
g6u,VDACtest,15,g,false,411.7999999523163,1,r,h,0,,,
g6u,VDACtest,16,g,true,539.7000000476837,2,g,v,4,,,
g6u,VDACtest,17,g,true,540.3000001907349,2,g,v,4,,,
g6u,VDACtest,18,g,true,379.39999985694885,1,r,h,3,,,
g6u,VDACtest,19,g,false,386.2000000476837,2,g,h,0,,,
g6u,VDACtest,20,g,true,638.7999999523163,1,r,h,0,,,
g6u,VDACtest,21,g,true,491.7999999523163,2,g,v,1,,,
g6u,VDACtest,22,g,true,587.6000001430511,1,r,h,4,,,
g6u,VDACtest,23,g,false,403.5,2,g,h,0,,,
g6u,VDACtest,24,g,true,523,2,g,h,0,,,
g6u,VDACtest,25,g,true,891.5,1,r,v,5,,,
g6u,VDACtest,26,g,false,515.5,2,g,h,5,,,
g6u,VDACtest,27,g,true,570.5,2,g,h,0,,,
g6u,VDACtest,28,g,false,474.5,1,r,h,0,,,
g6u,VDACtest,29,g,false,924.7000000476837,1,r,h,4,,,
g6u,VDACtest,30,g,true,549,1,r,v,4,,,
g6u,VDACtest,31,g,true,467.39999985694885,1,r,h,4,,,
g6u,VDACtest,32,g,true,700.7000000476837,1,r,h,2,,,
g6u,VDACtest,33,g,true,632.7000000476837,2,g,h,3,,,
g6u,VDACtest,34,g,true,627.9000000953674,1,r,h,3,,,
g6u,VDACtest,35,g,false,451.09999990463257,2,g,h,4,,,
g6u,VDACtest,36,g,true,652.9000000953674,2,g,v,3,,,
g6u,VDACtest,37,g,true,516.2999999523163,1,r,h,5,,,
g6u,VDACtest,38,g,false,659.7000000476837,1,r,v,2,,,
g6u,VDACtest,39,g,true,531.1000001430511,2,g,v,3,,,
g6u,VDACtest,40,g,true,500.39999985694885,1,r,v,1,,,
g6u,VDACtest,41,g,false,365,1,r,h,4,,,
g6u,VDACtest,42,g,true,450,1,r,v,5,,,
g6u,VDACtest,43,g,false,420.59999990463257,1,r,v,3,,,
g6u,VDACtest,44,g,false,475.7999999523163,2,g,h,5,,,
g6u,VDACtest,45,g,true,635.4000000953674,2,g,h,4,,,
g6u,VDACtest,46,g,false,845.3999998569489,1,r,h,1,,,
g6u,VDACtest,47,g,true,549.2999999523163,2,g,v,0,,,
g6u,VDACtest,48,g,true,500.2999999523163,2,g,v,5,,,
g6u,VDACtest,49,g,true,428.90000009536743,2,g,v,5,,,
g6u,VDACtest,50,g,true,684.1999998092651,2,g,v,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
g6u,VDACtest,51,g,true,847,1,r,v,2,,,
g6u,VDACtest,52,g,true,897,2,g,h,5,,,
g6u,VDACtest,53,g,false,636.7999999523163,1,r,h,1,,,
g6u,VDACtest,54,g,true,572.5,1,r,v,1,,,
g6u,VDACtest,55,g,true,540.9000000953674,1,r,h,0,,,
g6u,VDACtest,56,g,true,779.5999999046326,1,r,v,4,,,
g6u,VDACtest,57,g,true,484.69999980926514,2,g,h,3,,,
g6u,VDACtest,58,g,true,620.3999998569489,2,g,v,1,,,
g6u,VDACtest,59,g,true,509.90000009536743,1,r,v,1,,,
g6u,VDACtest,60,g,false,500,1,r,v,2,,,
g6u,VDACtest,61,g,true,649.2000000476837,2,g,h,3,,,
g6u,VDACtest,62,g,true,530.6999998092651,2,g,v,5,,,
g6u,VDACtest,63,g,false,476.2999999523163,2,g,h,1,,,
g6u,VDACtest,64,g,false,450.30000019073486,2,g,h,4,,,
g6u,VDACtest,65,g,true,944.3000001907349,1,r,v,0,,,
g6u,VDACtest,66,g,true,599.3999998569489,2,g,v,0,,,
g6u,VDACtest,67,g,true,513.6000001430511,2,g,v,0,,,
g6u,VDACtest,68,g,true,501.2999999523163,2,g,h,4,,,
g6u,VDACtest,69,g,false,495.09999990463257,1,r,h,1,,,
g6u,VDACtest,70,g,true,494.10000014305115,1,r,h,2,,,
g6u,VDACtest,71,g,true,455.5,1,r,h,2,,,
g6u,VDACtest,72,g,true,446,1,r,h,2,,,
g6u,VDACtest,73,g,false,366.80000019073486,1,r,h,0,,,
g6u,VDACtest,74,g,false,429.90000009536743,2,g,v,2,,,
g6u,VDACtest,75,g,true,392.40000009536743,2,g,v,0,,,
g6u,VDACtest,76,g,true,564.8999998569489,1,r,v,1,,,
