subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
xqo,VDACtrain,0,g,null,null,1,r,h,0,,,
xqo,VDACtrain,0,g,null,null,1,r,h,2,,,
xqo,VDACtrain,0,g,true,940.2999999523163,2,g,v,0,,,
xqo,VDACtrain,0,g,null,null,2,g,v,5,,,
xqo,VDACtrain,0,g,true,670.2000000476837,2,g,h,3,,,
xqo,VDACtrain,0,g,null,null,2,g,h,5,,,
xqo,VDACtrain,0,g,true,630.1000001430511,1,r,h,1,,,
xqo,VDACtrain,0,g,null,null,1,r,v,3,,,
xqo,VDACtrain,0,g,null,null,2,g,v,2,,,
xqo,VDACtrain,0,g,true,715.2999999523163,1,r,v,4,,,
xqo,VDACtest,1,g,true,664.4000000953674,2,g,v,2,,,
xqo,VDACtest,2,g,true,704.5,1,r,h,2,,,
xqo,VDACtest,3,g,true,592.2000000476837,2,g,v,4,,,
xqo,VDACtest,4,g,true,814.6999998092651,2,g,h,5,,,
xqo,VDACtest,5,g,null,null,2,g,h,4,,,
xqo,VDACtest,6,g,null,null,1,r,v,3,,,
xqo,VDACtest,7,g,false,958.5999999046326,2,g,v,2,,,
xqo,VDACtest,8,g,true,861.3000001907349,2,g,v,5,,,
xqo,VDACtest,9,g,null,null,1,r,h,1,,,
xqo,VDACtest,10,g,false,791.7999999523163,2,g,h,3,,,
xqo,VDACtest,11,g,true,725.6000001430511,2,g,h,4,,,
xqo,VDACtest,12,g,true,697.7999999523163,1,r,v,2,,,
xqo,VDACtest,13,g,true,609.1999998092651,2,g,h,4,,,
xqo,VDACtest,14,g,true,702.8000001907349,2,g,v,1,,,
xqo,VDACtest,15,g,true,738.2999999523163,1,r,h,3,,,
xqo,VDACtest,16,g,false,863.6999998092651,2,g,v,3,,,
xqo,VDACtest,17,g,true,936.2999999523163,2,g,h,5,,,
xqo,VDACtest,18,g,true,863.7999999523163,2,g,h,2,,,
xqo,VDACtest,19,g,true,509.90000009536743,2,g,v,3,,,
xqo,VDACtest,20,g,true,960.1000001430511,1,r,h,4,,,
xqo,VDACtest,21,g,null,null,1,r,h,5,,,
xqo,VDACtest,22,g,true,609,1,r,h,3,,,
xqo,VDACtest,23,g,true,807.6999998092651,1,r,h,3,,,
xqo,VDACtest,24,g,null,null,1,r,h,2,,,
xqo,VDACtest,25,g,true,607.4000000953674,2,g,h,2,,,
xqo,VDACtest,26,g,true,982.8999998569489,1,r,v,5,,,
xqo,VDACtest,27,g,false,641.2000000476837,2,g,h,0,,,
xqo,VDACtest,28,g,null,null,1,r,v,3,,,
xqo,VDACtest,29,g,true,869.4000000953674,2,g,h,0,,,
xqo,VDACtest,30,g,true,801.9000000953674,2,g,v,1,,,
xqo,VDACtest,31,g,true,929.1000001430511,1,r,h,4,,,
xqo,VDACtest,32,g,true,793.7000000476837,1,r,h,3,,,
xqo,VDACtest,33,g,true,615.3000001907349,2,g,v,5,,,
xqo,VDACtest,34,g,true,865.7999999523163,2,g,h,0,,,
xqo,VDACtest,35,g,true,551.8000001907349,1,r,v,5,,,
xqo,VDACtest,36,g,true,744.2999999523163,2,g,h,3,,,
xqo,VDACtest,37,g,true,888.6000001430511,1,r,v,0,,,
xqo,VDACtest,38,g,true,905.2000000476837,1,r,v,1,,,
xqo,VDACtest,39,g,true,959.5999999046326,1,r,h,3,,,
xqo,VDACtest,40,g,true,823.6999998092651,1,r,v,1,,,
xqo,VDACtest,41,g,false,888,1,r,v,2,,,
xqo,VDACtest,42,g,null,null,2,g,h,4,,,
xqo,VDACtest,43,g,true,769.0999999046326,2,g,v,1,,,
