subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
bhq,VDACtrain,0,g,null,null,1,r,h,1,,,
bhq,VDACtrain,0,g,true,809,1,r,v,4,,,
bhq,VDACtrain,0,g,null,null,2,g,v,5,,,
bhq,VDACtrain,0,g,false,810.7000000476837,2,g,v,2,,,
bhq,VDACtrain,0,g,true,966,1,r,v,3,,,
bhq,VDACtrain,0,g,null,null,2,g,h,3,,,
bhq,VDACtrain,0,g,null,null,1,r,h,0,,,
bhq,VDACtrain,0,g,true,628.3000001907349,1,r,h,2,,,
bhq,VDACtrain,0,g,true,648.0999999046326,2,g,h,5,,,
bhq,VDACtrain,0,g,true,737.0999999046326,2,g,v,0,,,
bhq,VDACtest,1,g,true,728.8000001907349,2,g,h,4,,,
bhq,VDACtest,2,g,true,908.8999998569489,2,g,v,0,,,
bhq,VDACtest,3,g,null,null,2,g,h,1,,,
bhq,VDACtest,4,g,true,828.0999999046326,2,g,h,1,,,
bhq,VDACtest,5,g,true,813.5,1,r,h,5,,,
bhq,VDACtest,6,g,true,631.5999999046326,1,r,v,1,,,
bhq,VDACtest,7,g,true,720.5999999046326,1,r,h,0,,,
bhq,VDACtest,8,g,true,710.2999999523163,2,g,h,4,,,
bhq,VDACtest,9,g,false,870.8000001907349,1,r,h,2,,,
bhq,VDACtest,10,g,true,616.0999999046326,1,r,h,2,,,
bhq,VDACtest,11,g,true,571.4000000953674,2,g,h,2,,,
bhq,VDACtest,12,g,true,950.8000001907349,2,g,h,4,,,
bhq,VDACtest,13,g,true,542.4000000953674,1,r,v,3,,,
bhq,VDACtest,14,g,true,926,2,g,v,5,,,
bhq,VDACtest,15,g,true,957,1,r,v,1,,,
bhq,VDACtest,16,g,null,null,2,g,h,0,,,
bhq,VDACtest,17,g,true,666.4000000953674,1,r,h,0,,,
bhq,VDACtest,18,g,true,638.6000001430511,2,g,h,5,,,
bhq,VDACtest,19,g,true,575.5,2,g,h,5,,,
bhq,VDACtest,20,g,true,655.2000000476837,1,r,v,2,,,
bhq,VDACtest,21,g,false,614,1,r,v,5,,,
bhq,VDACtest,22,g,true,616.5,1,r,h,5,,,
bhq,VDACtest,23,g,false,613.5,1,r,v,2,,,
bhq,VDACtest,24,g,true,575,2,g,h,2,,,
bhq,VDACtest,25,g,true,894.1000001430511,1,r,h,4,,,
bhq,VDACtest,26,g,true,847.2000000476837,2,g,v,1,,,
bhq,VDACtest,27,g,true,685.4000000953674,2,g,v,3,,,
bhq,VDACtest,28,g,true,742.7000000476837,2,g,h,0,,,
bhq,VDACtest,29,g,false,631.4000000953674,2,g,v,2,,,
bhq,VDACtest,30,g,true,839.2000000476837,1,r,h,4,,,
bhq,VDACtest,31,g,false,558.7999999523163,1,r,h,5,,,
bhq,VDACtest,32,g,true,790.3999998569489,2,g,v,1,,,
bhq,VDACtest,33,g,true,518.5,2,g,h,3,,,
bhq,VDACtest,34,g,true,777.2999999523163,2,g,h,4,,,
bhq,VDACtest,35,g,true,733.7000000476837,1,r,h,1,,,
bhq,VDACtest,36,g,true,643.4000000953674,1,r,v,0,,,
bhq,VDACtest,37,g,true,839.0999999046326,1,r,h,3,,,
bhq,VDACtest,38,g,true,687.2999999523163,1,r,h,4,,,
bhq,VDACtest,39,g,true,590.7999999523163,1,r,v,0,,,
bhq,VDACtest,40,g,null,null,2,g,v,3,,,
bhq,VDACtest,41,g,true,717,2,g,v,0,,,
bhq,VDACtest,42,g,true,879.4000000953674,1,r,v,1,,,
bhq,VDACtest,43,g,true,549,2,g,v,0,,,
bhq,VDACtest,44,g,true,751.0999999046326,2,g,v,2,,,
bhq,VDACtest,45,g,true,927.8999998569489,1,r,v,3,,,
bhq,VDACtest,46,g,true,895.3999998569489,1,r,h,2,,,
bhq,VDACtest,47,g,true,823.3999998569489,2,g,v,4,,,
bhq,VDACtest,48,g,true,566.1999998092651,2,g,v,4,,,
bhq,VDACtest,49,g,true,583.2000000476837,1,r,h,2,,,
bhq,VDACtest,50,g,null,null,1,r,v,5,,,
