subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
fo6,VDACtrain,0,r,null,null,1,g,v,5,,,
fo6,VDACtrain,0,r,true,771,1,g,v,2,,,
fo6,VDACtrain,0,r,null,null,2,r,h,2,,,
fo6,VDACtrain,0,r,true,584.8000000119209,1,g,h,3,,,
fo6,VDACtrain,0,r,true,640.6999999880791,2,r,h,0,,,
fo6,VDACtrain,0,r,true,615.1000000238419,2,r,v,3,,,
fo6,VDACtrain,0,r,true,795,2,r,v,4,,,
fo6,VDACtrain,0,r,true,867,2,r,h,1,,,
fo6,VDACtrain,0,r,true,631.1000000238419,1,g,v,0,,,
fo6,VDACtrain,0,r,true,537.5999999642372,1,g,h,5,,,
fo6,VDACtest,1,r,true,659.6999999880791,2,r,v,3,,,
fo6,VDACtest,2,r,false,592.1999999880791,1,g,v,4,,,
fo6,VDACtest,3,r,true,720,2,r,h,2,,,
fo6,VDACtest,4,r,true,522.3999999761581,1,g,h,4,,,
fo6,VDACtest,5,r,true,634.3000000119209,1,g,v,1,,,
fo6,VDACtest,6,r,true,625.6000000238419,2,r,h,1,,,
fo6,VDACtest,7,r,true,505.2000000476837,2,r,v,1,,,
fo6,VDACtest,8,r,false,490,1,g,h,1,,,
fo6,VDACtest,9,r,true,736,2,r,h,5,,,
fo6,VDACtest,10,r,true,640.4000000357628,1,g,v,3,,,
fo6,VDACtest,11,r,true,465.5999999642372,1,g,h,5,,,
fo6,VDACtest,12,r,false,447.39999997615814,2,r,v,2,,,
fo6,VDACtest,13,r,true,584.3999999761581,2,r,v,2,,,
fo6,VDACtest,14,r,true,705.9000000357628,1,g,v,0,,,
fo6,VDACtest,15,r,true,720.6000000238419,1,g,h,1,,,
fo6,VDACtest,16,r,true,569.1999999880791,2,r,h,2,,,
fo6,VDACtest,17,r,true,498.10000002384186,2,r,v,5,,,
fo6,VDACtest,18,r,true,639.6999999880791,1,g,v,0,,,
fo6,VDACtest,19,r,true,656.8999999761581,2,r,v,4,,,
fo6,VDACtest,20,r,true,744.8000000119209,1,g,h,1,,,
fo6,VDACtest,21,r,true,671.9000000357628,2,r,v,5,,,
fo6,VDACtest,22,r,false,632.6999999880791,1,g,v,0,,,
fo6,VDACtest,23,r,true,495.9000000357628,1,g,v,1,,,
fo6,VDACtest,24,r,true,552.5,1,g,h,2,,,
fo6,VDACtest,25,r,true,576.5999999642372,2,r,v,0,,,
fo6,VDACtest,26,r,true,457.19999998807907,1,g,h,3,,,
fo6,VDACtest,27,r,true,633,2,r,v,4,,,
fo6,VDACtest,28,r,false,624.3000000119209,1,g,v,3,,,
fo6,VDACtest,29,r,true,664.6999999880791,2,r,h,4,,,
fo6,VDACtest,30,r,true,913.1999999880791,1,g,h,3,,,
fo6,VDACtest,31,r,true,585.3000000119209,2,r,h,1,,,
fo6,VDACtest,32,r,true,617.5,2,r,h,5,,,
fo6,VDACtest,33,r,true,568.8000000119209,1,g,v,3,,,
fo6,VDACtest,34,r,true,471.9000000357628,1,g,v,2,,,
fo6,VDACtest,35,r,true,614.5999999642372,1,g,h,0,,,
fo6,VDACtest,36,r,true,642.0999999642372,1,g,h,2,,,
fo6,VDACtest,37,r,true,601.5,1,g,h,5,,,
fo6,VDACtest,38,r,true,631.6000000238419,1,g,v,4,,,
fo6,VDACtest,39,r,true,760.7999999523163,2,r,h,3,,,
fo6,VDACtest,40,r,true,825.1999999880791,1,g,h,4,,,
fo6,VDACtest,41,r,true,687.6000000238419,2,r,v,2,,,
fo6,VDACtest,42,r,false,562.2999999523163,1,g,h,4,,,
fo6,VDACtest,43,r,true,627.0999999642372,1,g,h,5,,,
fo6,VDACtest,44,r,true,664.7000000476837,1,g,h,1,,,
fo6,VDACtest,45,r,true,857.9000000357628,2,r,v,3,,,
fo6,VDACtest,46,r,true,768.1000000238419,2,r,h,1,,,
fo6,VDACtest,47,r,true,512.8000000119209,1,g,v,4,,,
fo6,VDACtest,48,r,false,608,2,r,v,5,,,
fo6,VDACtest,49,r,false,753.5999999642372,1,g,h,4,,,
fo6,VDACtest,50,r,true,768,1,g,v,2,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
fo6,VDACtest,51,r,true,719.1999999880791,2,r,v,0,,,
fo6,VDACtest,52,r,true,625,1,g,h,0,,,
fo6,VDACtest,53,r,true,591.5,2,r,h,4,,,
fo6,VDACtest,54,r,true,616.8999999761581,2,r,v,5,,,
fo6,VDACtest,55,r,true,615,2,r,h,1,,,
fo6,VDACtest,56,r,true,594,1,g,h,0,,,
fo6,VDACtest,57,r,true,586.6999999880791,2,r,v,1,,,
fo6,VDACtest,58,r,true,535.3000000119209,1,g,v,5,,,
fo6,VDACtest,59,r,true,527.5,1,g,h,0,,,
fo6,VDACtest,60,r,false,777,2,r,v,2,,,
fo6,VDACtest,61,r,true,607.6999999880791,1,g,h,0,,,
fo6,VDACtest,62,r,true,641.7000000476837,2,r,v,5,,,
fo6,VDACtest,63,r,true,544.5,2,r,h,0,,,
fo6,VDACtest,64,r,false,713.1000000238419,2,r,h,4,,,
fo6,VDACtest,65,r,true,727.6999999880791,1,g,h,0,,,
fo6,VDACtest,66,r,true,623.9000000357628,2,r,h,4,,,
fo6,VDACtest,67,r,true,671.8000000119209,2,r,h,1,,,
fo6,VDACtest,68,r,true,679.8000000119209,2,r,v,2,,,
fo6,VDACtest,69,r,true,616.6999999880791,2,r,h,3,,,
fo6,VDACtest,70,r,true,568.5,2,r,v,4,,,
fo6,VDACtest,71,r,null,null,1,g,h,3,,,
fo6,VDACtest,72,r,true,454.39999997615814,1,g,h,3,,,
fo6,VDACtest,73,r,true,583.5999999642372,2,r,v,1,,,
fo6,VDACtest,74,r,true,935.5999999642372,1,g,v,2,,,
fo6,VDACtest,75,r,true,562.3999999761581,1,g,v,0,,,
fo6,VDACtest,76,r,false,655.5999999642372,1,g,h,4,,,
fo6,VDACtest,77,r,true,657,2,r,h,5,,,
fo6,VDACtest,78,r,true,584.0999999642372,2,r,h,0,,,
fo6,VDACtest,79,r,true,535,1,g,h,2,,,
fo6,VDACtest,80,r,true,446.9000000357628,2,r,v,4,,,
fo6,VDACtest,81,r,true,503.10000002384186,2,r,h,3,,,
fo6,VDACtest,82,r,true,471.30000001192093,1,g,v,2,,,
fo6,VDACtest,83,r,false,577.5999999642372,2,r,v,2,,,
fo6,VDACtest,84,r,true,697.1000000238419,2,r,h,1,,,
fo6,VDACtest,85,r,true,633.1999999880791,2,r,h,0,,,
fo6,VDACtest,86,r,true,520,2,r,v,0,,,
fo6,VDACtest,87,r,true,721.5999999642372,1,g,v,5,,,
fo6,VDACtest,88,r,true,719.6000000238419,1,g,v,1,,,
fo6,VDACtest,89,r,true,488.19999998807907,2,r,h,5,,,
fo6,VDACtest,90,r,true,650.1999999880791,1,g,h,1,,,
fo6,VDACtest,91,r,null,null,2,r,v,3,,,
fo6,VDACtest,92,r,true,576.6999999880791,1,g,v,2,,,
fo6,VDACtest,93,r,true,664.5,1,g,h,0,,,
fo6,VDACtest,94,r,false,503.80000001192093,1,g,h,5,,,
fo6,VDACtest,95,r,true,681,2,r,h,3,,,
fo6,VDACtest,96,r,true,583.7000000476837,1,g,h,1,,,
fo6,VDACtest,97,r,true,544,2,r,v,3,,,
fo6,VDACtest,98,r,true,527.5999999642372,1,g,v,2,,,
fo6,VDACtest,99,r,true,650.8000000119209,2,r,h,3,,,
fo6,VDACtest,100,r,true,760,1,g,h,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
fo6,VDACtest,101,r,true,640.5999999642372,2,r,v,3,,,
fo6,VDACtest,102,r,true,584.5,2,r,v,1,,,
fo6,VDACtest,103,r,true,502.69999998807907,1,g,v,0,,,
fo6,VDACtest,104,r,true,601.8000000119209,1,g,v,4,,,
fo6,VDACtest,105,r,true,478.89999997615814,1,g,v,5,,,
fo6,VDACtest,106,r,true,568.3999999761581,2,r,h,2,,,
fo6,VDACtest,107,r,true,448.69999998807907,1,g,v,1,,,
fo6,VDACtest,108,r,true,544.1000000238419,2,r,v,5,,,
fo6,VDACtest,109,r,true,552.7999999523163,1,g,v,1,,,
fo6,VDACtest,110,r,true,616.8000000119209,1,g,h,4,,,
fo6,VDACtest,111,r,true,625.1999999880791,2,r,h,3,,,
fo6,VDACtest,112,r,false,561.3000000119209,2,r,v,1,,,
fo6,VDACtest,113,r,true,567.1000000238419,2,r,h,2,,,
fo6,VDACtest,114,r,true,464.69999998807907,2,r,v,4,,,
fo6,VDACtest,115,r,true,440.39999997615814,1,g,v,4,,,
fo6,VDACtest,116,r,true,409.10000002384186,2,r,v,4,,,
fo6,VDACtest,117,r,true,480.19999998807907,1,g,v,0,,,
fo6,VDACtest,118,r,true,551.5,2,r,v,3,,,
fo6,VDACtest,119,r,true,465.60000002384186,1,g,h,0,,,
fo6,VDACtest,120,r,true,615.4000000357628,2,r,v,3,,,
fo6,VDACtest,121,r,true,487.80000001192093,2,r,v,0,,,
fo6,VDACtest,122,r,true,737.6000000238419,2,r,h,1,,,
fo6,VDACtest,123,r,true,504.9000000357628,1,g,v,5,,,
fo6,VDACtest,124,r,true,673.4000000357628,2,r,h,4,,,
fo6,VDACtest,125,r,true,673.2999999523163,2,r,h,0,,,
fo6,VDACtest,126,r,true,479.89999997615814,1,g,v,3,,,
fo6,VDACtest,127,r,true,520.1999999880791,1,g,h,5,,,
fo6,VDACtest,128,r,true,536.8000000119209,1,g,v,1,,,
fo6,VDACtest,129,r,true,576,1,g,h,3,,,
fo6,VDACtest,130,r,true,656.3000000119209,2,r,h,4,,,
fo6,VDACtest,131,r,true,623.5,2,r,h,1,,,
fo6,VDACtest,132,r,true,536.1000000238419,2,r,h,0,,,
fo6,VDACtest,133,r,true,400.80000001192093,1,g,v,4,,,
fo6,VDACtest,134,r,true,447.30000001192093,1,g,h,4,,,
fo6,VDACtest,135,r,true,470.9000000357628,2,r,h,3,,,
fo6,VDACtest,136,r,true,463.5,1,g,h,1,,,
fo6,VDACtest,137,r,true,528.8000000119209,1,g,v,0,,,
fo6,VDACtest,138,r,true,584.1000000238419,2,r,v,5,,,
fo6,VDACtest,139,r,false,496.80000001192093,1,g,h,4,,,
fo6,VDACtest,140,r,false,487.30000001192093,1,g,v,5,,,
fo6,VDACtest,141,r,true,751.8000000119209,2,r,h,2,,,
fo6,VDACtest,142,r,true,607.9000000357628,2,r,h,1,,,
fo6,VDACtest,143,r,true,457.2999999523163,2,r,v,0,,,
fo6,VDACtest,144,r,true,567.9000000357628,1,g,h,2,,,
fo6,VDACtest,145,r,true,583.8000000119209,2,r,h,0,,,
fo6,VDACtest,146,r,true,464.19999998807907,2,r,v,1,,,
fo6,VDACtest,147,r,true,454.39999997615814,2,r,h,2,,,
fo6,VDACtest,148,r,true,559.6000000238419,1,g,h,5,,,
fo6,VDACtest,149,r,true,416.10000002384186,1,g,v,1,,,
fo6,VDACtest,150,r,true,441.10000002384186,2,r,v,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
fo6,VDACtest,151,r,true,569,2,r,v,0,,,
fo6,VDACtest,152,r,true,503.80000001192093,1,g,v,3,,,
fo6,VDACtest,153,r,true,521.1999999880791,2,r,v,1,,,
fo6,VDACtest,154,r,true,401,2,r,h,2,,,
fo6,VDACtest,155,r,true,583.1999999880791,2,r,h,0,,,
fo6,VDACtest,156,r,true,463.89999997615814,2,r,h,2,,,
fo6,VDACtest,157,r,true,463.69999998807907,1,g,v,5,,,
fo6,VDACtest,158,r,true,546.5999999642372,1,g,v,2,,,
fo6,VDACtest,159,r,false,475,1,g,h,3,,,
fo6,VDACtest,160,r,true,486.60000002384186,1,g,v,1,,,
fo6,VDACtest,161,r,true,535.4000000357628,1,g,v,2,,,
fo6,VDACtest,162,r,true,655.3000000119209,2,r,h,4,,,
fo6,VDACtest,163,r,true,639.8999999761581,1,g,h,1,,,
fo6,VDACtest,164,r,true,670.7999999523163,1,g,v,0,,,
fo6,VDACtest,165,r,true,511.2999999523163,1,g,v,5,,,
fo6,VDACtest,166,r,true,647,2,r,v,3,,,
fo6,VDACtest,167,r,true,496.5,1,g,v,3,,,
fo6,VDACtest,168,r,true,488.19999998807907,1,g,h,4,,,
fo6,VDACtest,169,r,true,601.1999999880791,1,g,h,2,,,
fo6,VDACtest,170,r,true,551.5,2,r,h,3,,,
fo6,VDACtest,171,r,true,575.3000000119209,2,r,h,5,,,
fo6,VDACtest,172,r,true,423.69999998807907,1,g,v,4,,,
fo6,VDACtest,173,r,true,560.5,2,r,v,1,,,
fo6,VDACtest,174,r,true,478.10000002384186,1,g,h,3,,,
fo6,VDACtest,175,r,false,856.7000000476837,2,r,v,0,,,
fo6,VDACtest,176,r,true,599.6999999880791,1,g,h,1,,,
fo6,VDACtest,177,r,true,519.5,2,r,h,5,,,
fo6,VDACtest,178,r,true,543.5999999642372,2,r,h,0,,,
fo6,VDACtest,179,r,true,504.30000001192093,1,g,h,3,,,
fo6,VDACtest,180,r,true,490.30000001192093,1,g,v,1,,,
fo6,VDACtest,181,r,true,640.6999999880791,2,r,v,2,,,
fo6,VDACtest,182,r,true,494.7999999523163,2,r,v,2,,,
fo6,VDACtest,183,r,true,496.30000001192093,2,r,v,4,,,
fo6,VDACtest,184,r,true,464.5,1,g,v,4,,,
fo6,VDACtest,185,r,true,438.60000002384186,2,r,h,4,,,
fo6,VDACtest,186,r,true,567.5999999642372,1,g,h,2,,,
fo6,VDACtest,187,r,true,432.89999997615814,1,g,v,4,,,
fo6,VDACtest,188,r,true,527.8000000119209,1,g,h,2,,,
fo6,VDACtest,189,r,true,438.5999999642372,1,g,v,5,,,
fo6,VDACtest,190,r,true,696.3000000119209,2,r,h,5,,,
fo6,VDACtest,191,r,true,471,2,r,v,5,,,
fo6,VDACtest,192,r,true,544.5999999642372,2,r,h,4,,,
fo6,VDACtest,193,r,true,584.5,1,g,v,3,,,
fo6,VDACtest,194,r,true,544.6999999880791,1,g,h,5,,,
fo6,VDACtest,195,r,true,655.5,1,g,h,2,,,
fo6,VDACtest,196,r,true,720.8999999761581,2,r,v,4,,,
fo6,VDACtest,197,r,true,432.60000002384186,2,r,v,4,,,
fo6,VDACtest,198,r,true,550.5999999642372,1,g,v,3,,,
fo6,VDACtest,199,r,true,486.7999999523163,2,r,v,0,,,
fo6,VDACtest,200,r,true,608.2000000476837,2,r,h,5,,,
fo6,RSVPtrain,0,r,true,1506.3999999761581,2,r,,3,2,1,
fo6,RSVPtrain,0,r,false,1092.699999988079,1,g,,3,0,1,
fo6,RSVPtrain,0,r,true,1787.4000000357628,2,r,,1,1,2,
fo6,RSVPtrain,0,r,true,1213.699999988079,0,b,,3,3,0,
fo6,RSVPtrain,0,r,true,740.3999999761581,1,g,,2,2,2,
fo6,RSVPtrain,0,r,false,708.3999999761581,0,b,,0,3,0,
fo6,RSVPtrain,0,r,true,1098.1000000238419,0,b,,1,3,0,
fo6,RSVPtrain,0,r,true,1182.4000000357628,1,g,,3,1,1,
fo6,RSVPtrain,0,r,true,708.1000000238419,1,g,,1,0,1,
fo6,RSVPtrain,0,r,true,1061,2,r,,0,0,2,
fo6,RSVPtest,1,r,true,683.6000000238419,2,r,,3,2,1,
fo6,RSVPtest,2,r,true,603,2,r,,3,0,1,
fo6,RSVPtest,3,r,true,908.5999999642372,0,b,,2,3,0,
fo6,RSVPtest,4,r,true,516.1999999880791,2,r,,3,0,1,
fo6,RSVPtest,5,r,false,818.2000000476837,1,g,,3,0,1,
fo6,RSVPtest,6,r,true,594.8000000119209,2,r,,3,2,1,
fo6,RSVPtest,7,r,true,1154.3999999761581,2,r,,3,1,1,
fo6,RSVPtest,8,r,true,635.6999999880791,1,g,,1,0,1,
fo6,RSVPtest,9,r,true,881.8999999761581,2,r,,3,2,1,
fo6,RSVPtest,10,r,true,400.89999997615814,1,g,,0,1,1,
fo6,RSVPtest,11,r,true,476,2,r,,0,1,1,
fo6,RSVPtest,12,r,false,896.4000000357628,2,r,,2,2,2,
fo6,RSVPtest,13,r,true,859.6999999880791,1,g,,3,0,1,
fo6,RSVPtest,14,r,true,729.3000000119209,0,b,,3,3,0,
fo6,RSVPtest,15,r,true,411.4000000357628,1,g,,1,0,1,
fo6,RSVPtest,16,r,true,698.6999999880791,2,r,,3,0,1,
fo6,RSVPtest,17,r,true,601.5999999642372,2,r,,3,0,1,
fo6,RSVPtest,18,r,true,736.6000000238419,1,g,,3,1,1,
fo6,RSVPtest,19,r,true,699.3000000119209,1,g,,3,2,1,
fo6,RSVPtest,20,r,true,970.6999999880791,1,g,,0,0,2,
fo6,RSVPtest,21,r,true,523.3000000119209,2,r,,3,0,1,
fo6,RSVPtest,22,r,true,984.9000000357628,2,r,,0,1,1,
fo6,RSVPtest,23,r,false,481.7999999523163,1,g,,0,2,1,
fo6,RSVPtest,24,r,true,556,0,b,,3,3,0,
fo6,RSVPtest,25,r,true,331.10000002384186,0,b,,2,3,0,
fo6,RSVPtest,26,r,false,402.5999999642372,1,g,,3,0,1,
fo6,RSVPtest,27,r,true,634.6999999880791,0,b,,0,3,0,
fo6,RSVPtest,28,r,false,617.3000000119209,1,g,,0,1,1,
fo6,RSVPtest,29,r,false,868.1000000238419,0,b,,0,3,0,
fo6,RSVPtest,30,r,false,665,2,r,,0,2,1,
fo6,RSVPtest,31,r,true,616.6999999880791,1,g,,3,1,1,
fo6,RSVPtest,32,r,true,624.6000000238419,0,b,,3,3,0,
