subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
w1c,VDACtrain,0,r,null,null,1,g,v,0,,,
w1c,VDACtrain,0,r,true,844.9000000953674,1,g,v,2,,,
w1c,VDACtrain,0,r,null,null,2,r,h,0,,,
w1c,VDACtrain,0,r,null,null,1,g,v,5,,,
w1c,VDACtrain,0,r,null,null,2,r,v,4,,,
w1c,VDACtrain,0,r,null,null,2,r,h,1,,,
w1c,VDACtrain,0,r,null,null,2,r,v,3,,,
w1c,VDACtrain,0,r,true,270.2999999523163,1,g,h,3,,,
w1c,VDACtrain,0,r,false,844.5,2,r,h,2,,,
w1c,VDACtrain,0,r,null,null,1,g,h,5,,,
w1c,VDACtest,1,r,true,622.1999998092651,1,g,v,5,,,
w1c,VDACtest,2,r,null,null,1,g,h,2,,,
w1c,VDACtest,3,r,true,582.7000000476837,2,r,v,0,,,
w1c,VDACtest,4,r,null,null,1,g,h,4,,,
w1c,VDACtest,5,r,true,822.2999999523163,2,r,h,0,,,
w1c,VDACtest,6,r,null,null,1,g,h,3,,,
w1c,VDACtest,7,r,null,null,2,r,h,1,,,
w1c,VDACtest,8,r,null,null,1,g,v,2,,,
w1c,VDACtest,9,r,null,null,2,r,v,4,,,
w1c,VDACtest,10,r,false,690.8999998569489,2,r,h,0,,,
w1c,VDACtest,11,r,null,null,2,r,v,3,,,
attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,attCheck,
w1c,VDACtest,12,r,null,null,1,g,h,3,,,
w1c,VDACtest,13,r,true,678.0999999046326,2,r,v,5,,,
w1c,VDACtest,14,r,true,645.1000001430511,1,g,v,4,,,
w1c,VDACtest,15,r,true,467.7000000476837,2,r,v,4,,,
w1c,VDACtest,16,r,null,null,1,g,v,1,,,
w1c,VDACtest,17,r,false,153,2,r,v,4,,,
w1c,VDACtest,18,r,false,429.10000014305115,1,g,h,3,,,
w1c,VDACtest,19,r,true,938.6999998092651,2,r,h,0,,,
w1c,VDACtest,20,r,true,796.2000000476837,1,g,v,5,,,
w1c,VDACtest,21,r,true,964.5,2,r,h,1,,,
w1c,VDACtest,22,r,null,null,1,g,v,2,,,
w1c,VDACtest,23,r,null,null,2,r,v,3,,,
w1c,VDACtest,24,r,true,924.5,2,r,v,4,,,
w1c,VDACtest,25,r,true,709,2,r,v,1,,,
w1c,VDACtest,26,r,null,null,1,g,v,3,,,
w1c,VDACtest,27,r,null,null,1,g,v,2,,,
w1c,VDACtest,28,r,true,843.7999999523163,1,g,v,3,,,
w1c,VDACtest,29,r,true,836.3000001907349,2,r,h,4,,,
w1c,VDACtest,30,r,true,700.0999999046326,1,g,v,4,,,
w1c,VDACtest,31,r,null,null,2,r,v,2,,,
w1c,VDACtest,32,r,true,871.2999999523163,1,g,v,0,,,
w1c,VDACtest,33,r,true,660.8000001907349,2,r,v,1,,,
w1c,VDACtest,34,r,true,820.2000000476837,2,r,v,2,,,
w1c,VDACtest,35,r,true,924.1000001430511,2,r,h,5,,,
w1c,VDACtest,36,r,true,593.7000000476837,2,r,h,4,,,
w1c,VDACtest,37,r,true,791.1000001430511,2,r,h,1,,,
w1c,VDACtest,38,r,true,550.9000000953674,2,r,h,1,,,
w1c,VDACtest,39,r,true,618.5999999046326,2,r,v,5,,,
w1c,VDACtest,40,r,true,779.3999998569489,2,r,h,0,,,
w1c,VDACtest,41,r,null,null,1,g,h,4,,,
w1c,VDACtest,42,r,true,648.5,1,g,v,1,,,
w1c,VDACtest,43,r,false,621.2000000476837,2,r,v,4,,,
w1c,VDACtest,44,r,true,802.7000000476837,1,g,h,4,,,
w1c,VDACtest,45,r,null,null,1,g,h,3,,,
w1c,VDACtest,46,r,null,null,1,g,v,3,,,
w1c,VDACtest,47,r,true,969.7000000476837,2,r,h,5,,,
w1c,VDACtest,48,r,true,646.3999998569489,2,r,h,1,,,
w1c,VDACtest,49,r,false,925.0999999046326,2,r,v,4,,,
w1c,VDACtest,50,r,true,682.5999999046326,2,r,h,3,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
w1c,VDACtest,51,r,null,null,1,g,v,1,,,
w1c,VDACtest,52,r,true,808.3999998569489,2,r,h,2,,,
w1c,VDACtest,53,r,true,733.3999998569489,1,g,h,2,,,
w1c,VDACtest,54,r,null,null,1,g,h,0,,,
w1c,VDACtest,55,r,true,479.5,2,r,v,1,,,
