subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
aec,VDACtrain,0,r,null,null,1,g,v,5,,,
aec,VDACtrain,0,r,null,null,2,r,v,4,,,
aec,VDACtrain,0,r,null,null,2,r,h,0,,,
aec,VDACtrain,0,r,true,897.2000000029802,2,r,h,1,,,
aec,VDACtrain,0,r,null,null,1,g,h,3,,,
aec,VDACtrain,0,r,true,792.1000000089407,1,g,v,0,,,
aec,VDACtrain,0,r,true,837.2000000029802,2,r,v,3,,,
aec,VDACtrain,0,r,null,null,1,g,h,5,,,
aec,VDACtrain,0,r,false,681.9000000059605,1,g,v,2,,,
aec,VDACtrain,0,r,true,700.1000000089407,2,r,h,2,,,
aec,VDACtest,1,r,false,768.4000000059605,1,g,h,0,,,
aec,VDACtest,2,r,true,798.6000000089407,1,g,h,0,,,
aec,VDACtest,3,r,true,676.2999999970198,2,r,v,5,,,
aec,VDACtest,4,r,false,707.5,1,g,h,5,,,
aec,VDACtest,5,r,false,820.5999999940395,1,g,h,4,,,
aec,VDACtest,6,r,false,845.2999999970198,1,g,h,4,,,
aec,VDACtest,7,r,false,834.3999999910593,2,r,v,2,,,
aec,VDACtest,8,r,true,691.7000000029802,2,r,v,1,,,
aec,VDACtest,9,r,false,655.5999999940395,2,r,v,1,,,
aec,VDACtest,10,r,false,542.5,1,g,v,2,,,
aec,VDACtest,11,r,true,412.40000000596046,1,g,v,2,,,
aec,VDACtest,12,r,true,725.0999999940395,1,g,v,4,,,
aec,VDACtest,13,r,true,556.3999999910593,1,g,h,2,,,
aec,VDACtest,14,r,true,708.6999999880791,2,r,v,4,,,
aec,VDACtest,15,r,true,837,1,g,h,5,,,
aec,VDACtest,16,r,true,828.7999999970198,2,r,h,4,,,
aec,VDACtest,17,r,true,548.4000000059605,2,r,v,3,,,
aec,VDACtest,18,r,false,693.1999999880791,1,g,v,0,,,
aec,VDACtest,19,r,false,700.8999999910593,2,r,h,4,,,
aec,VDACtest,20,r,true,677.6999999880791,2,r,v,1,,,
aec,VDACtest,21,r,true,819.1999999880791,1,g,h,2,,,
aec,VDACtest,22,r,true,877.2999999970198,2,r,h,2,,,
aec,VDACtest,23,r,true,659,2,r,h,2,,,
aec,VDACtest,24,r,true,669.2999999970198,2,r,v,3,,,
aec,VDACtest,25,r,true,667,1,g,v,3,,,
aec,VDACtest,26,r,false,877.0999999940395,2,r,v,0,,,
aec,VDACtest,27,r,true,565.5,1,g,v,1,,,
aec,VDACtest,28,r,true,468.70000000298023,2,r,h,5,,,
aec,VDACtest,29,r,true,692.1999999880791,2,r,v,2,,,
aec,VDACtest,30,r,true,638.2999999970198,1,g,v,1,,,
aec,VDACtest,31,r,true,397.59999999403954,2,r,h,2,,,
aec,VDACtest,32,r,true,372.3999999910593,2,r,v,1,,,
aec,VDACtest,33,r,true,532.5,1,g,h,3,,,
aec,VDACtest,34,r,true,579.7000000029802,2,r,v,4,,,
aec,VDACtest,35,r,true,557.5999999940395,2,r,v,2,,,
aec,VDACtest,36,r,true,396.79999999701977,1,g,h,2,,,
aec,VDACtest,37,r,false,444.6000000089407,1,g,v,2,,,
aec,VDACtest,38,r,false,890.5,2,r,h,1,,,
aec,VDACtest,39,r,true,724.7999999970198,1,g,h,2,,,
aec,VDACtest,40,r,true,778.5999999940395,2,r,h,4,,,
aec,VDACtest,41,r,true,908,2,r,h,2,,,
aec,VDACtest,42,r,true,371.6000000089407,1,g,v,1,,,
aec,VDACtest,43,r,true,821.4000000059605,2,r,v,0,,,
aec,VDACtest,44,r,true,589,2,r,h,1,,,
aec,VDACtest,45,r,true,603.4000000059605,1,g,v,5,,,
aec,VDACtest,46,r,false,804.8000000119209,2,r,v,4,,,
aec,VDACtest,47,r,false,748.9000000059605,2,r,h,3,,,
aec,VDACtest,48,r,true,500.6000000089407,2,r,v,4,,,
aec,VDACtest,49,r,true,678,1,g,v,4,,,
aec,VDACtest,50,r,false,868.9000000059605,2,r,h,5,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
aec,VDACtest,51,r,true,915,1,g,v,3,,,
aec,VDACtest,52,r,true,836.7000000029802,2,r,v,1,,,
aec,VDACtest,53,r,true,541,1,g,h,1,,,
aec,VDACtest,54,r,true,484.79999999701977,2,r,h,2,,,
aec,VDACtest,55,r,false,692.4000000059605,2,r,v,2,,,
aec,VDACtest,56,r,null,null,2,r,h,5,,,
aec,VDACtest,57,r,true,751.1999999880791,1,g,v,4,,,
aec,VDACtest,58,r,true,532.8999999910593,2,r,v,4,,,
aec,VDACtest,59,r,true,380,2,r,h,2,,,
aec,VDACtest,60,r,false,708.5999999940395,2,r,h,0,,,
aec,VDACtest,61,r,true,613.2000000029802,1,g,h,2,,,
aec,VDACtest,62,r,true,411.30000001192093,2,r,v,3,,,
aec,VDACtest,63,r,true,668.0999999940395,1,g,h,3,,,
aec,VDACtest,64,r,true,708.2999999970198,1,g,v,2,,,
aec,VDACtest,65,r,true,661,1,g,h,5,,,
aec,VDACtest,66,r,false,755.9000000059605,2,r,h,0,,,
aec,VDACtest,67,r,true,612,2,r,v,2,,,
