SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
0mekmebymd,o0a27gbusc,Sat Dec 05 2020 01:05:46 GMT+0000 (GMT),2020-12-5,1:5:46,1,Know,29,BETTY,BETTY,true,3887,1,14,8,0,1,21,20,1,2,1,1804.0000000002328,1:29:36,121855,60697.00000000023,
0mekmebymd,undefined,undefined,undefined,undefined,2,Familiar,27,NA,NA,NA,NA,2,27,28,0,2,11,4,1,0,1,1586,undefined,144384,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,3,Know,34,COURTNEY,COURTNEY,true,8423,3,34,12,1,3,2,33,1,0,1,1804.9999999997672,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,4,Know,32,MARGARET,MARGARET,true,22592.999999999884,4,17,30,2,4,17,30,0,2,0,2136,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,5,Familiar,6,NA,NA,NA,NA,5,9,23,2,5,6,25,0,0,0,2773,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,6,Know,19,ALYSSA,ALYSSA,true,3210,6,2,4,0,6,29,2,0,1,0,1481,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,7,Familiar,33,NA,NA,NA,NA,7,30,13,2,7,20,16,1,2,1,2241,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,8,Know,8,ASHLEY,ASHLEY,true,2904,8,13,26,2,8,3,5,1,1,1,1699.0000000002328,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,9,Know,25,BRIANNA,BRIANNA,true,3129,9,33,32,0,9,34,12,0,1,0,1865,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,10,Familiar,4,NA,NA,NA,NA,10,18,5,1,10,31,36,1,0,1,1575,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,11,Familiar,24,NA,NA,NA,NA,11,19,1,1,11,15,26,1,2,1,1451,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,12,Know,28,EMILY,EMILY ,false,5011.000000000116,12,6,25,0,12,12,29,0,0,0,2332,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,13,Know,3,LISA,LISA,true,2522,13,31,27,0,13,1,27,1,0,1,1424,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,14,Familiar,12,NA,NA,NA,NA,14,16,21,1,14,18,31,1,1,1,1382,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,15,Familiar,1,NA,NA,NA,NA,15,32,6,1,15,13,35,1,2,1,1754,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,16,Know,35,SAMANTHA,SAMANTHA,true,3707,16,24,10,0,16,25,9,0,1,0,1564,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,17,Know,16,LAUREN,LAUREN,true,2650,17,20,20,2,17,30,15,1,2,0,1360,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,18,Familiar,14,NA,NA,NA,NA,18,1,36,0,18,22,11,1,1,0,3305,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,19,Know,18,ELIZABETH,ELIZABETH,true,7025,19,10,14,0,19,27,28,0,0,0,2554.999999999767,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,20,Familiar,31,NA,NA,NA,NA,20,3,31,1,20,4,22,0,0,1,1991,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,21,Familiar,11,NA,NA,NA,NA,21,29,2,1,21,5,13,1,2,1,1722,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,22,Know,22,SOFIA,SOPHIA,false,3548,22,12,29,0,22,26,19,0,2,0,1462,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,23,Familiar,10,NA,NA,NA,NA,23,28,11,1,23,23,7,0,2,0,1426,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,24,Familiar,2,NA,NA,NA,NA,24,15,35,2,24,24,10,0,0,1,1625,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,25,Know,22,SOFIA,SOFIA,true,4993,25,36,17,2,25,36,17,0,2,1,1259,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,26,Know,18,ELIZABETH,LAUREN,false,17352,26,4,22,0,26,8,18,0,1,0,1314,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,27,Familiar,12,NA,NA,NA,NA,27,23,7,2,27,9,23,0,2,0,1367,undefined,undefined,undefined,
0mekmebymd,undefined,undefined,undefined,undefined,28,Familiar,33,NA,NA,NA,NA,28,21,16,2,28,32,6,0,1,0,1317,undefined,undefined,undefined,
