SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
4ezucnjhmx,0w7azo87gl,Thu Dec 03 2020 12:37:23 GMT-0600 (CST),2020-12-3,12:37:23,1,Familiar,23,NA,NA,NA,NA,1,33,5,2,1,19,31,0,2,1,1609,12:58:48,121183,62047.00000000023,
4ezucnjhmx,undefined,undefined,undefined,undefined,2,Know,27,NANCY,NANCY,true,3634,2,32,34,2,2,27,35,0,1,0,1072,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,3,Familiar,34,NA,NA,NA,NA,3,13,28,1,3,24,32,0,1,0,754.0000000002328,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,4,Familiar,3,NA,NA,NA,NA,4,17,16,0,4,12,6,1,0,1,1009,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,5,Know,25,NICOLE,NICOLE,true,3965,5,28,9,2,5,34,7,0,0,1,1090,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,6,Familiar,17,NA,NA,NA,NA,6,26,2,2,6,14,3,1,1,1,780,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,7,Familiar,18,NA,NA,NA,NA,7,27,35,1,7,30,14,1,1,1,1032,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,8,Know,35,VICTORIA,VICTORIA,true,3608.000000000029,8,20,12,1,8,36,29,1,0,1,940,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,9,Know,13,BETTY,BETH,false,4822,9,18,18,0,9,9,25,1,0,1,878,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,10,Familiar,22,NA,NA,NA,NA,10,36,6,0,10,13,28,0,1,0,4843,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,11,Know,24,AMANDA,AMANDA,true,2863,11,10,1,2,11,22,33,0,0,0,966,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,12,Know,15,MEGAN,MEGAN,true,4647.000000000029,12,11,19,0,12,17,16,0,0,0,2135,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,13,Familiar,12,NA,NA,NA,NA,13,31,11,0,13,7,12,1,1,1,1577.9999999997672,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,14,Know,14,GRACE,GRACE,true,2564,14,25,27,1,14,10,1,0,2,0,1437,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,15,Know,20,LAUREN,LAUREN,true,2794.000000000029,15,4,22,1,15,1,2,1,2,1,976.0000000002328,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,16,Familiar,9,NA,NA,NA,NA,16,22,33,0,16,26,17,1,2,1,1028,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,17,Familiar,2,NA,NA,NA,NA,17,24,32,1,17,16,24,0,2,0,888,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,18,Know,21,COURTNEY,COURTNEY,true,5951.999999999971,18,21,23,1,18,3,10,0,0,0,1202,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,19,Know,7,SARAH,SARAH,true,4923,19,1,17,2,19,20,4,1,1,1,1689.0000000002328,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,20,Familiar,31,NA,NA,NA,NA,20,9,20,0,20,15,13,0,1,0,2279,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,21,Familiar,11,NA,NA,NA,NA,21,5,26,2,21,32,34,0,2,1,1730,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,22,Know,4,RACHEL,RACHEL,true,4158.999999999971,22,30,3,1,22,2,20,1,0,0,1955,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,23,Know,30,BRITTANY,CAROLINE,false,11793,23,7,4,1,23,25,27,0,1,1,2944.000000000233,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,24,Familiar,36,NA,NA,NA,NA,24,16,24,2,24,23,15,0,0,0,837,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,25,Familiar,12,NA,NA,NA,NA,25,2,25,0,25,28,9,0,2,0,758,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,26,Know,15,MEGAN,RACHEL,false,7461,26,34,7,0,26,18,18,0,0,0,1095,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,27,Know,35,VICTORIA,BRITTANY,false,5016,27,15,13,1,27,33,8,1,2,0,1345,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,28,Familiar,9,NA,NA,NA,NA,28,29,8,2,28,11,11,1,0,1,1508,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,29,Know,21,COURTNEY,MEGAN,false,4370.999999999942,29,35,36,1,29,4,23,1,1,1,807,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,30,Know,24,AMANDA,BRITTANY,false,3609,30,19,31,2,30,21,22,1,1,1,1823,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,31,Familiar,34,NA,NA,NA,NA,31,3,10,0,31,31,19,1,0,1,903.9999999997672,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,32,Familiar,3,NA,NA,NA,NA,32,14,14,1,32,29,5,1,2,1,1327,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,33,Know,30,BRITTANY,VICTORIA,false,3838,33,12,29,0,33,5,30,1,2,1,1467.9999999997672,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,34,Familiar,18,NA,NA,NA,NA,34,6,21,2,34,8,26,1,2,1,2862,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,35,Familiar,31,NA,NA,NA,NA,35,8,30,2,35,35,36,0,1,0,1485,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,36,Know,13,BETTY,BETTY,true,4925,36,23,15,0,36,6,21,0,2,0,3519,undefined,undefined,undefined,
