SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
4fyyxzvrnk,gtw3676tzs,Fri Oct 09 2020 00:18:52 GMT-0500 (CDT),2020-10-9,0:18:52,1,Familiar,29,NA,NA,NA,NA,1,9,30,0,1,6,9,0,2,0,4426,0:42:24,120530,63630,
4fyyxzvrnk,undefined,undefined,undefined,undefined,2,Know,7,VICTORIA,VICTORIA,true,7622.999999999985,2,31,25,1,2,34,17,1,1,1,1799,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,3,Know,31,BETTY,BETTY,true,4082,3,2,20,2,3,12,14,1,2,1,1712.9999999997672,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,4,Familiar,19,NA,NA,NA,NA,4,10,5,2,4,19,24,0,0,0,2537.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,5,Familiar,8,NA,NA,NA,NA,5,23,8,1,5,7,22,0,1,0,1625,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,6,Know,23,RACHEL,RACHEL,true,4438,6,33,32,2,6,33,32,0,2,0,4266.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,7,Familiar,17,NA,NA,NA,NA,7,22,17,1,7,5,26,1,2,0,2565,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,8,Know,27,ELIZABETH,ELIZABETH,true,4194,8,34,23,1,8,22,23,1,1,1,3845,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,9,Know,11,STEPHANIE,STEPHANIE,true,4127,9,8,35,0,9,14,21,1,1,1,1819,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,10,Familiar,36,NA,NA,NA,NA,10,27,6,1,10,36,7,0,0,0,3022.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,11,Know,18,KAYLA,KAYLA,true,3168,11,1,18,2,11,23,8,0,1,0,1526.9999999997672,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,12,Familiar,32,NA,NA,NA,NA,12,3,11,0,12,27,6,0,1,1,3616,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,13,Familiar,26,NA,NA,NA,NA,13,12,26,2,13,21,2,1,2,0,2796.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,14,Know,34,MARY,MARY,true,3494,14,30,2,2,14,25,11,1,0,0,5686,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,15,Familiar,3,NA,NA,NA,NA,15,24,27,0,15,13,4,0,2,0,3139,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,16,Familiar,24,NA,NA,NA,NA,16,16,13,1,16,18,33,0,1,0,1679,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,17,Know,16,LISA,LISA,true,2627.999999999971,17,36,7,0,17,17,31,0,0,1,1875,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,18,Know,20,HANNAH,HANNAH,true,2805,18,13,4,2,18,30,28,1,2,1,1814.9999999997672,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,19,Familiar,28,NA,NA,NA,NA,19,7,22,1,19,31,25,0,1,0,5466,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,20,Know,14,CHLOE,CHLOE,true,3792,20,28,1,0,20,35,3,1,1,1,1216,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,21,Know,22,ALEXIS,ALEXIS,true,3870,21,21,28,2,21,15,10,0,2,0,6781.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,22,Familiar,9,NA,NA,NA,NA,22,14,3,1,22,10,5,0,2,1,1523,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,23,Familiar,25,NA,NA,NA,NA,23,35,21,1,23,4,15,0,2,0,1623,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,24,Know,35,LAUREN,LAUREN,true,2882,24,15,10,2,24,29,36,0,0,0,2573,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,25,Know,31,BETTY,BETTY,true,5660,25,17,31,0,25,11,29,0,1,0,1711,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,26,Familiar,25,NA,NA,NA,NA,26,25,34,0,26,3,34,1,0,1,2117.000000000233,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,27,Know,7,VICTORIA,RACHEL,false,5705,27,5,14,2,27,2,18,1,2,1,1407.0000000002328,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,28,Familiar,24,NA,NA,NA,NA,28,29,36,0,28,26,1,1,0,1,1088,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,29,Familiar,32,NA,NA,NA,NA,29,4,15,2,29,28,19,1,0,0,1781,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,30,Know,35,LAUREN,BETTY,false,9709,30,19,24,0,30,20,13,1,1,1,1285,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,31,Know,22,ALEXIS,BETTY,false,5163,31,18,33,1,31,24,30,1,0,0,4769,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,32,Familiar,8,NA,NA,NA,NA,32,6,9,2,32,1,20,1,2,0,4029,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,33,Familiar,26,NA,NA,NA,NA,33,11,29,1,33,8,35,0,0,0,1517.0000000002328,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,34,Know,11,STEPHANIE,STEPHANIE,true,3834,34,20,16,1,34,16,16,1,1,0,2963,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,35,Familiar,29,NA,NA,NA,NA,35,26,19,0,35,9,27,1,0,1,3540,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,36,Know,18,KAYLA,BETTY,false,5903,36,32,12,0,36,32,12,0,0,1,5536.999999999767,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,37,Know,27,ELIZABETH,RACHEL,false,8371,37,12,26,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,38,Familiar,28,NA,NA,NA,NA,38,31,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,39,Know,16,LISA,LISA,true,2298.999999999942,39,15,10,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,40,Know,20,HANNAH,BETTY,false,2916,40,29,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,41,Familiar,17,NA,NA,NA,NA,41,18,33,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,42,Familiar,9,NA,NA,NA,NA,42,28,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,43,Know,14,CHLOE,BETTY,false,7114,43,24,27,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,44,Familiar,36,NA,NA,NA,NA,44,4,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,45,Familiar,3,NA,NA,NA,NA,45,8,35,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,46,Know,34,MARY,LAUREN,false,4286,46,30,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,47,Familiar,19,NA,NA,NA,NA,47,36,7,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,48,Know,23,RACHEL,BETH,false,2965,48,17,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,49,Know,31,BETTY,ALEXIS,false,3675.000000000058,49,2,20,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,50,Familiar,29,NA,NA,NA,NA,50,26,19,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,51,Familiar,36,NA,NA,NA,NA,51,5,14,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,52,Know,20,HANNAH,LAUREN,false,3945,52,7,22,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,53,Familiar,17,NA,NA,NA,NA,53,20,16,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,54,Familiar,28,NA,NA,NA,NA,54,1,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4fyyxzvrnk,undefined,undefined,undefined,undefined,55,Know,35,LAUREN,LAUREN,true,3371,55,27,6,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
