SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
7aqjzr0ree,hsoumlj59g,Wed Nov 18 2020 16:08:14 GMT-0600 (CST),2020-11-18,16:8:14,1,Know,11,BETTY,BETTY,true,5616,1,16,5,0,1,23,10,1,0,1,4205,16:32:17,120312,61590,
7aqjzr0ree,undefined,undefined,undefined,undefined,2,Familiar,30,NA,NA,NA,NA,2,14,12,0,2,8,6,1,0,1,1171,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,3,Know,35,NICOLE,NICOLE,true,3915,3,18,14,1,3,20,31,0,2,1,1052,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,4,Familiar,27,NA,NA,NA,NA,4,3,33,2,4,33,16,1,1,1,1172,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,5,Know,12,MADISON,MADISON,true,3599.000000000029,5,23,6,0,5,1,4,1,2,1,1414.0000000002328,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,6,Familiar,36,NA,NA,NA,NA,6,20,31,2,6,13,24,1,1,1,1139,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,7,Familiar,5,NA,NA,NA,NA,7,27,22,0,7,31,28,1,1,1,1364,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,8,Know,22,NANCY,NANCY,true,3692,8,11,20,1,8,35,21,0,1,0,1276.9999999997672,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,9,Know,28,KAREN,KAREN,true,6006,9,12,1,1,9,7,19,0,2,0,1849,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,10,Familiar,29,NA,NA,NA,NA,10,8,10,0,10,14,12,0,0,0,1967,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,11,Know,18,GRACE,GRACE,true,3274,11,4,29,0,11,34,36,1,0,1,1853,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,12,Familiar,14,NA,NA,NA,NA,12,13,16,1,12,6,32,1,0,1,1478,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,13,Know,19,AMANDA,AMANDA,true,2756.000000000058,13,31,3,1,13,16,29,1,0,1,1148.0000000002328,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,14,Familiar,4,NA,NA,NA,NA,14,10,34,2,14,9,17,1,2,1,1148.0000000002328,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,15,Familiar,23,NA,NA,NA,NA,15,21,8,2,15,4,5,1,0,1,964,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,16,Know,15,ELIZABETH,ELIZABETH,true,4207,16,30,18,0,16,24,3,1,1,1,833,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,17,Know,31,RACHEL,RACHEL,true,3995.999999999942,17,15,15,1,17,17,34,1,2,0,1326,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,18,Familiar,16,NA,NA,NA,NA,18,19,26,1,18,11,20,0,1,0,2225,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,19,Know,13,COURTNEY,COURTNY,false,4745,19,26,30,2,19,18,14,0,1,0,1182,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,20,Know,24,SARAH,SARAH,true,9940.999999999942,20,6,36,0,20,25,9,0,2,0,764,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,21,Familiar,6,NA,NA,NA,NA,21,7,19,2,21,29,13,0,0,0,908,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,22,Familiar,8,NA,NA,NA,NA,22,25,9,2,22,32,25,0,2,1,1654,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,23,Know,33,BRITTANY,BRITANNY,false,4946,23,24,28,1,23,12,1,0,1,0,1719.9999999997672,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,24,Familiar,34,NA,NA,NA,NA,24,1,17,2,24,22,11,0,1,0,986,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,25,Familiar,8,NA,NA,NA,NA,25,17,35,2,25,10,35,1,2,1,3028,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,26,Know,35,NICOLE,SARAH,false,23819,26,5,27,0,26,26,30,0,2,0,1566.0000000002328,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,27,Know,22,NANCY,NANCY,true,17861.00000000006,27,32,25,2,27,27,22,0,0,0,1487,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,28,Familiar,4,NA,NA,NA,NA,28,33,24,1,28,15,26,1,1,1,1074,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,29,Know,13,COURTNEY,MADISON,false,4375,29,22,11,1,29,21,2,1,2,1,1293,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,30,Know,28,KAREN,MADISON,false,4177,30,36,23,0,30,28,7,0,1,0,841.9999999997672,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,31,Familiar,30,NA,NA,NA,NA,31,28,7,1,31,30,18,0,0,0,1437,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,32,Know,31,RACHEL,AMANDA,false,13507,32,35,21,1,32,2,8,1,2,1,1502.9999999997672,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,33,Familiar,16,NA,NA,NA,NA,33,34,32,0,33,5,27,0,0,1,3061.000000000233,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,34,Know,19,AMANDA,AMANDA,true,7163,34,9,4,2,34,3,33,0,2,0,1277,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,35,Familiar,23,NA,NA,NA,NA,35,29,13,0,35,19,15,1,1,1,1493.0000000002328,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,36,Familiar,27,NA,NA,NA,NA,36,2,2,2,36,36,23,0,0,0,1124,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,37,Know,24,SARAH,SARAH,true,7353,37,27,22,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,38,Familiar,29,NA,NA,NA,NA,38,4,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,39,Familiar,6,NA,NA,NA,NA,39,20,31,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,40,Know,15,ELIZABETH,ELIZABETH,true,9483,40,33,24,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,41,Familiar,36,NA,NA,NA,NA,41,2,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
7aqjzr0ree,undefined,undefined,undefined,undefined,42,Know,18,GRACE,MADISON,false,7304.999999999884,42,5,27,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
