SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
7ma5x9dl10,b9vyxdbw8l,Mon Oct 19 2020 22:06:54 GMT-0500 (Central Daylight Time),2020-10-19,22:6:54,1,Familiar,30,NA,NA,NA,NA,1,3,9,0,1,22,19,1,0,1,1655.8049999875948,23:30:51,211746.58500001533,62769.88999999594,
7ma5x9dl10,undefined,undefined,undefined,undefined,2,Know,32,REBECCA,REBECCA,true,5140.830000047572,2,23,36,1,2,15,16,1,1,0,1404.3599999858998,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,3,Familiar,8,NA,NA,NA,NA,3,21,29,0,3,6,10,1,2,1,1353.7449999712408,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,4,Know,27,KAYLA,KAYLA,true,3036.3149999757297,4,25,20,0,4,31,17,1,2,1,1747.5850000046194,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,5,Familiar,2,NA,NA,NA,NA,5,18,5,2,5,3,9,0,0,0,1197.0299999811687,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,6,Know,33,NICOLE,NICOLE,true,3166.045000019949,6,1,35,2,6,30,3,0,0,0,1141.3549999706447,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,7,Know,29,VICTORIA,VICTORIA,true,4415.634999983013,7,24,13,1,7,5,22,0,2,0,1439.8049999726936,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,8,Familiar,14,NA,NA,NA,NA,8,4,8,1,8,20,32,1,0,1,1350.1300000352785,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,9,Know,28,NANCY,NANCY,true,2615.15500000678,9,14,25,0,9,26,2,0,2,1,1628.5900000366382,undefined,undefined,undefined,
7ma5x9dl10,undefined,undefined,undefined,undefined,10,Know,10,JESSICA,JESSICA,true,2161.1200000043027,10,10,27,1,10,12,33,1,1,0,1555.3200000431389,undefined,undefined,undefined,
