SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
yn98fydbhx,c611z22lad,Sun Oct 04 2020 17:02:05 GMT-0500 (Central Daylight Time),2020-10-4,17:2:5,1,Know,27,PATRICIA,PATRICIA,true,3505.795000004582,1,16,8,2,1,19,15,0,2,1,2658.19499999634,17:23:42,121820.65000000875,62387.15999998385,
yn98fydbhx,undefined,undefined,undefined,undefined,2,Know,18,SOFIA,SOFIA,true,1950.7200000225566,2,28,33,1,2,30,14,0,1,1,2552.6949999912176,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,3,Familiar,7,NA,NA,NA,NA,3,4,2,0,3,27,23,0,1,1,3399.119999987306,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,4,Know,11,ASHLEY,ASHLEY,true,1908.4399999992456,4,11,18,1,4,6,28,1,2,0,1829.79499999783,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,5,Know,15,REBECCA,REBECCA,true,2459.690000017872,5,12,26,2,5,20,4,1,0,1,1529.6499999822117,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,6,Familiar,10,NA,NA,NA,NA,6,3,13,1,6,1,12,1,0,1,1361.0499999776948,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,7,Familiar,23,NA,NA,NA,NA,7,34,19,2,7,22,31,1,2,1,2380.269999994198,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,8,Know,30,AMANDA,AMANDA,true,1485.3600000205915,8,35,17,2,8,14,30,1,0,1,1539.905000012368,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,9,Know,3,SAMANTHA,SAMANTHA,true,1952.5049999938346,9,14,21,0,9,5,9,1,1,1,1158.980000007432,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,10,Familiar,25,NA,NA,NA,NA,10,21,9,1,10,31,21,1,0,1,1280.7949999987613,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,11,Know,5,STEPHANIE,STEPHANIE,true,2429.650000005495,11,2,20,0,11,23,29,0,0,1,5901.5699999872595,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,12,Familiar,4,NA,NA,NA,NA,12,25,10,0,12,3,13,0,1,0,1400.0649999943562,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,13,Familiar,2,NA,NA,NA,NA,13,24,35,1,13,17,22,1,0,1,1799.0600000193808,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,14,Know,28,MADISON,MADISON,true,1659.1699999989942,14,5,32,1,14,32,24,0,2,0,1999.3399999802932,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,15,Know,9,KAYLA,KAYLA,true,1793.8499999872874,15,6,31,2,15,15,3,0,1,1,1326.440000004368,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,16,Familiar,20,NA,NA,NA,NA,16,13,7,1,16,29,5,1,2,1,818.4450000117067,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,17,Familiar,31,NA,NA,NA,NA,17,27,23,1,17,7,27,0,0,1,979.1499999992084,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,18,Know,24,VICTORIA,VICTORIA,true,3657.74500000407,18,10,25,0,18,21,32,1,1,1,929.0949999995064,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,19,Know,13,ZOEY,ZOEY,true,3142.5250000029337,19,15,3,1,19,2,20,0,0,0,1911.340000020573,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,20,Familiar,1,NA,NA,NA,NA,20,1,4,0,20,12,26,0,2,1,1629.030000010971,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,21,Familiar,14,NA,NA,NA,NA,21,33,5,2,21,24,33,1,1,1,939.5649999787565,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,22,Know,21,NANCY,NANCY,true,2673.1999999901745,22,17,36,0,22,25,10,0,0,1,1690.0349999777973,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,23,Familiar,26,NA,NA,NA,NA,23,20,12,0,23,11,18,0,1,1,4529.575000022305,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,24,Familiar,17,NA,NA,NA,NA,24,9,16,1,24,26,36,1,0,1,1059.880000015255,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,25,Know,11,ASHLEY,SOFIA,false,7650.500000017928,25,26,22,0,25,33,11,1,2,1,1169.5900000049733,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,26,Familiar,20,NA,NA,NA,NA,26,22,28,2,26,28,35,1,1,1,1181.3700000056997,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,27,Know,28,MADISON,ASHLEY,false,2998.6299999873154,27,19,15,2,27,10,25,0,0,1,969.2599999834783,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,28,Know,3,SAMANTHA,SAMANTHA,true,2892.405000020517,28,7,27,0,28,34,19,0,2,1,4199.144999991404,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,29,Familiar,4,NA,NA,NA,NA,29,18,6,1,29,16,8,0,2,0,1939.1700000269338,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,30,Familiar,10,NA,NA,NA,NA,30,29,11,2,30,35,1,1,2,1,1739.850000012666,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,31,Know,21,NANCY,ASHLEY,false,3912.7499999885913,31,31,30,0,31,18,6,0,1,0,2745.2200000116136,undefined,undefined,undefined,
yn98fydbhx,undefined,undefined,undefined,undefined,32,Know,5,STEPHANIE,SARAH,false,7618.49500000244,32,23,29,0,32,13,16,1,1,1,1840.154999983497,undefined,undefined,undefined,
