SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
b7ogjfknlq,4wn7lwhlng,Sun Oct 18 2020 10:15:28 GMT-0500 (Central Daylight Time),2020-10-18,10:15:28,1,Familiar,15,NA,NA,NA,NA,1,33,25,2,1,15,13,0,0,0,2612.04499998712,10:40:56,123519.25499999197,60763.12000001781,
b7ogjfknlq,undefined,undefined,undefined,undefined,2,Know,5,HANNAH,HANNAH,true,5239.499999996042,2,22,26,2,2,16,32,1,1,1,3459.0299999981653,undefined,139745.70999998832,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,3,Know,32,LAUREN,LAUREN,true,5799.1150000016205,3,19,29,0,3,21,4,1,2,1,1295.5699999874923,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,4,Familiar,26,NA,NA,NA,NA,4,20,22,1,4,35,9,0,2,1,3072.7550000010524,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,5,Know,17,BRITTANY,BRITTANY,true,9664.72000000067,5,10,35,1,5,32,36,0,1,0,1864.2649999819696,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,6,Familiar,1,NA,NA,NA,NA,6,26,15,0,6,17,14,0,1,1,2195.5550000129733,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,7,Familiar,11,NA,NA,NA,NA,7,16,30,1,7,18,20,1,2,0,3439.5349999831524,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,8,Know,20,ZOEY,ZOEY,true,6674.960000003921,8,36,17,0,8,13,30,1,1,1,1016.1199999856763,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,9,Know,8,CHLOE,CHLOE,true,5153.265000000829,9,34,5,0,9,25,8,1,2,0,996.6950000089128,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,10,Familiar,34,NA,NA,NA,NA,10,8,12,1,10,20,22,0,1,1,1301.400000025751,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,11,Familiar,23,NA,NA,NA,NA,11,2,31,1,11,14,19,0,2,0,1975.0250000215601,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,12,Know,30,STEPHANIE,STEPHANIE,true,6058.83999998332,12,28,18,2,12,26,15,0,0,0,1090.734999976121,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,13,Know,2,KAYLA,KAYLA,true,4778.535000019474,13,21,20,2,13,10,10,1,1,1,1491.4999999746215,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,14,Familiar,4,NA,NA,NA,NA,14,5,33,1,14,27,16,1,2,0,2779.664999980014,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,15,Know,29,SAMANTHA,SAMANTHA,true,4780.6300000229385,15,11,34,0,15,31,29,1,0,1,1543.4349999995902,undefined,undefined,undefined,
b7ogjfknlq,undefined,undefined,undefined,undefined,16,Familiar,3,NA,NA,NA,NA,16,29,28,1,16,19,7,1,0,0,2226.1449999932665,undefined,undefined,undefined,
