SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
bcmajgm7kd,fujvvnj8te,Sun Oct 11 2020 20:11:31 GMT-0500 (Central Daylight Time),2020-10-11,20:11:31,1,Familiar,32,NA,NA,NA,NA,1,34,14,2,1,10,31,1,1,1,1564.3649999983609,20:35:38,122141.44500001566,63847.75499999523,
bcmajgm7kd,undefined,undefined,undefined,undefined,2,Know,31,BRIANNA,BRIANNA,true,5472.669999988284,2,18,35,2,2,16,36,1,0,1,4030.6299999938346,undefined,136221.95500001544,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,3,Know,24,HANNAH,HANNAH,true,4784.030000009807,3,16,18,0,3,18,1,1,2,1,1575.5449999999255,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,4,Familiar,22,NA,NA,NA,NA,4,33,34,0,4,11,23,1,1,0,15308.419999986887,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,5,Familiar,3,NA,NA,NA,NA,5,31,5,1,5,24,7,0,1,0,998.2899999888614,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,6,Know,17,SOFIA,SOFIA,true,3808.499999984633,6,7,11,2,6,36,35,1,2,1,1539.3050000132062,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,7,Know,13,ELIZABETH,ELIZABETH,true,4059.9849999998696,7,8,13,2,7,6,18,1,0,1,988.8749999804422,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,8,Familiar,25,NA,NA,NA,NA,8,3,28,0,8,23,6,0,1,0,1383.4250000072643,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,9,Know,23,VICTORIA,VICTORIA,true,3138.1750000000466,9,1,19,1,9,17,20,0,1,0,1465.460000006482,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,10,Familiar,19,NA,NA,NA,NA,10,26,15,0,10,7,11,0,2,0,2081.5200000070035,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,11,Familiar,15,NA,NA,NA,NA,11,32,26,0,11,25,21,0,0,0,3539.92000001017,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,12,Know,5,MARGARET,MARGARET,true,5740.095000015572,12,27,29,2,12,4,3,1,1,1,1441.4399999952875,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,13,Know,1,ALEXIS,ALEXIS,true,3589.14499997627,13,10,23,1,13,33,27,1,0,1,1044.1400000127032,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,14,Familiar,33,NA,NA,NA,NA,14,5,4,1,14,29,34,1,0,1,1252.6099999956787,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,15,Familiar,29,NA,NA,NA,NA,15,35,12,2,15,8,13,0,2,0,1292.7649999912828,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,16,Know,11,MEGAN,MEGAN,true,4362.055000005057,16,36,1,2,16,14,17,0,2,0,1081.2650000150315,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,17,Familiar,16,NA,NA,NA,NA,17,29,27,0,17,13,22,0,1,0,1408.8599999961443,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,18,Familiar,12,NA,NA,NA,NA,18,4,33,1,18,22,2,0,0,0,1122.5299999932759,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,19,Know,10,JESSICA,JESSICA,true,3030.4999999934807,19,21,30,2,19,3,28,0,0,0,1198.369999998249,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,20,Know,9,PATRICIA,PATRICIA,true,5237.31999998563,20,20,3,1,20,32,26,0,0,0,2237.4999999883585,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,21,Familiar,6,NA,NA,NA,NA,21,6,36,0,21,2,14,1,2,1,1086.6099999984726,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,22,Know,20,EMILY,EMILY,true,3037.92999999132,22,2,16,2,22,31,5,0,1,0,3019.299999985844,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,23,Know,4,BRITTANY,BRITTANY,true,4245.460000005551,23,13,22,1,23,15,32,0,0,0,2665.259999979753,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,24,Familiar,26,NA,NA,NA,NA,24,28,9,2,24,20,33,1,1,1,1460.3449999992736,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,25,Familiar,29,NA,NA,NA,NA,25,12,25,0,25,12,15,1,0,1,2183.2099999878556,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,26,Know,23,VICTORIA,VICTORIA,true,5616.314999992028,26,14,17,2,26,34,16,1,2,1,9001.129999989644,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,27,Familiar,6,NA,NA,NA,NA,27,22,2,0,27,28,8,1,2,1,1738.0750000011176,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,28,Know,1,ALEXIS,ALEXIS,true,7413.750000006985,28,24,7,1,28,27,29,0,2,0,1227.9900000137277,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,29,Know,4,BRITTANY,BRITTANY,true,5990.204999980051,29,25,21,0,29,30,9,1,2,0,549.2850000150502,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,30,Familiar,12,NA,NA,NA,NA,30,23,6,1,30,35,12,0,2,0,1077.0550000015646,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,31,Know,20,EMILY,EMILY,true,4651.3750000158325,31,19,24,0,31,19,24,0,0,1,2131.71499999566,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,32,Familiar,15,NA,NA,NA,NA,32,11,31,1,32,9,19,1,1,1,1174.1599999950267,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,33,Familiar,33,NA,NA,NA,NA,33,15,32,0,33,21,30,0,2,0,2255.6449999972247,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,34,Know,17,SOFIA,SOFIA,true,4675.424999993993,34,17,20,1,34,1,10,1,1,1,3409.885000000708,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,35,Familiar,19,NA,NA,NA,NA,35,9,10,1,35,26,25,1,0,1,3523.0449999803677,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,36,Know,13,ELIZABETH,ELIZABETH,true,7361.414999992121,36,30,8,2,36,5,4,0,1,1,23284.574999998324,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,37,Familiar,3,NA,NA,NA,NA,37,8,13,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,38,Familiar,22,NA,NA,NA,NA,38,6,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,39,Know,24,HANNAH,HANNAH,true,5507.125000003725,39,30,8,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,40,Familiar,26,NA,NA,NA,NA,40,17,20,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,41,Know,31,BRIANNA,PATRICIA,false,8436.559999972815,41,35,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,42,Know,5,MARGARET,PATRICIA,false,6283.180000027642,42,34,14,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,43,Familiar,32,NA,NA,NA,NA,43,20,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,44,Know,11,MEGAN,PATRICIA,false,7755.33000001451,44,33,34,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,45,Familiar,16,NA,NA,NA,NA,45,5,4,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,46,Know,10,JESSICA,PATRICIA,false,7476.20000000461,46,15,32,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,47,Know,9,PATRICIA,PATRICIA,true,10566.11499999417,47,18,35,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,48,Familiar,25,NA,NA,NA,NA,48,31,5,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
bcmajgm7kd,undefined,undefined,undefined,undefined,49,Know,23,VICTORIA,VICTORIA,true,5019.939999998314,49,21,30,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
