SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
cd3yhyzx0f,cmnq7ha79p,Wed Dec 02 2020 18:51:48 GMT-0600 (Central Standard Time),2020-12-2,18:51:48,1,Know,14,ALEXIS,ALEXIS,true,5399.4100000709295,1,32,14,2,1,14,33,0,1,0,2385.675000026822,19:16:31,121471.6849999968,62825.84499998484,
cd3yhyzx0f,undefined,undefined,undefined,undefined,2,Know,25,COURTNEY,COURTNEY,true,5001.369999954477,2,31,15,0,2,18,5,0,1,0,3005.725000053644,undefined,146397.76999992318,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,3,Familiar,31,NA,NA,NA,NA,3,21,13,1,3,33,17,1,1,1,1988.8049999717623,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,4,Know,7,HAZEL,HAZEL,true,4043.5900000156835,4,16,22,0,4,3,14,1,2,1,1133.21499992162,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,5,Know,9,MARGARET,MARGARET,true,4393.675000057556,5,35,27,2,5,4,4,1,1,1,1470.7499999785796,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,6,Familiar,20,NA,NA,NA,NA,6,18,5,1,6,32,36,1,2,1,932.6400000136346,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,7,Familiar,13,NA,NA,NA,NA,7,3,36,2,7,15,12,0,2,0,1669.2599999951199,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,8,Know,36,HANNAH,HANNAH,true,4274.144999915734,8,15,12,2,8,12,16,0,2,0,1432.3500000173226,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,9,Know,18,ELIZABETH,ELIZABETH,true,6325.285000028089,9,10,19,0,9,30,23,1,2,1,1429.550000000745,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,10,Familiar,16,NA,NA,NA,NA,10,17,30,0,10,23,20,0,2,0,3678.109999978915,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,11,Familiar,26,NA,NA,NA,NA,11,1,10,2,11,22,19,1,0,1,1277.974999975413,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,12,Know,2,STEPHANIE,STEPHANIE,true,7938.544999924488,12,24,7,1,12,9,34,0,1,0,1404.8099999781698,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,13,Familiar,17,NA,NA,NA,NA,13,4,17,1,13,17,30,0,0,0,1256.7299999063835,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,14,Familiar,34,NA,NA,NA,NA,14,11,8,0,14,10,3,1,0,1,1773.975000018254,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,15,Know,24,CHLOE,CHLOE,true,4244.774999911897,15,2,29,1,15,34,8,1,0,1,2007.0050000213087,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,16,Familiar,28,NA,NA,NA,NA,16,33,4,1,16,6,13,1,1,1,1044.2000000039116,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,17,Familiar,22,NA,NA,NA,NA,17,22,3,0,17,5,24,1,2,1,3757.8600000124425,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,18,Know,4,MARY,MARY,true,4224.894999992102,18,29,32,2,18,35,27,0,2,0,1468.034999910742,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,19,Know,33,BRIANNA,BRIANA,false,4111.5650000283495,19,23,20,2,19,13,2,0,0,0,1101.7599999904633,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,20,Familiar,11,NA,NA,NA,NA,20,13,2,0,20,21,25,1,1,1,1175.0600000377744,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,21,Familiar,19,NA,NA,NA,NA,21,12,16,2,21,29,10,1,2,1,909.9250000435859,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,22,Know,6,PATRICIA,PATRICIA,true,4442.005000077188,22,7,11,1,22,36,6,0,1,0,2846.2600000202656,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,23,Know,21,ALYSSA,ALYSSA,true,3126.9549999851733,23,14,33,1,23,11,9,1,0,1,1508.324999944307,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,24,Familiar,10,NA,NA,NA,NA,24,30,24,2,24,1,32,1,2,1,1325.040000025183,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,25,Familiar,34,NA,NA,NA,NA,25,26,1,0,25,24,29,1,1,1,983.0650000367314,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,26,Know,7,HAZEL,BRIANNA,false,8666.29500000272,26,20,35,0,26,20,35,0,0,0,1238.575000083074,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,27,Familiar,11,NA,NA,NA,NA,27,27,18,2,27,19,26,1,0,1,1173.2149999588728,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,28,Familiar,17,NA,NA,NA,NA,28,9,34,1,28,16,22,0,0,1,4750.664999941364,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,29,Know,36,HANNAH,MARY,false,8957.984999986365,29,8,31,2,29,26,1,0,0,0,3684.0099999681115,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,30,Familiar,22,NA,NA,NA,NA,30,28,26,0,30,27,18,0,2,0,1704.5599999837577,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,31,Familiar,31,NA,NA,NA,NA,31,36,6,1,31,8,31,0,2,1,2142.475000000559,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,32,Know,18,ELIZABETH,BRIANNA,false,22310.769999981858,32,19,28,0,32,7,11,0,1,0,5389.895000029355,undefined,undefined,undefined,
cd3yhyzx0f,undefined,undefined,undefined,undefined,33,Know,4,MARY,MARY,true,9334.894999978133,33,25,21,1,33,25,21,0,1,0,1061.435000039637,undefined,undefined,undefined,
