SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
et0ulz26vr,v3yuet9r3v,Wed Oct 21 2020 13:13:21 GMT-0500 (Central Daylight Time),2020-10-21,13:13:21,1,Familiar,10,NA,NA,NA,NA,1,5,15,1,1,29,15,1,1,1,1768.3400000096299,13:45:46,121624.49499999639,490398.35999999195,
et0ulz26vr,undefined,undefined,undefined,undefined,2,Know,35,JESSICA,JESSICA,true,3666.650000028312,2,6,33,1,2,6,33,0,1,0,3195.624999993015,undefined,139667.65499999747,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,3,Familiar,31,NA,NA,NA,NA,3,10,4,0,3,25,6,0,0,0,1556.2599999830127,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,4,Familiar,25,NA,NA,NA,NA,4,8,23,2,4,8,23,0,2,0,1576.0649999720044,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,5,Know,11,BRIANNA,BRIANNA,true,8079.759999993257,5,35,8,1,5,5,13,1,1,1,984.7900000168011,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,6,Know,36,MARGARET,MARGARET,true,3020.0049999984913,6,26,12,2,6,10,4,0,0,0,1196.094999962952,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,7,Familiar,16,NA,NA,NA,NA,7,13,36,0,7,32,18,1,2,1,1821.2300000013784,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,8,Know,3,KAYLA,KAYLA,true,4213.545000005979,8,14,22,2,8,11,5,0,1,0,881.9500000099652,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,9,Know,19,ELIZABETH,ELIZABETH,true,3822.084999992512,9,15,7,2,9,31,25,0,0,0,1566.2650000303984,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,10,Familiar,17,NA,NA,NA,NA,10,25,6,0,10,35,8,0,1,0,1327.5549999671057,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,11,Know,6,GRACE,GRACE,true,3393.0549999931827,11,2,9,2,11,24,16,1,1,1,2491.2599999806844,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,12,Know,29,SARAH,SARAH,true,3393.229999986943,12,24,27,1,12,21,19,1,2,0,1350.7700000191107,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,13,Familiar,34,NA,NA,NA,NA,13,1,20,2,13,30,9,1,2,0,1970.1999999815598,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,14,Know,9,NICOLE,NICOLE,true,3148.3700000098906,14,20,32,0,14,2,11,1,2,0,1381.9150000344962,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,15,Familiar,27,NA,NA,NA,NA,15,19,1,1,15,4,29,1,0,1,1846.030000015162,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,16,Know,24,NANCY,NANCY,true,2620.0799999642186,16,30,11,2,16,12,26,0,2,0,1448.195000004489,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,17,Familiar,22,NA,NA,NA,NA,17,34,17,0,17,23,28,0,2,0,849.7399999760091,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,18,Know,7,AMANDA,AMANDA,true,3230.1449999795295,18,11,5,1,18,3,10,0,1,0,1003.3350000157952,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,19,Familiar,13,NA,NA,NA,NA,19,16,30,0,19,28,27,1,1,1,1130.7549999910407,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,20,Familiar,33,NA,NA,NA,NA,20,9,3,1,20,18,24,0,2,0,1132.9900000127964,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,21,Know,5,ALYSSA,ALYSSA,true,2963.8850000337698,21,27,29,0,21,14,22,0,2,0,1139.8000000044703,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,22,Know,28,ALEXIS,ALEXIS,true,2210.8500000322238,22,31,25,0,22,27,34,1,0,1,1646.6900000232272,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,23,Familiar,4,NA,NA,NA,NA,23,3,10,1,23,7,3,1,1,0,1522.0250000129454,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,24,Familiar,20,NA,NA,NA,NA,24,17,21,0,24,1,7,1,2,0,3211.615000036545,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,25,Know,36,MARGARET,MARGARET,true,5084.514999995008,25,22,31,0,25,33,32,1,0,1,934.804999968037,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,26,Familiar,17,NA,NA,NA,NA,26,29,13,1,26,34,17,0,0,0,1063.655000005383,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,27,Familiar,4,NA,NA,NA,NA,27,32,19,2,27,20,2,1,0,1,1344.7900000028312,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,28,Know,6,GRACE,GRACE,true,10756.85499998508,28,33,2,0,28,19,1,0,1,1,1509.2549999826588,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,29,Familiar,31,NA,NA,NA,NA,29,21,18,2,29,22,36,1,0,0,1639.9250000249594,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,30,Familiar,16,NA,NA,NA,NA,30,12,26,2,30,17,21,0,0,0,1080.0900000031106,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,31,Know,19,ELIZABETH,ELIZABETH,true,8342.709999997169,31,36,35,1,31,15,20,1,2,0,1758.7699999567121,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,32,Familiar,25,NA,NA,NA,NA,32,23,28,2,32,13,31,1,0,0,957.0400000084192,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,33,Know,5,ALYSSA,NICOLE,false,8726.484999991953,33,28,16,1,33,16,30,0,0,0,1862.9699999582954,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,34,Familiar,10,NA,NA,NA,NA,34,4,34,0,34,26,12,0,2,0,1669.7549999807961,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,35,Know,11,BRIANNA,BRIANNA,true,3343.914999975823,35,7,14,1,35,9,14,1,1,0,1588.1199999712408,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,36,Know,9,NICOLE,NICOLE,true,5511.129999998957,36,18,24,2,36,36,35,0,1,0,980.2550000022165,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,37,Familiar,20,NA,NA,NA,NA,37,2,9,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,38,Know,29,SARAH,ELIZABETH,false,14899.065000005066,38,35,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,39,Know,3,KAYLA,KAYLA,true,2602.370000036899,39,22,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,40,Familiar,22,NA,NA,NA,NA,40,20,32,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,41,Know,24,NANCY,NANCY,true,4071.9950000056997,41,21,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,42,Familiar,13,NA,NA,NA,NA,42,29,13,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,43,Familiar,33,NA,NA,NA,NA,43,36,35,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,44,Know,35,JESSICA,GRACE,false,17602.874999982305,44,32,19,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,45,Know,28,ALEXIS,ALEXIS,true,5500.324999971781,45,25,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,46,Familiar,34,NA,NA,NA,NA,46,31,25,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,47,Familiar,27,NA,NA,NA,NA,47,14,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,48,Know,7,AMANDA,NICOLE,false,5692.7750000031665,48,13,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,49,Familiar,33,NA,NA,NA,NA,49,12,26,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,50,Familiar,27,NA,NA,NA,NA,50,28,16,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,51,Know,19,ELIZABETH,ALYSSA,false,7075.780000013765,51,8,23,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,52,Familiar,20,NA,NA,NA,NA,52,33,2,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,53,Know,29,SARAH,SARAH,true,4314.514999976382,53,7,14,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,54,Familiar,10,NA,NA,NA,NA,54,18,24,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,55,Know,11,BRIANNA,BRIANNA,true,3185.1900000474416,55,17,21,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,56,Know,7,AMANDA,ALYSSA,false,8361.794999975245,56,34,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,57,Familiar,22,NA,NA,NA,NA,57,3,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,58,Know,5,ALYSSA,ALYSSA,true,5740.364999976009,58,24,27,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,59,Know,35,JESSICA,JESSICA,true,5943.765000032727,59,15,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,60,Familiar,4,NA,NA,NA,NA,60,1,20,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,61,Know,3,KAYLA,KAYLA,true,2880.1649999804795,61,10,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,62,Know,6,GRACE,NICOLE,false,9102.25499997614,62,11,5,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,63,Familiar,31,NA,NA,NA,NA,63,26,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,64,Familiar,13,NA,NA,NA,NA,64,27,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,65,Know,36,MARGARET,GRACE,false,13340.974999999162,65,19,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,66,Familiar,34,NA,NA,NA,NA,66,30,11,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,67,Know,28,ALEXIS,ALEXIS,true,3269.879999978002,67,6,33,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,68,Familiar,17,NA,NA,NA,NA,68,4,34,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,69,Familiar,16,NA,NA,NA,NA,69,16,30,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,70,Know,24,NANCY,NANCY,true,2719.5899999933317,70,9,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,71,Know,9,NICOLE,NICOLE,true,7336.6550000500865,71,23,28,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,72,Familiar,25,NA,NA,NA,NA,72,5,15,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,73,Know,11,BRIANNA,BRIANNA,true,2939.205000002403,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,74,Familiar,17,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,75,Familiar,34,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,76,Know,6,GRACE,GRACE,true,4041.5049999719486,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
et0ulz26vr,undefined,undefined,undefined,undefined,77,Familiar,4,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
