SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
gjfkw5zyd6,eawkgh99vx,Thu Oct 15 2020 16:10:24 GMT-0500 (Central Daylight Time),2020-10-15,16:10:24,1,Familiar,21,NA,NA,NA,NA,1,21,27,0,1,2,2,1,2,1,1811.264999967534,16:30:55,122687.79500003438,60890.30999998795,
gjfkw5zyd6,undefined,undefined,undefined,undefined,2,Familiar,25,NA,NA,NA,NA,2,26,12,0,2,27,5,0,1,0,867.8299999446608,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,3,Know,10,JESSICA,JESSICA,true,2867.9250000277534,3,33,15,1,3,11,20,0,2,1,1505.890000029467,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,4,Know,32,NICOLE,NICOLE,true,2109.5250000362284,4,29,2,2,4,19,16,1,0,1,1170.1999999932013,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,5,Familiar,20,NA,NA,NA,NA,5,14,17,1,5,29,28,1,2,1,866.7900000000373,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,6,Know,31,SOFIA,SOFIA,true,2042.4150000326335,6,36,32,0,6,1,1,1,2,1,1119.1149999503978,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,7,Know,15,VICTORIA,VICTORIA,true,5037.0099999709055,7,35,4,0,7,4,22,0,2,0,831.1499999836087,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,8,Familiar,35,NA,NA,NA,NA,8,10,36,1,8,16,8,1,2,1,879.1100000380538,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,9,Know,27,MARY,MARY,true,1780.7799999718554,9,7,29,1,9,26,12,0,0,0,708.199999993667,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,10,Familiar,26,NA,NA,NA,NA,10,24,18,0,10,25,26,0,0,0,1532.6999999815598,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,11,Know,34,ALEXIS,ALEXIS,true,2163.6549999821,11,25,26,0,11,12,19,1,2,1,963.3250000188127,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,12,Know,3,AMANDA,AMANDA,true,3008.2949999487028,12,3,14,1,12,34,6,0,1,0,880.4899999522604,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,13,Familiar,6,NA,NA,NA,NA,13,5,7,1,13,20,30,0,0,0,1094.6249999688007,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,14,Familiar,8,NA,NA,NA,NA,14,30,10,2,14,13,13,0,2,0,1659.4700000132434,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,15,Know,33,REBECCA,REBECCA,true,2423.8149999873713,15,1,8,2,15,32,21,0,1,0,900.9749999968335,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,16,Know,7,AUDREY,AUDREY,true,1690.3199999942444,16,19,34,0,16,35,4,0,0,0,2096.4099999982864,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,17,Familiar,18,NA,NA,NA,NA,17,12,11,2,17,21,27,0,0,0,2781.169999972917,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,18,Familiar,24,NA,NA,NA,NA,18,16,1,2,18,7,23,1,1,1,1952.7000000234693,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,19,Know,5,ELIZABETH,ELIZABETH,true,3532.4799999943934,19,9,23,1,19,6,3,0,0,1,2968.4699999634176,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,20,Familiar,19,NA,NA,NA,NA,20,20,30,0,20,18,34,1,0,1,636.2850000150502,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,21,Familiar,17,NA,NA,NA,NA,21,22,19,2,21,31,35,0,1,0,1148.3799999696203,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,22,Know,14,LAUREN,LAUREN,true,1777.5799999944866,22,28,9,2,22,17,25,1,0,1,1033.9850000455044,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,23,Familiar,36,NA,NA,NA,NA,23,15,33,1,23,9,29,1,1,1,1100.3750000381842,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,24,Know,9,ZOEY,ZOEY,true,1497.7000000071712,24,11,20,2,24,28,9,0,2,1,1040.2349999640137,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,25,Know,33,REBECCA,AUDREY,false,5943.27000004705,25,8,25,0,25,22,11,1,2,1,1493.1099999812432,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,26,Familiar,8,NA,NA,NA,NA,26,17,31,0,26,8,31,1,0,1,1551.8050000537187,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,27,Familiar,36,NA,NA,NA,NA,27,23,24,2,27,36,18,1,0,1,5321.859999967273,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,28,Know,5,ELIZABETH,NICOLE,false,5970.7349999807775,28,4,22,2,28,14,14,1,1,0,2051.504999981262,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,29,Familiar,6,NA,NA,NA,NA,29,27,5,1,29,30,10,0,2,0,1099.9749999609776,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,30,Familiar,20,NA,NA,NA,NA,30,32,21,1,30,3,17,1,1,0,612.5950000132434,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,31,Know,9,ZOEY,ZOEY,true,2226.135000004433,31,2,28,2,31,10,36,0,1,0,887.6699999673292,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,32,Familiar,24,NA,NA,NA,NA,32,18,16,0,32,15,33,0,1,0,630.9699999983422,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,33,Know,14,LAUREN,AUDREY,false,2715.665000025183,33,31,35,1,33,5,15,1,1,1,910.1650000084192,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,34,Know,27,MARY,NICOLE,false,2757.2150000487454,34,34,6,1,34,23,24,0,2,0,1490.090000035707,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,35,Familiar,25,NA,NA,NA,NA,35,13,13,2,35,33,7,1,1,0,1567.090000025928,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,36,Know,10,JESSICA,NICOLE,false,7678.445000026841,36,6,3,0,36,24,32,1,0,1,1723.694999993313,undefined,undefined,undefined,
gjfkw5zyd6,undefined,undefined,undefined,undefined,37,Familiar,26,NA,NA,NA,NA,37,6,3,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
