SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
gmwctjvh3k,k5k7ek6nau,Sun Oct 11 2020 21:35:25 GMT-0500 (Central Daylight Time),2020-10-11,21:35:25,1,Familiar,32,NA,NA,NA,NA,1,1,10,1,1,7,17,0,0,0,4459.269999992102,7:23:15,122358.59499988146,61199.45499999449,
gmwctjvh3k,undefined,undefined,undefined,undefined,2,Familiar,20,NA,NA,NA,NA,2,30,22,1,2,23,7,1,2,1,1748.2050000689924,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,3,Know,6,REBECCA,REBECCA,true,5361.38500017114,3,20,23,0,3,18,8,1,2,0,986.185000045225,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,4,Know,31,JESSICA,JESSICA,true,5047.324999934062,4,7,17,0,4,13,20,1,1,1,1929.8400001134723,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,5,Familiar,5,NA,NA,NA,NA,5,18,7,2,5,11,15,0,1,1,2036.3450001459569,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,6,Familiar,17,NA,NA,NA,NA,6,12,36,2,6,27,33,1,1,0,1399.8149998951703,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,7,Know,10,PATRICIA,PATRICIA,true,7123.430000152439,7,34,26,0,7,24,6,0,2,0,1717.1549999620765,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,8,Know,22,STEPHANIE,STEPHANIE,true,8325.195000041276,8,23,8,2,8,10,14,0,1,0,912.6550001092255,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,9,Familiar,7,NA,NA,NA,NA,9,25,2,0,9,34,35,1,0,1,1341.8799999635667,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,10,Familiar,9,NA,NA,NA,NA,10,11,15,1,10,35,26,1,0,0,885.6099999975413,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,11,Know,30,ALYSSA,ALYSSA,true,5328.704999992624,11,10,14,1,11,25,1,1,0,0,591.6599999181926,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,12,Know,11,SOFIA,SOFIA,true,5675.294999964535,12,8,12,2,12,14,30,0,2,0,1351.0600000154227,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,13,Familiar,28,NA,NA,NA,NA,13,13,33,1,13,1,19,1,1,1,810.7900000177324,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,14,Know,1,KAREN,KAREN,true,2742.805000161752,14,5,4,0,14,16,2,1,0,1,721.0549998562783,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,15,Know,13,HAZEL,HAZEL,true,2574.8899998143315,15,35,35,0,15,26,13,1,0,1,841.5700001642108,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,16,Familiar,25,NA,NA,NA,NA,16,21,5,2,16,2,18,0,2,0,562.1050000190735,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,17,Know,19,BETTY,BETTY,true,2008.220000192523,17,26,27,0,17,15,25,0,2,0,544.4300000090152,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,18,Familiar,16,NA,NA,NA,NA,18,9,31,0,18,21,34,1,2,0,552.9049998149276,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,19,Familiar,26,NA,NA,NA,NA,19,22,29,1,19,17,24,0,0,1,502.58499989286065,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,20,Know,3,JENNIFER,JENNIFER,true,2998.7950001377612,20,24,6,2,20,31,32,0,1,1,712.169999955222,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,21,Familiar,34,NA,NA,NA,NA,21,16,1,0,21,28,27,1,0,0,963.2049999199808,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,22,Know,4,MADISON,MADISON,true,4723.590000066906,22,32,28,0,22,9,31,0,0,1,610.1949999574572,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,23,Know,27,BRITTANY,BRITNEY,false,5123.219999950379,23,14,30,2,23,29,5,1,2,0,614.1099999658763,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,24,Familiar,35,NA,NA,NA,NA,24,2,18,2,24,19,10,1,1,0,430.1400000695139,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,25,Know,27,BRITTANY,BECCY,false,10154.835000168532,25,17,24,0,25,5,4,0,0,0,1616.1749998573214,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,26,Know,6,REBECCA,BRITTNEY,false,6124.335000058636,26,6,16,1,26,33,12,1,2,1,557.9149997793138,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,27,Familiar,26,NA,NA,NA,NA,27,3,21,1,27,4,21,1,1,0,1609.1249999590218,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,28,Know,31,JESSICA,REBECCA,false,8534.874999895692,28,33,11,2,28,30,22,0,1,1,4766.929999925196,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,29,Know,4,MADISON,JESSICA,false,38638.52500007488,29,36,9,2,29,12,36,0,2,1,10791.754999896511,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,30,Familiar,32,NA,NA,NA,NA,30,27,20,1,30,8,11,1,2,0,754.5700001064688,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,31,Familiar,16,NA,NA,NA,NA,31,19,19,1,31,22,29,0,1,0,8852.015000069514,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,32,Know,30,ALYSSA,ALYSSA,true,6833.4399999585,32,29,34,2,32,6,16,0,1,0,1239.1099999658763,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,33,Know,1,KAREN,SOFIA,false,5877.7000000700355,33,15,25,2,33,32,28,0,0,1,647.1700000111014,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,34,Familiar,9,NA,NA,NA,NA,34,4,3,1,34,20,23,0,0,1,2031.5849999897182,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,35,Know,13,HAZEL,TESSA,false,3993.074999889359,35,28,13,0,35,36,9,0,2,0,818.1750001385808,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,36,Familiar,34,NA,NA,NA,NA,36,31,32,1,36,3,3,1,1,0,1576.6849999781698,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,37,Know,10,PATRICIA,REBBECA,false,5157.295000040904,37,7,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,38,Familiar,20,NA,NA,NA,NA,38,8,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,39,Familiar,28,NA,NA,NA,NA,39,32,28,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,40,Know,11,SOFIA,TESSA,false,3054.4150001369417,40,6,16,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,41,Familiar,35,NA,NA,NA,NA,41,35,35,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,42,Familiar,25,NA,NA,NA,NA,42,26,27,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,43,Know,19,BETTY,HAZEL,false,4950.789999915287,43,1,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,44,Familiar,7,NA,NA,NA,NA,44,14,30,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,45,Familiar,17,NA,NA,NA,NA,45,3,21,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,46,Know,3,JENNIFER,SOFIA,false,15254.184999968857,46,34,26,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,47,Know,22,STEPHANIE,STEPHANIE,true,7524.9299998395145,47,20,23,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,48,Familiar,5,NA,NA,NA,NA,48,15,25,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,49,Know,31,JESSICA,BETTY,false,6466.185000026599,49,27,20,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,50,Familiar,35,NA,NA,NA,NA,50,4,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,51,Know,6,REBECCA,JESS,false,7029.224999947473,51,18,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,52,Know,30,ALYSSA,ALYSSA,true,11671.564999967813,52,11,15,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,53,Familiar,17,NA,NA,NA,NA,53,16,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,54,Familiar,5,NA,NA,NA,NA,54,5,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,55,Know,3,JENNIFER,REBECCA,false,6258.000000147149,55,22,29,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,56,Know,27,BRITTANY,HAZEL,false,13860.610000090674,56,33,11,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,57,Familiar,20,NA,NA,NA,NA,57,23,8,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,58,Know,13,HAZEL,BRITTNEY,false,11251.35500007309,58,17,24,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,59,Familiar,28,NA,NA,NA,NA,59,2,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,60,Familiar,7,NA,NA,NA,NA,60,30,22,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,61,Know,1,KAREN,JENIFFER,false,15422.650000080466,61,29,34,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,62,Familiar,32,NA,NA,NA,NA,62,36,9,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,63,Familiar,26,NA,NA,NA,NA,63,19,19,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
gmwctjvh3k,undefined,undefined,undefined,undefined,64,Know,19,BETTY,JESSICA,false,8804.680000059307,64,25,2,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
