SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
lshzrmbgem,ydf0cu9mvo,Sun Nov 29 2020 20:54:29 GMT-0600 (CST),2020-11-29,20:54:29,1,Familiar,20,NA,NA,NA,NA,1,5,6,0,1,1,21,0,1,1,2409.999999999767,21:22:27,122570.00000000012,62925,
lshzrmbgem,undefined,undefined,undefined,undefined,2,Familiar,17,NA,NA,NA,NA,2,31,16,2,2,20,17,0,0,1,1996.9999999997672,undefined,132572,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,3,Know,3,MARGARET,MARGARET,true,6008,3,35,9,2,3,6,11,1,2,0,1185,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,4,Familiar,9,NA,NA,NA,NA,4,18,31,1,4,32,1,1,1,0,1289,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,5,Familiar,11,NA,NA,NA,NA,5,3,34,1,5,11,24,0,0,0,1136,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,6,Know,29,LAUREN,LAUREN,true,3991,6,36,18,0,6,36,29,1,0,1,692.9999999997672,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,7,Know,18,AMANDA,AMANDA,true,3306,7,26,19,1,7,28,4,1,1,0,850,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,8,Familiar,19,NA,NA,NA,NA,8,27,36,1,8,2,20,0,2,1,1057.9999999997672,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,9,Familiar,8,NA,NA,NA,NA,9,19,23,0,9,13,15,0,2,1,729,undefined,undefined,undefined,
lshzrmbgem,undefined,undefined,undefined,undefined,10,Know,26,SARAH,SARAH,true,4570,10,20,17,0,10,23,27,1,1,0,961.9999999997672,undefined,undefined,undefined,
