SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
nwq1g4n8o4,q3g43y1652,Sun Oct 18 2020 22:24:56 GMT-0500 (Central Daylight Time),2020-10-18,22:24:56,1,Know,18,LISA,LISA,true,7035.900000017136,1,23,13,2,1,20,27,1,1,0,2448.3450000113808,22:59:44,122612.5400000019,63768.07999998005,
nwq1g4n8o4,undefined,undefined,undefined,undefined,2,Know,16,JENNIFER,JENNIFER,true,3994.5500000030734,2,5,6,1,2,3,34,1,2,1,1190.0600000228733,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,3,Familiar,4,NA,NA,NA,NA,3,32,19,2,3,11,9,0,0,0,1419.9049999881536,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,4,Familiar,11,NA,NA,NA,NA,4,17,28,0,4,35,4,1,1,1,3762.729999987874,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,5,Know,7,KAREN,KAREN,true,2666.8299999728333,5,10,36,2,5,12,17,1,0,0,2125.6200000056997,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,6,Familiar,17,NA,NA,NA,NA,6,27,11,2,6,29,2,1,0,0,2248.070000001695,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,7,Know,33,EMILY,EMILY,true,2537.6849999884143,7,36,22,1,7,1,5,0,0,0,9523.509999998845,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,8,Know,36,BETTY,BETTY,true,2657.779999979539,8,12,2,0,8,34,25,1,0,1,2162.2450000140816,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,9,Familiar,19,NA,NA,NA,NA,9,18,3,1,9,17,28,0,0,0,1278.35999999661,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,10,Know,15,NICOLE,NICOLE,true,3179.3450000113808,10,9,30,2,10,21,21,0,2,0,1788.424999977462,undefined,undefined,undefined,
nwq1g4n8o4,undefined,undefined,undefined,undefined,11,Familiar,6,NA,NA,NA,NA,11,20,4,1,11,31,1,1,1,1,1506.0100000118837,undefined,undefined,undefined,
