SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
v7vzl49udw,1ty0d54gvx,Sat Oct 10 2020 15:03:57 GMT-0500 (CDT),2020-10-10,15:3:57,1,Familiar,13,NA,NA,NA,NA,1,19,24,2,1,19,24,0,2,0,6597,15:25:58,121873,61449,
v7vzl49udw,undefined,undefined,undefined,undefined,2,Know,8,ALYSSA,ALYSSA,true,5552,2,33,25,1,2,34,28,1,2,1,2634.999999999767,undefined,134494,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,3,Know,11,NANCY,NANCY,true,2601.999999999971,3,16,33,2,3,27,36,1,0,1,1055,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,4,Familiar,21,NA,NA,NA,NA,4,1,8,2,4,23,27,1,0,0,2002,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,5,Familiar,35,NA,NA,NA,NA,5,18,2,0,5,12,10,0,2,0,1135,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,6,Know,36,KAREN,KAREN,true,1820,6,23,36,0,6,16,33,0,2,0,896,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,7,Know,22,BRIANNA,BRIANNA,true,2070.000000000029,7,10,19,2,7,7,14,0,2,0,1197,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,8,Familiar,28,NA,NA,NA,NA,8,20,29,1,8,20,17,1,1,1,1316,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,9,Know,30,STEPHANIE,STEPHANIE,true,3239,9,3,6,1,9,31,29,1,1,1,1109.9999999997672,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,10,Familiar,15,NA,NA,NA,NA,10,27,27,0,10,9,32,1,0,1,1104,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,11,Know,32,NICOLE,NICOLE,true,1789,11,25,3,0,11,4,15,1,0,1,1939,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,12,Familiar,25,NA,NA,NA,NA,12,8,30,1,12,6,20,1,2,1,896,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,13,Familiar,18,NA,NA,NA,NA,13,30,12,1,13,18,18,1,0,1,2363,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,14,Know,3,MADISON,MADISON,true,1907,14,5,31,2,14,11,21,0,1,0,914,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,15,Familiar,23,NA,NA,NA,NA,15,2,22,2,15,13,5,0,0,0,1109,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,16,Know,14,JESSICA,JESSICA,true,1254.999999999971,16,13,5,0,16,10,19,0,2,0,1512,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,17,Know,31,AMANDA,AMANDA,true,3674,17,17,18,0,17,21,16,0,0,0,919,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,18,Familiar,4,NA,NA,NA,NA,18,26,7,1,18,32,13,0,1,0,837,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,19,Familiar,17,NA,NA,NA,NA,19,21,16,0,19,2,22,0,2,1,2855,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,20,Know,26,HAZEL,HAZEL,true,2136,20,11,21,1,20,15,26,0,0,1,2095,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,21,Know,33,ALEXIS,ALEXIA,false,2480,21,35,23,0,21,22,34,0,1,0,954,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,22,Familiar,9,NA,NA,NA,NA,22,28,9,0,22,24,31,1,2,1,3169,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,23,Familiar,27,NA,NA,NA,NA,23,34,20,2,23,28,9,0,0,0,1095,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,24,Know,20,SAMANTHA,SAMANTHA,true,1831,24,31,17,1,24,5,4,1,2,0,932,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,25,Familiar,35,NA,NA,NA,NA,25,24,4,2,25,36,35,0,1,0,655,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,26,Know,36,KAREN,JESSICA,false,10675,26,9,15,0,26,25,3,0,0,0,1277,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,27,Familiar,28,NA,NA,NA,NA,27,29,11,2,27,1,11,1,2,1,1637.9999999997672,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,28,Familiar,18,NA,NA,NA,NA,28,36,35,1,28,33,1,1,1,1,1072,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,29,Know,32,NICOLE,NICOLE,true,2533,29,14,1,1,29,14,25,1,1,1,1101,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,30,Know,22,BRIANNA,BRIANNA,true,3459,30,7,14,2,30,30,12,0,1,0,1080,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,31,Familiar,15,NA,NA,NA,NA,31,22,34,1,31,17,2,1,0,1,5378,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,32,Know,20,SAMANTHA,SAMANTH,false,3082,32,6,28,2,32,29,8,1,2,1,752,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,33,Familiar,23,NA,NA,NA,NA,33,15,26,0,33,35,23,0,0,0,960,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,34,Know,31,AMANDA,STEPHANIE,false,12805.000000000058,34,32,13,1,34,8,30,0,1,1,1909,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,35,Know,11,NANCY,STEPHANIE,false,11000,35,12,10,2,35,26,6,1,1,1,912,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,36,Familiar,4,NA,NA,NA,NA,36,4,32,0,36,3,7,1,1,1,805,undefined,undefined,undefined,
v7vzl49udw,undefined,undefined,undefined,undefined,37,Familiar,17,NA,NA,NA,NA,37,19,24,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
