SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
0ta0nz5a78,tmyq50914w,Thu Oct 15 2020 21:03:48 GMT-0500 (Central Daylight Time),2020-10-15,21:3:48,1,Know,17,BETTY,BETTY,true,3281,1,12,16,2,1,28,22,1,0,1,1604,21:25:26,120630,60323,
0ta0nz5a78,undefined,undefined,undefined,undefined,2,Familiar,22,NA,NA,NA,NA,2,6,35,1,2,21,32,1,0,1,1352,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,3,Know,26,VICTORIA,VICTORIA,true,3312,3,20,3,1,3,10,11,0,1,0,1173,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,4,Familiar,8,NA,NA,NA,NA,4,27,18,0,4,36,31,1,0,0,1931,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,5,Know,20,JENNIFER,JENNIFER,true,2172,5,18,26,2,5,11,4,1,2,1,1956,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,6,Know,10,SARAH,SARAH,true,2574,6,11,33,2,6,7,5,0,2,1,5245,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,7,Familiar,27,NA,NA,NA,NA,7,33,31,0,7,30,10,0,0,0,2111,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,8,Familiar,30,NA,NA,NA,NA,8,3,17,2,8,4,14,1,1,1,1308,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,9,Know,16,RACHEL,RACHEL,true,2506,9,13,13,0,9,20,3,0,1,0,1265,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,10,Know,35,MARGARET,MARGARET,true,3234,10,15,29,2,10,13,13,0,0,0,1056,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,11,Familiar,13,NA,NA,NA,NA,11,24,9,1,11,9,33,1,2,1,2022,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,12,Familiar,5,NA,NA,NA,NA,12,32,34,2,12,32,17,1,2,1,885,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,13,Know,24,KAREN,KAREN,true,1945,13,26,8,1,13,8,28,0,0,0,1509,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,14,Familiar,28,NA,NA,NA,NA,14,9,4,2,14,5,21,0,0,0,1669,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,15,Familiar,36,NA,NA,NA,NA,15,5,21,0,15,1,20,0,2,0,1451,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,16,Know,23,AMANDA,AMANDA,true,1835,16,34,14,1,16,33,7,1,0,1,1864,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,17,Know,2,NANCY,NANCY,true,1498,17,35,25,1,17,17,30,0,1,0,1303,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,18,Familiar,25,NA,NA,NA,NA,18,30,10,0,18,34,12,1,1,1,1716,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,19,Know,4,BRIANNA,BRIANNA,true,1775,19,31,15,2,19,24,35,1,1,1,3313,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,20,Familiar,21,NA,NA,NA,NA,20,1,20,2,20,3,34,1,2,1,1642,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,21,Familiar,29,NA,NA,NA,NA,21,25,24,0,21,22,36,0,0,0,1222,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,22,Know,6,REBECCA,REBECCA ,false,2512,22,23,23,1,22,27,18,0,0,0,1607,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,23,Familiar,33,NA,NA,NA,NA,23,7,5,2,23,18,26,0,2,0,1230,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,24,Know,34,PATRICIA,PATRICIA,true,4062,24,8,28,0,24,15,29,0,2,0,1403,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,25,Familiar,8,NA,NA,NA,NA,25,14,19,2,25,16,2,0,1,0,2560,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,26,Familiar,36,NA,NA,NA,NA,26,21,22,0,26,6,9,1,1,1,1543,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,27,Know,24,KAREN,VICTORIA,false,7841,27,10,11,1,27,19,19,1,2,1,1148,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,28,Familiar,29,NA,NA,NA,NA,28,4,12,1,28,14,1,1,2,1,2089,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,29,Know,2,NANCY,NANCY,true,6751,29,28,32,0,29,31,15,0,2,0,1523,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,30,Know,20,JENNIFER,JENNIFER,true,4741,30,36,7,0,30,23,27,1,1,1,1600,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,31,Familiar,28,NA,NA,NA,NA,31,16,2,1,31,25,6,1,0,1,1782,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,32,Know,17,BETTY,BRIANNA,false,5248,32,29,6,0,32,26,8,0,1,0,1864,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,33,Know,10,SARAH,SARAH,true,3270,33,22,36,0,33,12,16,0,2,0,1411,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,34,Familiar,13,NA,NA,NA,NA,34,19,1,2,34,2,23,1,1,1,1545,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,35,Know,34,PATRICIA,PATRICIA,true,6766,35,2,27,1,35,35,25,0,1,0,1069,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,36,Know,26,VICTORIA,BRIANNA,false,5975,36,17,30,1,36,29,24,1,0,1,1571,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,37,Familiar,22,NA,NA,NA,NA,37,36,7,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,38,Familiar,27,NA,NA,NA,NA,38,17,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,39,Know,4,BRIANNA,BRIANNA,true,4851,39,23,23,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,40,Familiar,33,NA,NA,NA,NA,40,22,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,41,Know,35,MARGARET,AMANDA,false,11182,41,30,10,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,42,Know,6,REBECCA,AMANDA,false,16406,42,24,9,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,43,Familiar,25,NA,NA,NA,NA,43,32,34,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,44,Know,16,RACHEL,SALLY,false,10384,44,5,21,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,45,Familiar,21,NA,NA,NA,NA,45,29,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
0ta0nz5a78,undefined,undefined,undefined,undefined,46,Know,23,AMANDA,AMANDA,true,2867,46,26,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
