SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
0tvjk0e54v,ak0wdfvh20,Sun Oct 18 2020 22:17:20 GMT-0500 (CDT),2020-10-18,22:17:20,1,Familiar,3,NA,NA,NA,NA,1,36,34,0,1,20,28,1,2,0,4694,23:1:58,1216439,60673,
0tvjk0e54v,undefined,undefined,undefined,undefined,2,Know,31,JESSICA,JESSICA,true,6378,2,2,35,0,2,28,15,0,1,0,3757.0000000004657,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,3,Know,11,BETTY,BETTY,true,3252,3,13,17,1,3,36,12,1,0,1,2940,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,4,Familiar,26,NA,NA,NA,NA,4,21,29,1,4,13,25,1,1,1,1171,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,5,Know,28,VICTORIA,VICTORIA,true,6148,5,23,6,0,5,32,34,1,0,1,1380.0000000004657,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,6,Familiar,2,NA,NA,NA,NA,6,16,18,2,6,15,36,0,1,1,2962,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,7,Know,15,HAZEL,HAZEL,true,3652.999999999971,7,28,15,1,7,31,30,0,1,1,2705,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,8,Familiar,34,NA,NA,NA,NA,8,7,32,0,8,30,2,1,0,1,1799.9999999995343,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,9,Familiar,7,NA,NA,NA,NA,9,8,11,2,9,4,23,1,2,0,2884,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,10,Know,17,COURTNEY,COURTNEY,true,4268,10,5,21,0,10,8,11,0,2,1,3075,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,11,Know,22,BRITTANY,BRITTANY,true,4306,11,26,33,0,11,2,35,0,0,1,3439,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,12,Familiar,5,NA,NA,NA,NA,12,27,20,1,12,14,17,1,1,1,1435,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,13,Familiar,30,NA,NA,NA,NA,13,35,22,2,13,25,14,1,2,0,1677,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,14,Know,1,BRIANNA,BRIANNA,true,5198.999999999971,14,20,23,2,14,7,32,0,0,0,1452,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,15,Know,13,ASHLEY,ASHLEY,true,5219,15,10,24,1,15,21,24,1,1,0,1870,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,16,Familiar,18,NA,NA,NA,NA,16,4,28,2,16,29,10,1,2,0,1962.9999999995343,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,17,Familiar,9,NA,NA,NA,NA,17,15,36,1,17,5,21,0,0,0,1012,undefined,undefined,undefined,
0tvjk0e54v,undefined,undefined,undefined,undefined,18,Know,21,MARGARET,MARGARET,true,4560,18,1,7,1,18,26,33,0,0,0,1007,undefined,undefined,undefined,
