SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
3w7jbewt3e,qkp0amewkh,Mon Nov 02 2020 12:32:42 GMT-0600 (CST),2020-11-2,12:32:42,1,Know,35,MARGARET,MARGARET,true,5071.000000000015,1,4,18,1,1,31,35,1,0,1,2355.000000000233,12:54:57,123083,62962,
3w7jbewt3e,undefined,undefined,undefined,undefined,2,Familiar,14,NA,NA,NA,NA,2,21,4,0,2,36,9,0,0,0,1583,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,3,Know,18,ALEXIS,ALEXIS,true,5323,3,12,19,1,3,13,25,0,1,0,2210.000000000233,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,4,Familiar,34,NA,NA,NA,NA,4,27,26,1,4,9,13,1,0,1,1245,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,5,Familiar,21,NA,NA,NA,NA,5,5,21,2,5,27,26,0,1,0,2295,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,6,Know,13,MARY,MARY,true,3423,6,22,17,2,6,25,20,1,0,0,1388,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,7,Know,23,MEGAN,MEGAN,true,3254,7,34,2,0,7,19,5,1,2,1,1128,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,8,Familiar,3,NA,NA,NA,NA,8,36,9,0,8,1,24,1,0,0,1265,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,9,Familiar,36,NA,NA,NA,NA,9,32,36,1,9,14,29,0,0,1,993,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,10,Know,12,ALYSSA,ALYSSA,true,4038,10,24,23,0,10,17,1,0,2,0,1089,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,11,Familiar,7,NA,NA,NA,NA,11,29,11,2,11,24,8,1,0,1,1699.9999999997672,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,12,Familiar,25,NA,NA,NA,NA,12,8,16,1,12,2,16,1,1,1,1610.0000000002328,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,13,Know,27,VICTORIA,VICTORIA,true,5537,13,33,30,2,13,8,6,1,1,0,1110.0000000002328,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,14,Familiar,24,NA,NA,NA,NA,14,10,34,2,14,20,32,0,2,0,1250,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,15,Know,8,LAUREN,LAUREN,true,3739,15,18,28,1,15,35,10,0,1,0,786,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,16,Know,28,REBECCA,REBECCA,true,4091,16,14,29,0,16,34,2,0,0,0,1276,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,17,Familiar,31,NA,NA,NA,NA,17,6,27,2,17,30,15,1,2,1,1114,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,18,Familiar,11,NA,NA,NA,NA,18,28,22,1,18,12,19,0,1,0,1356,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,19,Know,15,ZOEY,ZOEY,true,3468,19,20,32,2,19,28,36,1,1,1,1461,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,20,Familiar,9,NA,NA,NA,NA,20,25,24,0,20,22,17,0,2,0,1276,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,21,Know,32,AUDREY,AUDREY,true,4054,21,15,7,1,21,33,30,0,2,1,1205.9999999997672,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,22,Familiar,1,NA,NA,NA,NA,22,3,14,0,22,32,22,1,1,1,1402,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,23,Know,2,EMILY,EMILY,true,3472,23,30,5,2,23,23,31,0,1,0,1506,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,24,Know,4,STEPHANIE,STEPHANIE,true,4401,24,7,12,0,24,4,7,1,1,0,924,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,25,Familiar,34,NA,NA,NA,NA,25,26,3,2,25,3,14,0,0,0,1231,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,26,Know,15,ZOEY,LAUREN,false,8220,26,16,33,2,26,5,3,1,2,1,1466,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,27,Familiar,3,NA,NA,NA,NA,27,11,8,0,27,15,18,1,1,0,1004,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,28,Familiar,24,NA,NA,NA,NA,28,31,13,0,28,26,21,1,2,0,1215,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,29,Know,2,EMILY,EMILY,true,4746.000000000058,29,17,1,2,29,11,23,1,0,1,1251,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,30,Know,27,VICTORIA,LAUREN,false,5596.000000000058,30,2,6,1,30,29,27,1,2,1,1372,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,31,Familiar,7,NA,NA,NA,NA,31,19,15,2,31,16,33,0,2,0,1711,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,32,Know,32,AUDREY,MARGARET,false,4210,32,9,35,0,32,21,4,0,0,0,1049,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,33,Know,4,STEPHANIE,LAUREN,false,3855.000000000058,33,23,31,1,33,7,12,0,0,0,1027.9999999997672,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,34,Familiar,36,NA,NA,NA,NA,34,1,20,0,34,6,11,1,2,1,1176,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,35,Familiar,31,NA,NA,NA,NA,35,13,25,1,35,18,28,0,1,0,1389,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,36,Know,23,MEGAN,MARGARET,false,5036,36,35,10,1,36,10,34,0,2,0,985.9999999997672,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,37,Know,35,MARGARET,MARGARET,true,4248,37,24,23,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,38,Familiar,9,NA,NA,NA,NA,38,3,14,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,39,Familiar,14,NA,NA,NA,NA,39,2,6,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,40,Know,8,LAUREN,MEGAN,false,4815,40,35,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,41,Familiar,1,NA,NA,NA,NA,41,19,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,42,Know,13,MARY,MEGAN,false,3524,42,8,16,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,43,Know,28,REBECCA,MEGAN,false,3025,43,21,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,44,Familiar,11,NA,NA,NA,NA,44,33,30,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,45,Know,18,ALEXIS,MEGAN,false,5509,45,32,36,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,46,Familiar,25,NA,NA,NA,NA,46,20,32,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,47,Familiar,21,NA,NA,NA,NA,47,23,31,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,48,Know,12,ALYSSA,MEGAN,false,4530,48,25,24,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,49,Familiar,36,NA,NA,NA,NA,49,27,26,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,50,Know,28,REBECCA,MEGAN,false,3569.999999999942,50,13,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,51,Know,2,EMILY,EMILY,true,3619,51,7,12,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,52,Familiar,34,NA,NA,NA,NA,52,15,7,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,53,Familiar,14,NA,NA,NA,NA,53,18,28,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,54,Know,13,MARY,ALYSSA,false,5941,54,17,1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,55,Know,12,ALYSSA,ALYSSA,true,3574,55,11,8,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,56,Familiar,9,NA,NA,NA,NA,56,29,11,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,57,Know,4,STEPHANIE,REBECCA,false,8272,57,22,17,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,58,Know,32,AUDREY,REBECCA,false,3238.999999999942,58,34,2,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,59,Familiar,1,NA,NA,NA,NA,59,5,21,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
3w7jbewt3e,undefined,undefined,undefined,undefined,60,Familiar,21,NA,NA,NA,NA,60,1,20,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
