SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
4vw9vwkztt,vz8co73x3l,Tue Oct 13 2020 10:22:32 GMT-0500 (Central Daylight Time),2020-10-13,10:22:32,1,Know,12,EMILY,EMILY,true,9131.610000040382,1,20,19,2,1,30,14,0,2,1,6501.339999958873,10:46:46,122714.10000009928,64306.59999989439,
4vw9vwkztt,undefined,undefined,undefined,undefined,2,Familiar,10,NA,NA,NA,NA,2,12,12,1,2,27,28,0,0,0,2911.519999965094,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,3,Familiar,24,NA,NA,NA,NA,3,36,36,1,3,3,13,1,0,0,2593.9800000051036,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,4,Know,19,COURTNEY,COURTNEY,true,8396.53000002727,4,3,23,0,4,20,20,1,2,0,1804.1550000198185,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,5,Familiar,25,NA,NA,NA,NA,5,27,28,0,5,17,18,0,1,0,2538.9049999648705,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,6,Know,31,BRIANNA,BRIANA,false,5689.610000001267,6,33,1,1,6,35,19,1,2,1,1338.6500000488013,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,7,Know,17,VICTORIA,VICTORIA,true,2853.1599999405444,7,32,2,2,7,4,10,1,1,1,1884.9899999331683,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,8,Familiar,1,NA,NA,NA,NA,8,13,33,2,8,14,32,0,1,1,2027.3600000655279,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,9,Familiar,11,NA,NA,NA,NA,9,23,16,1,9,13,25,1,2,1,3103.154999902472,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,10,Know,14,SARAH,SARAH,true,3308.9949999703094,10,2,21,2,10,34,23,1,0,1,8007.780000101775,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,11,Familiar,27,NA,NA,NA,NA,11,7,31,0,11,21,22,0,2,0,2910.2299999212846,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,12,Familiar,3,NA,NA,NA,NA,12,26,17,0,12,6,24,0,2,1,2654.035000014119,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,13,Know,23,RACHEL,RACHEL,true,4136.334999930114,13,29,11,2,13,28,33,1,2,0,1433.530000038445,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,14,Familiar,7,NA,NA,NA,NA,14,21,22,2,14,9,21,1,2,1,1916.9249999104068,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,15,Familiar,34,NA,NA,NA,NA,15,15,27,1,15,25,9,0,0,1,2408.655000035651,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,16,Know,4,MEGAN,MEGAN,true,2266.8500000145286,16,24,6,0,16,24,6,0,0,0,3662.194999982603,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,17,Know,22,ASHLEY,ASHLEY,true,4301.6650000354275,17,4,30,1,17,19,34,0,1,1,2110.6849999632686,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,18,Familiar,26,NA,NA,NA,NA,18,17,18,1,18,2,26,1,2,1,1186.1450000433251,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,19,Know,36,LAUREN,LAUREN,true,2546.295000007376,19,18,8,0,19,22,30,1,1,0,2480.86000001058,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,20,Know,15,NANCY,NANCY,true,2218.005000031553,20,19,34,1,20,5,36,1,1,1,4072.9050000663847,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,21,Familiar,16,NA,NA,NA,NA,21,14,32,1,21,18,3,1,0,1,3327.6850000256673,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,22,Know,33,JENNIFER,JENNIFER,true,11575.090000056662,22,30,14,2,22,16,8,1,0,1,2188.270000042394,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,23,Familiar,18,NA,NA,NA,NA,23,11,7,0,23,32,2,0,2,1,3370.299999951385,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,24,Know,5,NICOLE,NICOLE,true,2420.97500001546,24,1,4,0,24,10,5,0,0,1,1064.5299999741837,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,25,Familiar,10,NA,NA,NA,NA,25,31,15,1,25,11,7,0,0,1,1793.8950000097975,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,26,Familiar,24,NA,NA,NA,NA,26,5,29,1,26,36,29,1,1,1,1555.144999991171,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,27,Know,5,NICOLE,EMILY,false,9106.015000026673,27,34,13,0,27,23,16,0,1,0,2182.0000000298023,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,28,Familiar,16,NA,NA,NA,NA,28,28,25,2,28,31,15,0,1,1,1774.7049999888986,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,29,Familiar,1,NA,NA,NA,NA,29,6,24,2,29,7,17,1,0,1,2831.5749999601394,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,30,Know,36,LAUREN,EMILY,false,8943.759999936447,30,16,3,0,30,26,31,1,0,0,1197.840000037104,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,31,Familiar,7,NA,NA,NA,NA,31,25,9,0,31,8,35,0,2,0,1275.3299999749288,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,32,Know,4,MEGAN,EMILY,false,4268.08000006713,32,9,26,2,32,12,12,0,1,0,6720.485000056215,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,33,Know,15,NANCY,EMILY,false,7269.52000008896,33,8,35,2,33,33,27,1,1,0,1729.6499999938533,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,34,Familiar,26,NA,NA,NA,NA,34,10,5,0,34,15,1,1,1,1,2189.559999969788,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,35,Know,23,RACHEL,EMILY,false,6274.4000001112,35,35,20,2,35,29,11,0,2,1,1270.0600000098348,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,36,Familiar,3,NA,NA,NA,NA,36,22,10,1,36,1,4,0,0,0,1040.8750000642613,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,37,Know,17,VICTORIA,IDK,false,5484.44999998901,37,3,23,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,38,Familiar,27,NA,NA,NA,NA,38,14,32,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,39,Know,31,BRIANNA,UGLY,false,8974.18000001926,39,36,36,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,40,Know,12,EMILY,WHATEVER,false,12569.224999984726,40,35,20,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,41,Familiar,18,NA,NA,NA,NA,41,11,7,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,42,Know,22,ASHLEY,I MISSED EMILY,false,7173.710000002757,42,18,8,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,43,Know,14,SARAH,DUNNO,false,6626.505000051111,43,31,15,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,44,Familiar,34,NA,NA,NA,NA,44,19,34,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,45,Familiar,11,NA,NA,NA,NA,45,2,21,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,46,Know,19,COURTNEY,DRUG DEALER,false,10259.899999946356,46,32,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4vw9vwkztt,undefined,undefined,undefined,undefined,47,Familiar,25,NA,NA,NA,NA,47,22,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
