SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
95fpb5jjcy,dfarn7fad6,Sun Nov 08 2020 15:29:36 GMT-0600 (Central Standard Time),2020-11-8,15:29:36,1,Familiar,8,NA,NA,NA,NA,1,10,15,1,1,33,26,1,0,1,2385.8500000205822,15:51:17,123107.36000002362,60541.39500000747,
95fpb5jjcy,undefined,undefined,undefined,undefined,2,Familiar,29,NA,NA,NA,NA,2,17,7,2,2,20,1,1,2,1,1295.559999998659,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,3,Know,5,AUDREY,AUDREY,true,5009.979999973439,3,8,33,0,3,3,8,1,1,1,1268.5299999429844,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,4,Know,10,SAMANTHA,SAMANTHA,true,4470.089999958873,4,4,4,0,4,13,35,1,2,1,1260.8499999623746,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,5,Familiar,4,NA,NA,NA,NA,5,14,32,2,5,15,27,1,2,1,1421.2050000205636,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,6,Know,25,GRACE,GRACE,true,2816.484999959357,6,13,1,2,6,24,22,0,2,0,1167.6050000241958,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,7,Know,30,JESSICA,JESSICA,true,2917.765000020154,7,33,36,0,7,18,36,1,0,1,1520.9000000031665,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,8,Familiar,28,NA,NA,NA,NA,8,24,22,2,8,16,29,0,2,1,2728.6949999979697,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,9,Know,9,MARGARET,MARGARET,true,3217.2450000070967,9,34,8,1,9,19,16,1,0,1,1996.5599999995902,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,10,Familiar,6,NA,NA,NA,NA,10,7,17,0,10,10,15,0,1,0,1306.589999992866,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,11,Know,12,HAZEL,HAZEL,true,3143.969999975525,11,18,26,0,11,34,30,1,1,1,1568.9949999796227,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,12,Familiar,22,NA,NA,NA,NA,12,26,6,2,12,35,34,1,1,1,2528.600000019651,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,13,Familiar,7,NA,NA,NA,NA,13,27,27,2,13,1,14,0,2,0,1658.530000015162,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,14,Know,23,SOFIA,SOFIA,true,2489.9200000218116,14,32,5,1,14,30,23,0,1,0,1554.8500000149943,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,15,Familiar,36,NA,NA,NA,NA,15,28,13,0,15,36,10,1,0,1,3034.5799999777228,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,16,Know,35,AMANDA,AMANDA,true,2675.8649999974295,16,31,20,2,16,17,7,0,2,0,2227.1049999981187,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,17,Know,11,ZOEY,ZOEY,true,2141.360000008717,17,20,35,2,17,2,9,0,2,0,1337.954999995418,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,18,Familiar,19,NA,NA,NA,NA,18,9,24,1,18,9,24,0,1,1,2805.2800000295974,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,19,Familiar,18,NA,NA,NA,NA,19,1,14,2,19,25,12,0,1,1,4006.519999995362,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,20,Know,3,KAREN,KAREN,true,2464.009999996051,20,22,31,0,20,11,28,1,1,1,2114.479999989271,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,21,Know,34,BRIANNA,BRIANNA,true,2510.01999998698,21,3,30,1,21,29,18,0,0,0,1735.0100000039674,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,22,Familiar,21,NA,NA,NA,NA,22,19,10,0,22,32,25,1,1,1,1319.1099999821745,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,23,Know,32,HANNAH,HANNAH,true,2351.6200000303797,23,21,19,0,23,12,3,0,1,0,2103.2450000056997,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,24,Familiar,33,NA,NA,NA,NA,24,30,23,1,24,7,19,1,0,1,1305.400000012014,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,25,Familiar,36,NA,NA,NA,NA,25,35,28,1,25,8,33,0,0,0,2074.015000020154,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,26,Know,35,AMANDA,AMANDA,true,3636.7800000007264,26,16,29,2,26,27,2,1,2,1,1849.709999980405,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,27,Familiar,7,NA,NA,NA,NA,27,11,34,1,27,23,5,1,1,1,1478.9299999829382,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,28,Familiar,29,NA,NA,NA,NA,28,15,2,2,28,31,6,1,2,0,2257.4449999956414,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,29,Know,25,GRACE,AUDREY,false,5026.600000041071,29,36,16,0,29,28,13,0,0,0,1952.9000000329688,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,30,Familiar,8,NA,NA,NA,NA,30,25,12,1,30,6,11,0,0,0,1373.3249999932013,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,31,Know,10,SAMANTHA,AUDREY,false,5290.1200000196695,31,6,11,0,31,26,20,1,2,1,3326.32500003092,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,32,Familiar,22,NA,NA,NA,NA,32,23,25,1,32,22,31,0,0,0,1971.9250000198372,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,33,Know,5,AUDREY,AUDREY,true,2851.7700000084005,33,2,9,2,33,21,17,1,0,1,1321.570000029169,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,34,Familiar,18,NA,NA,NA,NA,34,29,18,0,34,5,21,0,1,0,6487.444999977015,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,35,Know,30,JESSICA,BRIANNA,false,14520.625000004657,35,12,3,1,35,14,32,0,2,0,2123.0100000393577,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,36,Familiar,6,NA,NA,NA,NA,36,5,21,1,36,4,4,0,0,0,2041.7349999770522,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,37,Know,32,HANNAH,HANNAH,true,2935.905000020284,37,28,13,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,38,Know,12,HAZEL,HAZEL,true,5648.589999997057,38,24,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,39,Familiar,21,NA,NA,NA,NA,39,12,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,40,Familiar,19,NA,NA,NA,NA,40,30,23,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,41,Know,11,ZOEY,BRIANNA,false,10254.344999964815,41,17,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,42,Familiar,4,NA,NA,NA,NA,42,25,12,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,43,Know,23,SOFIA,SOFIA,true,3015.959999989718,43,35,28,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,44,Know,34,BRIANNA,BRIANNA,true,21251.595000037923,44,15,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,45,Familiar,33,NA,NA,NA,NA,45,22,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,46,Know,3,KAREN,KAREN,true,3785.199999983888,46,34,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,47,Familiar,28,NA,NA,NA,NA,47,14,32,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,48,Know,9,MARGARET,MARGARET,true,3769.800000009127,48,7,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,49,Know,23,SOFIA,SOFIA,true,2952.8600000194274,49,9,24,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,50,Familiar,29,NA,NA,NA,NA,50,19,10,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,51,Familiar,8,NA,NA,NA,NA,51,11,34,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,52,Know,12,HAZEL,HAZEL,true,4041.8599999975413,52,31,20,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,53,Familiar,36,NA,NA,NA,NA,53,33,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,54,Familiar,28,NA,NA,NA,NA,54,4,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
95fpb5jjcy,undefined,undefined,undefined,undefined,55,Know,34,BRIANNA,BRIANNA,true,6160.03999998793,55,16,29,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
