SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
9fyrz238fx,r3qcyuwnhv,Mon Oct 19 2020 19:36:56 GMT-0500 (Central Daylight Time),2020-10-19,19:36:56,1,Know,24,CHLOE,CHLOE,true,5489.71499997424,1,10,11,1,1,32,22,0,2,0,3578.5500000347383,19:59:58,120645.19000001019,60172.39999998128,
9fyrz238fx,undefined,undefined,undefined,undefined,2,Familiar,6,NA,NA,NA,NA,2,23,32,1,2,25,20,1,0,1,1604.700000025332,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,3,Familiar,4,NA,NA,NA,NA,3,21,10,2,3,16,13,0,1,1,1427.800000004936,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,4,Know,28,ZOEY,ZOEY,true,6411.915000004228,4,5,19,2,4,15,18,1,0,1,1378.8650000351481,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,5,Familiar,19,NA,NA,NA,NA,5,24,27,1,5,2,15,1,1,0,1822.7649999898858,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,6,Know,33,HAZEL,HAZEL,true,4318.979999981821,6,14,16,2,6,19,9,0,0,0,2083.134999964386,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,7,Know,12,LISA,LISA,true,2280.1200000103563,7,29,15,1,7,20,7,1,0,1,1884.5650000148453,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,8,Familiar,9,NA,NA,NA,NA,8,20,21,0,8,10,11,0,1,1,1821.6299999621697,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,9,Familiar,11,NA,NA,NA,NA,9,16,13,1,9,29,6,1,1,1,1392.0299999881536,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,10,Know,16,BRITTANY,BRITTANY,true,6180.334999982733,10,12,33,1,10,24,27,0,1,1,3247.3549999995157,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,11,Know,10,MARGARET,MARGRET,false,6094.094999949448,11,27,3,2,11,5,10,1,2,1,1034.2750000418164,undefined,undefined,undefined,
9fyrz238fx,undefined,undefined,undefined,undefined,12,Familiar,22,NA,NA,NA,NA,12,15,20,0,12,26,30,0,2,1,2174.1799999726936,undefined,undefined,undefined,
