SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
4ezucnjhmx,0w7azo87gl,Thu Dec 03 2020 12:37:23 GMT-0600 (CST),2020-12-3,12:37:23,1,Familiar,23,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,2,Know,27,NANCY,NANCY,true,3634,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,3,Familiar,34,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,4,Familiar,3,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,5,Know,25,NICOLE,NICOLE,true,3965,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,6,Familiar,17,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,7,Familiar,18,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,8,Know,35,VICTORIA,VICTORIA,true,3608.000000000029,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,9,Know,13,BETTY,BETH,false,4822,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,10,Familiar,22,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,11,Know,24,AMANDA,AMANDA,true,2863,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,12,Know,15,MEGAN,MEGAN,true,4647.000000000029,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,13,Familiar,12,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,14,Know,14,GRACE,GRACE,true,2564,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,15,Know,20,LAUREN,LAUREN,true,2794.000000000029,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,16,Familiar,9,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4ezucnjhmx,undefined,undefined,undefined,undefined,17,Familiar,2,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
