SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
c4q9mv9ags,crlyh1p8m0,Mon Oct 19 2020 23:43:49 GMT-0500 (Central Daylight Time),2020-10-19,23:43:49,1,Familiar,25,NA,NA,NA,NA,1,28,8,0,1,24,31,0,2,0,5270.669999998063,0:10:12,120022.3699999624,60046.09499999788,
c4q9mv9ags,undefined,undefined,undefined,undefined,2,Know,35,ASHLEY,ASHLEY,true,5534.875000012107,2,21,12,2,2,15,19,1,2,1,2743.979999970179,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,3,Familiar,27,NA,NA,NA,NA,3,20,33,0,3,34,34,0,1,0,1730.3350000292994,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,4,Know,34,MARY,MARY,true,17510.725000000093,4,14,22,0,4,2,20,1,2,1,1943.7950000283308,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,5,Know,7,CHLOE,CHLOE,true,5138.015000033192,5,24,31,2,5,26,36,0,2,0,2403.310000023339,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,6,Familiar,30,NA,NA,NA,NA,6,10,25,1,6,21,12,0,2,0,6235.5099999695085,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,7,Know,5,JESSICA,JESSICA,true,7179.865000012796,7,9,1,1,7,17,5,0,2,0,2091.6650000144728,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,8,Know,11,HAZEL,HAZEL,true,3407.1250000270084,8,22,16,2,8,13,24,1,2,0,4394.945000007283,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,9,Familiar,28,NA,NA,NA,NA,9,35,23,1,9,12,15,1,1,1,1463.5800000396557,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,10,Familiar,20,NA,NA,NA,NA,10,34,34,1,10,20,33,0,0,0,1279.25999998115,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,11,Know,10,REBECCA,REBECCA,true,5356.809999968391,11,17,5,2,11,6,22,1,0,1,2033.159999991767,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,12,Familiar,36,NA,NA,NA,NA,12,19,26,0,12,14,28,1,0,1,1903.0400000046939,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,13,Familiar,19,NA,NA,NA,NA,13,3,18,2,13,4,4,1,0,1,1220.4349999665283,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,14,Know,8,SOFIA,SOFIA,true,3958.0299999797717,14,18,4,0,14,18,35,1,0,1,1259.334999951534,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,15,Know,9,JENNIFER,JENNIFER,true,6079.4300000416115,15,31,15,1,15,31,3,1,1,0,4285.710000025574,undefined,undefined,undefined,
c4q9mv9ags,undefined,undefined,undefined,undefined,16,Familiar,6,NA,NA,NA,NA,16,29,24,2,16,27,30,0,0,0,6895.550000015646,undefined,undefined,undefined,
