SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
jdphqdbwlf,8ejh1e3zvp,Wed Oct 21 2020 22:34:05 GMT-0500 (Central Daylight Time),2020-10-21,22:34:5,1,Familiar,1,NA,NA,NA,NA,1,30,25,0,1,32,25,1,0,1,2283.370000019204,22:57:50,125131.91499997629,61882.25500000408,
jdphqdbwlf,undefined,undefined,undefined,undefined,2,Familiar,14,NA,NA,NA,NA,2,28,10,1,2,13,23,0,0,0,1707.025000010617,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,3,Know,19,SAMANTHA,SAMANTHA,true,8344.220000028145,3,13,23,0,3,34,1,1,2,1,1138.405000034254,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,4,Familiar,33,NA,NA,NA,NA,4,6,2,1,4,4,22,1,1,1,3282.889999973122,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,5,Know,27,STEPHANIE,STEPHANIE,true,3005.8150000404567,5,25,26,1,5,12,18,0,1,0,1154.3349999701604,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,6,Familiar,13,NA,NA,NA,NA,6,2,1,2,6,16,20,0,0,0,3282.8999999910593,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,7,Know,15,REBECCA,REBECCA,true,5499.669999990147,7,19,17,1,7,19,17,0,1,0,2393.4749999898486,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,8,Familiar,24,NA,NA,NA,NA,8,15,30,1,8,2,7,1,2,1,1458.6199999903329,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,9,Familiar,16,NA,NA,NA,NA,9,32,21,0,9,30,21,1,0,1,1790.949999995064,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,10,Know,9,ASHLEY,ASHLEY,true,4126.519999990705,10,27,32,1,10,6,2,0,1,0,1317.5650000339374,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,11,Know,6,COURTNEY,COURTNEY,true,5016.120000043884,11,16,20,0,11,3,16,1,1,1,1553.4249999909662,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,12,Familiar,5,NA,NA,NA,NA,12,34,7,2,12,25,35,1,1,1,1551.4700000057928,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,13,Know,12,AUDREY,AUDREY,true,3600.4099999554455,13,5,11,0,13,21,12,0,2,0,3934.494999994058,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,14,Know,29,ZOEY,ZOEY,true,6805.4750000010245,14,7,15,2,14,24,24,0,0,0,1283.6499999975786,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,15,Familiar,18,NA,NA,NA,NA,15,22,31,2,15,27,32,0,1,0,1944.9449999956414,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,16,Know,3,HANNAH,HANNAH,true,5898.335000034422,16,29,36,1,16,35,26,1,1,1,1241.3700000033714,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,17,Know,35,SARAH,SARAH,true,4808.415000035893,17,24,24,0,17,33,6,0,0,0,1293.714999977965,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,18,Familiar,32,NA,NA,NA,NA,18,10,27,2,18,9,19,0,1,0,1026.929999992717,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,19,Familiar,17,NA,NA,NA,NA,19,26,3,2,19,29,10,1,1,1,1159.490000049118,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,20,Know,28,MARGARET,MARGRET,false,3171.0350000066683,20,23,8,0,20,17,29,1,0,1,1161.7900000419468,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,21,Know,4,MARY,MARY,true,4028.4950000350364,21,31,14,2,21,18,13,1,0,0,2786.610000010114,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,22,Familiar,23,NA,NA,NA,NA,22,9,19,1,22,1,4,0,0,0,1408.045000047423,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,23,Know,25,ALYSSA,ALYSSA,true,3197.8849999723025,23,12,18,1,23,26,3,0,2,0,1560.585000028368,undefined,undefined,undefined,
jdphqdbwlf,undefined,undefined,undefined,undefined,24,Familiar,30,NA,NA,NA,NA,24,11,33,2,24,11,33,0,2,0,1414.7399999783374,undefined,undefined,undefined,
