SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,FaceID,FaceImg,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFaceID,StudyFaceImg,StudyFamCond,StudyTime,TestTrialNum,TestFaceID,TestFaceImg,TestFamCond,TestStatusCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_1_numT,Distractor_1_acc,Distractor_2_duration,Distractor_2_numT,Distractor_2_acc,StudyButtonRespTime,StudyButtonRespTime_mean,q1,q2,q3,
lawplj5jwd,rk7ck165gj,Tue Jan 05 2021 20:16:18 GMT+0100 (heure normale d’Europe centrale),2021-1-5,20:16:18,1,19,3,ROBERT,ROBERT,true,4879.090000002179,1,22,2,0,4000,1,32,8,1,0,1,21994.81000000378,20:56:17,148711.575000023,17,76,116686.8699999759,40,65,5349.114999989979,4467.550000001211,No,,,
lawplj5jwd,undefined,undefined,undefined,undefined,2,33,3,LORY,LORY,true,75732.02499997569,2,3,2,1,4000,2,5,8,0,1,0,14080.284999974538,undefined,154639.5050000283,14,71,120510.7999999891,undefined,undefined,4668.315000017174,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,3,32,3,GRACE,GRACE,true,8443.239999993239,3,8,2,1,4000,3,30,8,0,1,1,11641.434999997728,undefined,335899.1650000098,undefined,undefined,undefined,undefined,undefined,4226.565000019036,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,4,20,3,JOSH,JOSH,true,12691.83999998495,4,18,2,0,4000,4,9,8,0,0,1,13627.61500000488,undefined,121034.50999996858,undefined,undefined,undefined,undefined,undefined,3626.204999978654,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,5,17,3,OLIVER,OLIVER,true,7980.04499997478,5,21,2,0,4000,5,17,8,1,1,1,9181.525000021793,undefined,275673.98500000127,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,6,3,3,KEVIN,KEVIN,true,5870.684999972582,6,13,2,1,4000,6,20,8,1,1,0,2433.2849999773316,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,7,15,3,TYLER,TYLER,true,7148.8749999552965,7,19,2,1,4000,7,33,8,1,1,1,9751.79000000935,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,8,1,3,MICHAEL,MICHAEL,true,7250.7949999999255,8,9,2,0,4000,8,40,8,1,0,5,4633.589999983087,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,9,38,3,AMBER,AMBER,true,4934.290000004694,9,11,2,0,4000,9,34,8,0,1,1,3721.7349999700673,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,10,23,3,EVELYN,EVELYN,true,6562.619999982417,10,40,2,1,4000,10,8,8,1,0,5,1462.7699999837205,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,11,39,3,DIANA,DIANA,true,7235.74000003282,11,32,2,1,4000,11,23,8,1,0,5,1961.3349999999627,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,12,29,3,SARAH,SARAH,true,5160.850000043865,12,14,2,0,4000,12,12,8,0,1,1,11393.650000041816,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,13,35,3,JULIE,JULIE,true,4274.975000007544,13,2,2,0,4000,13,18,8,0,0,1,7672.374999965541,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,14,10,3,LOGAN,LOGAN,true,4448.904999997467,14,27,2,1,4000,14,26,8,0,0,5,2136.8950000032783,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,15,25,3,ASHLEY,ASHLEY,true,5947.27000000421,15,35,2,1,4000,15,35,8,1,0,5,1756.9500000099652,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,16,27,3,AMANDA,AMANDA,true,7220.774999994319,16,26,2,0,4000,16,28,8,0,0,1,5577.419999986887,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,17,13,3,GABRIEL,GABRIEL,true,8428.989999985788,17,28,2,0,4000,17,14,8,0,0,1,18167.65999997733,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,18,4,3,BRANDON,BRANDON,true,8083.685000019614,18,15,2,1,4000,18,38,8,1,1,1,5976.3200000161305,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,19,40,3,JUDY,JUDY,true,7981.5749999834225,19,23,2,1,4000,19,6,8,0,1,0,19466.38499997789,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
lawplj5jwd,undefined,undefined,undefined,undefined,20,8,3,KYLE,KYLE,true,7274.375000037253,20,24,2,0,4000,20,39,8,1,1,0,13702.489999996033,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
