SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
nadme0gcke,d1jnozvze2,Sat Nov 14 2020 23:44:24 GMT-0600 (Central Standard Time),2020-11-14,23:44:24,1,Know,28,REBECCA,REBECCA,true,6322.245000003022,1,14,13,2,1,14,13,0,2,0,3023.424999992363,0:7:20,122051.68999999296,61028.24999998836,
nadme0gcke,undefined,undefined,undefined,undefined,2,Know,25,JENNIFER,JENNIFER,true,7807.195000001229,2,26,26,2,2,5,8,1,2,1,1719.109999991022,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,3,Familiar,15,NA,NA,NA,NA,3,36,29,1,3,17,2,0,1,1,1231.4400000032037,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,4,Know,17,AMANDA,AMANDA,true,4076.7199999972945,4,22,35,0,4,6,1,0,1,1,1502.5549999990035,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,5,Familiar,24,NA,NA,NA,NA,5,35,20,1,5,2,35,1,0,1,1466.7550000012852,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,6,Familiar,32,NA,NA,NA,NA,6,9,27,1,6,35,31,1,1,1,1547.2100000041537,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,7,Know,19,PATRICIA,PATRICIA,true,4876.450000010664,7,7,17,2,7,22,24,1,0,0,1402.2350000012666,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,8,Familiar,11,NA,NA,NA,NA,8,3,31,1,8,3,20,1,1,0,1980.8000000047032,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,9,Know,6,NANCY,NANCY,true,3626.9050000119023,9,17,2,1,9,32,3,0,0,0,1197.4300000001676,undefined,undefined,undefined,
nadme0gcke,undefined,undefined,undefined,undefined,10,Know,27,ELIZABETH,ELIZABETH ,false,4472.5150000012945,10,33,19,2,10,16,11,1,2,1,1430.5900000035763,undefined,undefined,undefined,
