SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
oybv2dwpsu,nxdx1swn9b,Wed Dec 02 2020 16:23:37 GMT-0800 (Pacific Standard Time),2020-12-2,16:23:37,1,Know,17,BRITTANY,BRITTANY,true,5456.035000010161,1,13,33,0,1,20,13,1,0,0,2914.805000007618,16:46:44,122761.33499998832,63384.84499999322,
oybv2dwpsu,undefined,undefined,undefined,undefined,2,Know,15,GRACE,GRACE,true,2758.5799999942537,2,18,3,1,2,28,8,1,0,0,1269.9199999915436,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,3,Familiar,23,NA,NA,NA,NA,3,27,21,0,3,15,28,0,1,0,1726.5149999875575,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,4,Familiar,22,NA,NA,NA,NA,4,28,13,0,4,26,16,0,2,0,1434.1899999999441,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,5,Know,21,SARAH,SARAH,true,4286.339999991469,5,25,31,2,5,36,10,0,1,1,2420.190000004368,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,6,Familiar,4,NA,NA,NA,NA,6,17,35,1,6,24,33,1,0,1,1304.5799999963492,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,7,Familiar,12,NA,NA,NA,NA,7,7,26,1,7,2,25,0,2,0,1124.2100000090431,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,8,Know,34,STEPHANIE,STEPHANIE,true,3816.0849999985658,8,4,6,0,8,16,18,0,0,0,899.3749999790452,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,9,Familiar,16,NA,NA,NA,NA,9,21,20,1,9,21,20,0,1,0,960.9950000012759,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,10,Know,36,MARGARET,MARGHARET,false,5942.215000017313,10,19,11,2,10,5,34,0,2,0,890.6100000021979,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,11,Familiar,8,NA,NA,NA,NA,11,24,32,0,11,4,6,0,0,0,881.9300000031944,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,12,Know,7,JENNIFER,JENNIFER,true,3720.9949999814853,12,15,28,1,12,13,32,1,0,1,1499.985000002198,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,13,Know,30,MARY,MARY,true,3079.765000002226,13,1,17,2,13,8,5,0,0,0,1056.3850000035018,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,14,Familiar,27,NA,NA,NA,NA,14,12,2,0,14,27,36,1,0,1,1238.0450000055134,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,15,Familiar,29,NA,NA,NA,NA,15,14,24,2,15,23,12,0,0,0,1322.7699999988545,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,16,Know,9,MEGAN,MEGAN,true,2175.8850000042003,16,8,5,0,16,7,26,0,1,0,1306.750000017928,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,17,Familiar,24,NA,NA,NA,NA,17,6,4,2,17,19,11,0,2,0,1106.98000001139,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,18,Familiar,28,NA,NA,NA,NA,18,23,12,0,18,33,3,1,1,0,2397.6649999967776,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,19,Know,18,EMILY,EMILY,true,2300.5249999987427,19,11,19,2,19,25,19,1,2,1,1254.3700000096578,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,20,Know,10,BETTY,BETTY,true,2828.3449999871664,20,30,14,1,20,17,35,0,1,0,832.3249999957625,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,21,Familiar,20,NA,NA,NA,NA,21,3,23,2,21,11,31,1,2,1,1405.415000015637,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,22,Know,33,MADISON,MADISON,true,1614.7950000013225,22,26,16,2,22,18,30,1,1,1,2134.8300000245217,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,23,Know,32,HANNAH,HANNAH,true,1491.2999999942258,23,34,15,1,23,32,7,1,1,1,1747.0849999808706,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,24,Familiar,13,NA,NA,NA,NA,24,16,18,0,24,22,29,0,0,1,1028.3349999808706,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,25,Familiar,22,NA,NA,NA,NA,25,5,34,2,25,6,4,0,2,0,1688.430000009248,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,26,Know,18,EMILY,EMILY,true,16380.269999994198,26,32,9,1,26,10,9,1,1,1,943.3350000181235,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,27,Know,33,MADISON,BETTY,false,14023.569999990286,27,33,30,1,27,12,2,0,0,0,1491.1900000006426,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,28,Familiar,23,NA,NA,NA,NA,28,2,25,2,28,35,23,1,2,1,928.1299999856856,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,29,Familiar,13,NA,NA,NA,NA,29,20,8,0,29,34,15,0,1,1,3281.2949999934062,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,30,Know,17,BRITTANY,BRITTANY,true,29247.94000000111,30,22,29,0,30,30,27,1,1,1,1595.1900000218302,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,31,Know,34,STEPHANIE,BETTY,false,9818.294999975478,31,35,1,2,31,14,24,0,2,0,1985.2550000068732,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,32,Familiar,8,NA,NA,NA,NA,32,10,7,1,32,9,14,1,1,1,1421.585000003688,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,33,Familiar,24,NA,NA,NA,NA,33,9,27,1,33,29,21,1,0,1,1050.48999999417,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,34,Know,21,SARAH,MARGARET,false,17947.07500000368,34,31,22,2,34,3,1,1,2,1,1207.5799999875017,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,35,Familiar,29,NA,NA,NA,NA,35,36,10,1,35,31,17,1,2,0,1685.7350000063889,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,36,Know,36,MARGARET,MARGARET,true,3751.9200000097044,36,29,36,0,36,1,22,1,2,1,2539.099999994505,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,37,Know,15,GRACE,SUSAN,false,4322.669999994105,37,36,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,38,Familiar,4,NA,NA,NA,NA,38,3,23,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,39,Familiar,28,NA,NA,NA,NA,39,23,12,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,40,Know,9,MEGAN,BETTY,false,6252.16500001261,40,6,4,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,41,Know,7,JENNIFER,BETTY,false,2613.7549999984913,41,2,25,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,42,Familiar,16,NA,NA,NA,NA,42,20,8,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,43,Know,30,MARY,BETTY,false,2581.9699999992736,43,9,27,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,44,Familiar,27,NA,NA,NA,NA,44,15,28,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,45,Know,32,HANNAH,HANNAH,true,2527.994999982184,45,4,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,46,Familiar,12,NA,NA,NA,NA,46,33,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,47,Familiar,20,NA,NA,NA,NA,47,22,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,48,Know,10,BETTY,SUSNA,false,4851.599999994505,48,17,35,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,49,Familiar,20,NA,NA,NA,NA,49,12,2,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,50,Know,10,BETTY,BETTY,true,21374.929999990854,50,25,31,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,51,Know,18,EMILY,SUSAN,false,35861.63499997929,51,32,9,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,52,Familiar,27,NA,NA,NA,NA,52,1,17,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,53,Familiar,4,NA,NA,NA,NA,53,27,21,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,54,Know,7,JENNIFER,SUSAN,false,5522.454999998445,54,10,7,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,55,Familiar,13,NA,NA,NA,NA,55,24,32,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,56,Familiar,12,NA,NA,NA,NA,56,28,13,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,57,Know,9,MEGAN,STEPHANIE,false,11273.649999988265,57,18,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,58,Familiar,29,NA,NA,NA,NA,58,19,11,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,59,Familiar,22,NA,NA,NA,NA,59,8,5,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,60,Know,32,HANNAH,HANNAH,true,1757.77000002563,60,7,26,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,61,Know,33,MADISON,MADISON,true,6404.110000003129,61,14,24,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,62,Familiar,8,NA,NA,NA,NA,62,31,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,63,Know,21,SARAH,STEPHANIE,false,8970.600000000559,63,29,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,64,Familiar,24,NA,NA,NA,NA,64,11,19,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,65,Know,34,STEPHANIE,STEPHANIE,true,3994.5699999807402,65,34,15,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,66,Know,15,GRACE,GRACE,true,2622.380000015255,66,35,1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,67,Familiar,16,NA,NA,NA,NA,67,5,34,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,68,Familiar,28,NA,NA,NA,NA,68,16,18,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,69,Know,36,MARGARET,MARGARET,true,12324.559999979101,69,13,33,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,70,Know,17,BRITTANY,BRITTANY,true,11477.47499999241,70,26,16,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,71,Familiar,23,NA,NA,NA,NA,71,30,14,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,72,Know,30,MARY,BETTY,false,3217.9500000202097,72,21,20,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,73,Familiar,24,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,74,Familiar,13,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,75,Know,10,BETTY,BETTY,true,2115.4399999941234,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,76,Know,21,SARAH,SARAH,true,2588.2350000028964,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,77,Familiar,4,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,78,Know,15,GRACE,GRACE,true,2177.3449999745935,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,79,Know,30,MARY,MARY,true,5445.754999993369,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,80,Familiar,27,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,81,Know,32,HANNAH,HANNAH,true,1703.3550000051036,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,82,Know,9,MEGAN,EMILY,false,9345.314999984112,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,83,Familiar,22,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,84,Familiar,28,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,85,Know,34,STEPHANIE,STEPHANIE,true,8278.219999978319,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,86,Familiar,20,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,87,Know,7,JENNIFER,EMILY,false,15443.045000021812,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,88,Know,33,MADISON,SUSAN,false,12979.010000010021,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,89,Familiar,12,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,90,Familiar,16,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,91,Know,17,BRITTANY,BRITTANY,true,2873.82500001695,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,92,Familiar,29,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,93,Know,36,MARGARET,MARGARET,true,3907.280000013998,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,94,Know,18,EMILY,JENNIFER,false,9845.139999990351,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,95,Familiar,23,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
oybv2dwpsu,undefined,undefined,undefined,undefined,96,Familiar,8,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
