SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
ozj0k51tuv,8f0o1dn30g,Sun Oct 25 2020 22:29:50 GMT-0500 (Central Daylight Time),2020-10-25,22:29:50,1,Know,2,REBECCA,REBECCA,true,3388.5000000009313,1,13,32,0,1,17,8,0,1,0,1387.5199999893084,22:51:13,120201.27499999944,62362.10499997833,
ozj0k51tuv,undefined,undefined,undefined,undefined,2,Familiar,22,NA,NA,NA,NA,2,18,33,2,2,2,27,0,1,1,916.2500000093132,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,3,Familiar,15,NA,NA,NA,NA,3,23,14,1,3,16,32,1,0,1,917.3099999898113,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,4,Know,23,BRITTANY,BRITANNY,false,2974.2649999971036,4,7,19,0,4,6,36,1,2,1,441.8700000096578,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,5,Know,32,EMILY,EMILY,true,2748.0349999968894,5,11,9,0,5,12,2,0,0,0,511.3450000062585,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,6,Familiar,19,NA,NA,NA,NA,6,2,27,1,6,21,13,0,2,0,758.254999993369,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,7,Know,17,MARGARET,MARGARET,true,3157.4849999742582,7,16,23,0,7,13,23,1,0,1,1092.9349999933038,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,8,Familiar,3,NA,NA,NA,NA,8,21,13,2,8,22,1,0,0,0,1189.6249999990687,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,9,Know,20,BETTY,BETTY,true,2730.9299999906216,9,4,26,2,9,18,33,0,2,1,1344.730000011623,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,10,Familiar,35,NA,NA,NA,NA,10,3,35,0,10,33,15,1,2,1,453.9199999999255,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,11,Familiar,12,NA,NA,NA,NA,11,17,8,1,11,14,9,1,0,0,446.605000004638,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,12,Know,29,HAZEL,HAZEL,true,2532.229999982519,12,5,11,2,12,29,10,0,1,0,343.53499999269843,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,13,Know,25,RACHEL,RACHEAL,false,3062.4749999842606,13,9,6,1,13,11,25,1,0,0,417.05499999807216,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,14,Familiar,7,NA,NA,NA,NA,14,35,21,0,14,31,22,0,2,0,338.14500001608394,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,15,Know,26,LISA,LISA,true,1751.4150000060908,15,14,25,0,15,35,21,0,0,0,287.6350000151433,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,16,Know,9,COURTNEY,COURTNEY,true,2615.480000007665,16,20,3,1,16,15,34,0,0,0,886.224999994738,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,17,Familiar,30,NA,NA,NA,NA,17,26,31,1,17,1,31,1,1,1,427.86500000511296,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,18,Know,24,JENNIFER,JENNIFER,true,3017.1599999885075,18,34,12,2,18,23,14,0,1,0,384.8299999954179,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,19,Know,28,GRACE,GRACE,true,2628.419999993639,19,33,36,2,19,10,7,0,2,1,666.5649999922607,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,20,Familiar,13,NA,NA,NA,NA,20,28,17,1,20,36,16,1,2,0,417.10500000044703,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,21,Familiar,16,NA,NA,NA,NA,21,15,34,0,21,26,30,1,1,1,408.6349999997765,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,22,Know,1,ALEXIS,ALEXIS,true,2551.6499999794178,22,32,20,1,22,20,3,0,1,0,416.90000001108274,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,23,Familiar,11,NA,NA,NA,NA,23,24,24,1,23,24,17,1,1,1,1059.6800000057556,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,24,Familiar,14,NA,NA,NA,NA,24,31,22,2,24,28,24,1,1,0,470.56500002508983,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,25,Know,1,ALEXIS,ALEXIS,true,2793.1249999965075,25,10,7,2,25,32,20,0,1,1,761.3550000241958,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,26,Familiar,22,NA,NA,NA,NA,26,25,4,1,26,7,28,1,0,0,294.51000000699423,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,27,Know,9,COURTNEY,MARGARET,false,4041.3050000206567,27,1,30,1,27,19,18,0,0,0,384.2700000095647,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,28,Familiar,16,NA,NA,NA,NA,28,22,1,0,28,27,29,0,2,0,351.35000001173466,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,29,Familiar,30,NA,NA,NA,NA,29,36,5,2,29,8,5,1,2,0,350.9699999995064,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,30,Know,28,GRACE,MARGARET,false,4433.339999988675,30,19,18,0,30,30,19,1,0,0,464.05999999842606,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,31,Familiar,15,NA,NA,NA,NA,31,6,15,2,31,25,6,1,1,0,527.0500000042375,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,32,Familiar,13,NA,NA,NA,NA,32,27,29,2,32,9,4,1,1,0,680.0250000087544,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,33,Know,25,RACHEL,LISA,false,2185.0700000068173,33,29,10,1,33,4,11,1,2,0,346.22499998658895,undefined,undefined,undefined,
ozj0k51tuv,undefined,undefined,undefined,undefined,34,Familiar,35,NA,NA,NA,NA,34,8,16,2,34,3,35,0,0,0,1347.6450000016484,undefined,undefined,undefined,
