SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
q4rnszbmw0,5a29kudnup,Sun Nov 29 2020 13:13:13 GMT-0600 (Central Standard Time),2020-11-29,13:13:13,1,Familiar,13,NA,NA,NA,NA,1,6,1,1,1,34,8,1,1,1,2118.140000035055,13:33:22,121060.82000001334,63306.08000000939,
q4rnszbmw0,undefined,undefined,undefined,undefined,2,Familiar,2,NA,NA,NA,NA,2,9,24,2,2,13,3,0,0,0,967.4850000301376,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,3,Know,20,ALEXIS,ALEXIS,true,2320.8050000248477,3,34,5,1,3,16,16,0,2,0,867.9500001017004,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,4,Familiar,11,NA,NA,NA,NA,4,23,25,2,4,25,33,0,1,1,1316.8099999893457,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,5,Know,33,BETTY,BETTY,true,1783.8400000473484,5,4,8,1,5,32,29,0,0,0,944.4149999180809,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,6,Know,28,MARY,MARY,true,2153.6700000287965,6,27,2,1,6,35,22,0,0,0,1541.164999944158,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,7,Familiar,32,NA,NA,NA,NA,7,21,30,2,7,27,2,0,1,1,995.5400000326335,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,8,Know,25,LAUREN,LAUREN,true,1509.1600000159815,8,14,9,1,8,2,11,0,0,0,1593.5949999839067,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,9,Know,3,VICTORIA,VICTORIA,true,1840.5849999981,9,5,36,0,9,24,18,0,0,0,1383.559999987483,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,10,Familiar,35,NA,NA,NA,NA,10,15,26,0,10,17,17,0,2,0,1586.079999920912,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,11,Know,27,PATRICIA,PATRICIA,true,1804.8999999882653,11,28,7,1,11,4,5,1,1,1,1399.6299999998882,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,12,Know,6,MADISON,MADISON,true,1548.9899999229237,12,31,6,1,12,5,4,1,0,1,1390.6549999956042,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,13,Familiar,24,NA,NA,NA,NA,13,18,21,2,13,21,30,0,2,0,1109.1849999502301,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,14,Know,31,HANNAH,HANNAH,true,1571.1900000460446,14,12,10,1,14,20,20,0,1,1,1158.3450000034645,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,15,Know,12,ASHLEY,ASHLEY,true,1342.9550000000745,15,16,16,2,15,33,14,0,1,0,1558.504999964498,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,16,Familiar,5,NA,NA,NA,NA,16,13,3,0,16,8,21,1,2,0,1054.3599999509752,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,17,Familiar,7,NA,NA,NA,NA,17,1,23,2,17,26,36,1,0,1,610.3199999779463,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,18,Know,34,ALYSSA,ALYSSA,true,1403.1749999849126,18,29,12,2,18,18,28,1,2,1,1528.995000058785,undefined,undefined,undefined,
q4rnszbmw0,undefined,undefined,undefined,undefined,19,Familiar,30,NA,NA,NA,NA,19,35,22,0,19,11,15,0,0,1,1612.3199999565259,undefined,undefined,undefined,
