SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
sn81a8lrxx,rl14wb76b6,Sat Nov 21 2020 12:12:27 GMT-0800 (PST),2020-11-21,12:12:27,1,Know,5,HANNAH,HANNAH ,false,4988,1,1,20,0,1,36,30,1,1,0,2604.000000000233,12:33:31,122332,60254,
sn81a8lrxx,undefined,undefined,undefined,undefined,2,Know,2,GRACE,GRACE,true,3023,2,25,32,1,2,22,33,0,0,0,1372,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,3,Familiar,4,NA,NA,NA,NA,3,34,1,1,3,9,6,0,0,1,1086,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,4,Know,24,REBECCA,REBECCA,true,2619.999999999971,4,33,3,0,4,8,27,1,1,1,1070,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,5,Familiar,22,NA,NA,NA,NA,5,11,19,2,5,12,16,1,0,1,1407,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,6,Familiar,20,NA,NA,NA,NA,6,3,24,2,6,30,2,0,2,1,1284,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,7,Know,29,STEPHANIE,STEPHANIE ,false,4513,7,27,25,1,7,32,34,0,2,1,989,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,8,Familiar,9,NA,NA,NA,NA,8,30,2,2,8,14,17,1,0,0,2244.999999999767,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,9,Familiar,33,NA,NA,NA,NA,9,6,36,1,9,21,19,1,2,0,1961,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,10,Know,6,KAREN,KAREN,true,2393.999999999971,10,8,30,1,10,19,14,0,2,0,997,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,11,Know,27,SAMANTHA,SAMANTHA,true,2337,11,7,7,2,11,29,29,0,1,1,760,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,12,Familiar,31,NA,NA,NA,NA,12,2,35,1,12,11,18,1,2,1,1814.0000000002328,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,13,Familiar,14,NA,NA,NA,NA,13,26,11,0,13,26,9,1,0,1,3160,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,14,Know,10,LAUREN,LAUREN ,false,3527,14,5,5,1,14,3,7,1,2,0,1443,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,15,Familiar,23,NA,NA,NA,NA,15,15,12,2,15,34,32,1,1,0,1240,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,16,Familiar,12,NA,NA,NA,NA,16,16,15,2,16,7,24,1,2,0,1519,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,17,Know,8,BRITTANY,BRITTANY,true,3575.000000000029,17,13,21,1,17,16,15,0,2,1,4195,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,18,Familiar,26,NA,NA,NA,NA,18,20,8,0,18,27,25,0,1,0,2740.000000000233,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,19,Familiar,18,NA,NA,NA,NA,19,24,10,1,19,35,22,1,2,0,1297,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,20,Know,25,RACHEL,RACHEL,true,2295,20,23,26,0,20,15,12,0,2,1,2430.999999999767,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,21,Know,36,EMILY,EMILY,true,1945.999999999971,21,10,4,1,21,18,11,1,0,0,1114,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,22,Familiar,1,NA,NA,NA,NA,22,4,31,0,22,6,36,0,1,1,1762.9999999997672,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,23,Know,34,SARAH,SARAH,true,3804,23,22,33,0,23,17,28,0,2,0,1695,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,24,Know,13,ASHLEY,ASHLEY,true,2170,24,21,18,2,24,28,13,1,2,0,2248,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,25,Familiar,20,NA,NA,NA,NA,25,18,9,0,25,1,26,1,0,0,1905.9999999997672,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,26,Know,27,SAMANTHA,GRACE,false,9719,26,19,14,2,26,4,31,0,0,1,2117.000000000233,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,27,Familiar,33,NA,NA,NA,NA,27,35,13,2,27,25,1,1,1,1,656,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,28,Know,34,SARAH,REBECCA,false,3449,28,14,16,0,28,2,35,0,1,0,1229,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,29,Familiar,18,NA,NA,NA,NA,29,9,6,0,29,31,23,0,0,1,1695,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,30,Know,5,HANNAH,KAREN,false,2575.000000000058,30,17,28,2,30,5,5,0,1,0,1348,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,31,Familiar,9,NA,NA,NA,NA,31,29,29,1,31,20,8,0,0,0,1029.9999999997672,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,32,Familiar,26,NA,NA,NA,NA,32,31,23,0,32,33,3,0,0,0,919,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,33,Know,13,ASHLEY,SRAH,false,6070,33,12,17,0,33,24,10,0,1,0,1580.9999999997672,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,34,Familiar,1,NA,NA,NA,NA,34,36,27,1,34,10,21,1,1,0,1128.9999999997672,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,35,Know,36,EMILY,REBECCA,false,3506,35,32,34,2,35,23,20,1,0,0,990,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,36,Familiar,12,NA,NA,NA,NA,36,28,22,2,36,13,4,1,1,0,1816,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,37,Know,24,REBECCA,REBECCA,true,3139.999999999942,37,12,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,38,Know,25,RACHEL,ASHLEY,false,5238,38,5,5,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,39,Familiar,4,NA,NA,NA,NA,39,34,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,40,Know,6,KAREN,KAREN,true,3351,40,16,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,41,Know,2,GRACE,EMILY,false,2976,41,4,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,42,Familiar,22,NA,NA,NA,NA,42,9,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,43,Familiar,14,NA,NA,NA,NA,43,13,21,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,44,Know,10,LAUREN,RACHEL,false,3712.000000000058,44,33,3,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,45,Know,29,STEPHANIE,EMILY,false,4097,45,6,36,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,46,Familiar,31,NA,NA,NA,NA,46,15,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,47,Familiar,23,NA,NA,NA,NA,47,22,33,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,48,Know,8,BRITTANY,EMILY,false,7222,48,23,26,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,49,Familiar,33,NA,NA,NA,NA,49,8,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,50,Know,8,BRITTANY,STEPHANIE,false,7221,50,30,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,51,Know,36,EMILY,LAUREN,false,4716,51,19,14,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,52,Familiar,4,NA,NA,NA,NA,52,10,4,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,53,Know,29,STEPHANIE,STEPHANIE,true,4911,53,35,13,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,54,Know,2,GRACE,GRACE,true,2381,54,27,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,55,Familiar,18,NA,NA,NA,NA,55,3,24,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sn81a8lrxx,undefined,undefined,undefined,undefined,56,Know,34,SARAH,EMILY,false,5175,56,26,11,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
