SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
t2r0bhscbd,wojxtngtxy,Sat Oct 10 2020 23:24:20 GMT-0500 (Central Daylight Time),2020-10-10,23:24:20,1,Familiar,21,NA,NA,NA,NA,1,2,12,1,1,22,8,1,2,0,2295.1049999974202,23:45:36,121722.71499998169,62512.630000011995,
t2r0bhscbd,undefined,undefined,undefined,undefined,2,Familiar,9,NA,NA,NA,NA,2,17,17,0,2,25,13,1,0,0,1822.39000001573,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,3,Know,10,SOFIA,SOFIA,true,3424.685000005411,3,12,7,0,3,5,2,0,2,0,883.3049999957439,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,4,Familiar,12,NA,NA,NA,NA,4,10,6,1,4,26,5,0,2,1,1168.0599999963306,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,5,Know,34,COURTNEY,COURTNEY,true,3181.6950000065845,5,4,30,1,5,23,34,1,0,1,2937.4100000131875,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,6,Know,19,MEGAN,MEGAN,true,2368.4599999978673,6,15,36,2,6,34,28,0,1,1,1778.279999998631,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,7,Familiar,8,NA,NA,NA,NA,7,19,9,1,7,33,17,1,0,1,1365.510000003269,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,8,Familiar,31,NA,NA,NA,NA,8,7,22,2,8,1,12,1,1,1,4192.619999987073,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,9,Know,16,LAUREN,LAUREN,true,2558.145000017248,9,31,24,0,9,30,11,0,0,0,1439.4350000075065,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,10,Know,32,SARAH,SARAH,true,1280.1399999880232,10,9,1,0,10,2,10,1,1,1,2247.304999997141,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,11,Familiar,30,NA,NA,NA,NA,11,18,23,1,11,6,4,1,2,0,973.9600000029895,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,12,Know,27,CHLOE,CHLOE,true,2919.545000011567,12,13,18,2,12,28,27,1,1,1,2764.6999999997206,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,13,Know,4,LISA,LISA,true,1110.3500000026543,13,36,27,1,13,7,22,0,2,0,1312.8999999898952,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,14,Familiar,25,NA,NA,NA,NA,14,34,28,1,14,10,6,0,1,0,1121.549999981653,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,15,Know,2,SAMANTHA,SAMANTHA,true,2319.8049999773502,15,35,29,0,15,36,25,1,1,0,953.5899999900721,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,16,Familiar,17,NA,NA,NA,NA,16,26,5,2,16,31,24,0,0,0,1569.6100000059232,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,17,Familiar,35,NA,NA,NA,NA,17,29,15,2,17,21,21,0,0,1,784.7100000071805,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,18,Know,28,JESSICA,JESSICA,true,1532.885000022361,18,8,26,0,18,17,14,1,0,0,550.1300000178162,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,19,Familiar,23,NA,NA,NA,NA,19,16,33,1,19,18,30,1,1,1,832.300000009127,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,20,Familiar,14,NA,NA,NA,NA,20,1,10,1,20,16,33,0,1,0,576.1599999968894,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,21,Know,36,GRACE,GRACE,true,3789.170000003651,21,24,35,2,21,15,3,1,2,1,785.9799999860115,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,22,Familiar,33,NA,NA,NA,NA,22,23,13,0,22,4,23,1,1,0,621.4650000038091,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,23,Know,18,MADISON,MADISON,true,2040.869999997085,23,11,20,2,23,3,36,1,2,0,547.2149999986868,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,24,Know,1,KAYLA,KAYLA,true,2790.0900000240654,24,33,14,0,24,12,7,0,0,0,1201.6500000027008,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,25,Familiar,9,NA,NA,NA,NA,25,27,31,1,25,27,31,0,1,1,567.3949999909382,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,26,Know,34,COURTNEY,SARAH,false,8606.729999999516,26,3,3,2,26,9,1,0,0,1,575.9649999963585,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,27,Familiar,14,NA,NA,NA,NA,27,20,32,2,27,32,16,0,1,0,484.53499999595806,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,28,Know,19,MEGAN,KAYLA,false,3880.265000014333,28,28,25,1,28,14,29,1,0,1,1542.4300000013318,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,29,Familiar,12,NA,NA,NA,NA,29,21,21,0,29,24,15,1,2,1,1124.6550000214484,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,30,Familiar,17,NA,NA,NA,NA,30,5,2,2,30,29,35,1,2,1,1369.539999985136,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,31,Know,27,CHLOE,SAMANTHA,false,6784.31499999715,31,25,34,0,31,13,18,0,2,0,683.0950000148732,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,32,Know,16,LAUREN,KAYLA,false,4078.2300000137184,32,14,19,0,32,11,20,0,2,0,660.169999988284,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,33,Familiar,8,NA,NA,NA,NA,33,6,8,2,33,35,19,1,0,0,599.3350000062492,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,34,Familiar,33,NA,NA,NA,NA,34,30,11,0,34,19,9,0,1,0,621.9699999783188,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,35,Know,2,SAMANTHA,KAYLA,false,3608.799999987241,35,32,16,1,35,8,26,0,0,1,910.9250000037719,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,36,Know,28,JESSICA,GRACE,false,2290.37000000244,36,22,4,2,36,20,32,0,2,1,1507.6150000095367,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,37,Familiar,35,NA,NA,NA,NA,37,35,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,38,Familiar,21,NA,NA,NA,NA,38,31,24,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,39,Know,10,SOFIA,SARAH,false,7413.669999979902,39,32,16,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,40,Know,32,SARAH,SARAH,true,2714.345000014873,40,11,20,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,41,Familiar,23,NA,NA,NA,NA,41,21,21,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,42,Familiar,25,NA,NA,NA,NA,42,10,6,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,43,Know,36,GRACE,GRACE,true,3243.240000010701,43,4,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,44,Know,18,MADISON,SAMANTHA,false,21780.4199999955,44,20,32,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,45,Familiar,30,NA,NA,NA,NA,45,23,13,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,46,Familiar,31,NA,NA,NA,NA,46,2,12,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,47,Know,4,LISA,LISA,true,3112.9999999830034,47,5,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,48,Know,1,KAYLA,KAYLA,true,3864.430000016,48,26,5,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,49,Familiar,23,NA,NA,NA,NA,49,8,26,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,50,Know,28,JESSICA,JESSICA,true,9261.184999981197,50,19,9,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,51,Familiar,31,NA,NA,NA,NA,51,18,23,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,52,Familiar,8,NA,NA,NA,NA,52,17,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,53,Know,34,COURTNEY,CHLOE,false,5584.869999991497,53,1,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,54,Know,2,SAMANTHA,KAYLA,false,2213.8400000112597,54,13,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,55,Familiar,35,NA,NA,NA,NA,55,34,28,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,56,Know,36,GRACE,GRACE,true,2707.330000004731,56,25,34,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,57,Know,18,MADISON,JESSICA,false,5748.569999996107,57,33,14,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,58,Familiar,21,NA,NA,NA,NA,58,28,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,59,Familiar,33,NA,NA,NA,NA,59,29,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,60,Know,10,SOFIA,SOFIA,true,2295.9499999997206,60,22,4,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,61,Familiar,30,NA,NA,NA,NA,61,27,31,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
t2r0bhscbd,undefined,undefined,undefined,undefined,62,Familiar,14,NA,NA,NA,NA,62,12,7,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
