SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
w2ojncoqzx,94a0gjmn0g,Sat Nov 21 2020 16:15:42 GMT-0600 (Central Standard Time),2020-11-21,16:15:42,1,Familiar,34,NA,NA,NA,NA,1,6,31,0,1,27,4,0,1,1,2386.0899999854155,16:34:49,120323.42999998946,61399.30999997887,
w2ojncoqzx,undefined,undefined,undefined,undefined,2,Familiar,24,NA,NA,NA,NA,2,14,36,0,2,24,35,0,0,0,1051.0400000202935,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,3,Know,35,SOFIA,SOFIA,true,2250.004999979865,3,12,30,1,3,17,14,0,2,0,1360.3250000160187,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,4,Know,12,STEPHANIE,STEPHANIE,true,3203.8699999975506,4,25,29,2,4,3,16,0,0,0,803.940000012517,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,5,Familiar,14,NA,NA,NA,NA,5,18,3,2,5,14,36,0,0,0,3268.565000005765,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,6,Familiar,31,NA,NA,NA,NA,6,9,18,0,6,4,27,1,0,1,1101.6099999833386,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,7,Know,20,BRITTANY,BRITTANY,true,1720.8600000012666,7,5,2,2,7,8,6,0,2,1,585.705000004964,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,8,Know,30,NICOLE,NICOLE,true,2330.405000015162,8,17,14,2,8,10,25,1,2,1,1861.1950000049546,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,9,Familiar,3,NA,NA,NA,NA,9,13,10,1,9,21,9,1,0,1,845.0250000169035,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,10,Familiar,6,NA,NA,NA,NA,10,15,21,0,10,28,33,1,2,1,759.9000000045635,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,11,Know,27,ALEXIS,ALEXIS,true,1480.0049999903422,11,35,22,1,11,13,19,1,1,0,664.8500000010245,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,12,Know,32,ELIZABETH,ELIZABETH,true,2421.1749999958556,12,36,8,2,12,1,10,1,1,1,2477.375000016764,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,13,Familiar,15,NA,NA,NA,NA,13,4,9,0,13,31,34,0,0,1,2241.3099999830592,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,14,Know,19,ASHLEY,ASHLEY,true,1624.1750000044703,14,24,35,0,14,29,20,1,1,1,640.8550000051036,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,15,Familiar,11,NA,NA,NA,NA,15,8,6,2,15,25,29,0,2,0,1859.7249999875203,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,16,Familiar,4,NA,NA,NA,NA,16,11,7,0,16,26,28,1,1,0,593.7300000223331,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,17,Know,13,AUDREY,AUDREY,true,1585.350000008475,17,29,28,1,17,30,12,0,1,0,579.859999998007,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,18,Familiar,9,NA,NA,NA,NA,18,23,24,2,18,22,23,1,1,1,1935.475000005681,undefined,undefined,undefined,
w2ojncoqzx,undefined,undefined,undefined,undefined,19,Know,22,REBECCA,REBECCA,true,1324.5549999992363,19,31,34,0,19,9,21,1,0,1,1933.5300000093412,undefined,undefined,undefined,
