SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
yy9gfdlplj,qxt2b5lezt,Mon Nov 23 2020 16:48:51 GMT-0600 (Central Standard Time),2020-11-23,16:48:51,1,Know,8,ELIZABETH,ELIZABETH,true,3531.829999992624,1,27,25,1,1,11,35,1,0,1,1299.0550000104122,17:8:58,122670.19000003347,60479.43000000669,
yy9gfdlplj,undefined,undefined,undefined,undefined,2,Know,30,ALEXIS,ALEXIS,true,2039.7699999739416,2,34,20,1,2,29,23,0,2,1,1461.8699999991804,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,3,Familiar,25,NA,NA,NA,NA,3,15,16,2,3,19,18,1,0,1,2245.030000049155,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,4,Know,28,BRITTANY,BRITTANY,true,3867.934999987483,4,31,15,0,4,21,17,0,0,0,1178.2249999814667,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,5,Know,16,EMILY,EMILY,true,1336.5099999937229,5,4,14,0,5,6,2,1,1,1,865.6849999679253,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,6,Familiar,1,NA,NA,NA,NA,6,35,1,1,6,24,11,1,1,1,471.6950000147335,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,7,Familiar,21,NA,NA,NA,NA,7,30,13,1,7,23,14,1,0,0,1074.9249999644235,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,8,Know,7,KAREN,KAREN,true,1560.4699999676086,8,20,29,0,8,4,9,1,0,0,1065.2700000209734,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,9,Familiar,22,NA,NA,NA,NA,9,13,27,2,9,7,3,0,1,0,678.9649999700487,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,10,Know,32,MEGAN,MEGAN,true,1419.419999991078,10,14,33,2,10,5,21,0,2,0,462.1449999976903,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,11,Familiar,18,NA,NA,NA,NA,11,21,17,0,11,20,7,1,0,1,1154.1050000232644,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,12,Familiar,31,NA,NA,NA,NA,12,7,3,1,12,13,34,1,2,1,1192.2799999592826,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,13,Know,33,ALYSSA,ALYSS,false,1416.4549999986775,13,18,12,0,13,33,25,1,1,0,890.2099999831989,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,14,Familiar,11,NA,NA,NA,NA,14,5,21,2,14,10,8,0,2,0,951.0299999965355,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,15,Familiar,19,NA,NA,NA,NA,15,36,19,2,15,12,27,1,2,0,958.4000000031665,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,16,Know,27,COURTNEY,COURTNEY,true,1930.110000015702,16,2,7,0,16,31,15,0,0,0,600.8650000439957,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,17,Know,35,NANCY,NANCY,true,1391.1800000350922,17,22,36,0,17,14,33,0,2,0,978.7600000272505,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,18,Familiar,4,NA,NA,NA,NA,18,3,28,2,18,30,13,0,1,0,745.5399999744259,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,19,Know,34,STEPHANIE,STEPHANIE,true,1662.0600000023842,19,24,2,1,19,36,16,1,2,0,1079.2299999739043,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,20,Know,6,HAZEL,HAZEL,true,1607.4150000349618,20,28,26,1,20,27,32,1,1,1,824.1249999846332,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,21,Familiar,20,NA,NA,NA,NA,21,9,6,2,21,15,19,1,2,1,990.505000052508,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,22,Familiar,23,NA,NA,NA,NA,22,32,30,1,22,35,20,1,1,0,1151.9200000329874,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,23,Know,24,AUDREY,AUDREY,true,1725.6250000209548,23,1,5,0,23,8,4,0,1,0,733.1700000213459,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,24,Familiar,2,NA,NA,NA,NA,24,6,11,1,24,32,30,0,1,0,1174.9450000352226,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,25,Familiar,20,NA,NA,NA,NA,25,23,9,0,25,28,26,0,1,1,930.129999993369,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,26,Know,24,AUDREY,KAREN,false,3662.415000027977,26,17,22,2,26,22,36,0,0,0,959.8049999913201,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,27,Know,28,BRITTANY,BRITTANY,true,2598.0949999648146,27,25,24,0,27,2,29,1,0,1,1242.8400000208057,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,28,Familiar,21,NA,NA,NA,NA,28,16,10,1,28,9,28,1,2,0,1065.694999997504,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,29,Know,6,HAZEL,KAREN,false,2893.530000001192,29,29,23,2,29,18,12,0,0,0,538.1249999627471,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,30,Know,7,KAREN,ALYSSA,false,3656.9799999706447,30,19,35,0,30,25,24,0,0,0,537.0349999866448,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,31,Familiar,31,NA,NA,NA,NA,31,10,8,2,31,34,1,1,1,0,677.1050000097603,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,32,Familiar,23,NA,NA,NA,NA,32,8,4,1,32,16,10,0,1,0,522.1850000089034,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,33,Know,32,MEGAN,ALYSSA,false,4456.585000036284,33,26,31,2,33,1,5,0,0,0,430.9749999665655,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,34,Familiar,25,NA,NA,NA,NA,34,12,34,2,34,3,6,1,2,1,1906.3049999531358,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,35,Familiar,2,NA,NA,NA,NA,35,33,32,1,35,26,31,0,2,1,3247.975000005681,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,36,Know,30,ALEXIS,COURTNEY,false,4080.9050000389107,36,11,18,0,36,17,22,0,2,0,902.9699999955483,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,37,Familiar,11,NA,NA,NA,NA,37,35,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,38,Familiar,4,NA,NA,NA,NA,38,25,24,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,39,Know,8,ELIZABETH,COURTNEY,false,4726.185000035912,39,5,21,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,40,Know,35,NANCY,COURTNEY,false,2448.369999998249,40,30,13,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,41,Familiar,22,NA,NA,NA,NA,41,31,15,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,42,Familiar,18,NA,NA,NA,NA,42,17,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,43,Know,27,COURTNEY,COURTNEY,true,1859.6250000409782,43,6,11,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,44,Know,34,STEPHANIE,EMILY,false,3193.8199999858625,44,12,34,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,45,Familiar,1,NA,NA,NA,NA,45,27,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,46,Know,16,EMILY,KAREN,false,8175.7050000014715,46,2,7,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,47,Familiar,19,NA,NA,NA,NA,47,10,8,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,48,Know,33,ALYSSA,ALYSSA,true,9568.35499999579,48,13,27,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,49,Familiar,31,NA,NA,NA,NA,49,20,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,50,Familiar,21,NA,NA,NA,NA,50,29,23,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,51,Know,6,HAZEL,BRITTANY,false,3295.734999992419,51,22,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
yy9gfdlplj,undefined,undefined,undefined,undefined,52,Know,27,COURTNEY,MEGAN,false,3271.690000023227,52,26,31,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
