SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
zurbd4xejv,ltc3jx179x,Wed Oct 07 2020 23:59:55 GMT-0500 (Central Daylight Time),2020-10-7,23:59:55,1,Know,12,LISA,LISA,true,7260.790000203997,1,2,14,1,1,34,8,0,2,0,2940.415000077337,0:22:13,123378.30500025302,64072.72500032559,
zurbd4xejv,undefined,undefined,undefined,undefined,2,Know,36,NICOLE,NICOLE,true,6997.630000114441,2,12,35,1,2,12,35,0,1,0,1066.1399997770786,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,3,Familiar,25,NA,NA,NA,NA,3,13,23,0,3,19,13,1,2,1,6315.119999926537,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,4,Know,32,AUDREY,AUDREY,true,5791.000000201166,4,5,22,2,4,20,17,1,2,1,1700.0850001350045,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,5,Familiar,1,NA,NA,NA,NA,5,14,2,1,5,7,7,1,2,1,1164.3250002525747,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,6,Familiar,21,NA,NA,NA,NA,6,7,33,2,6,9,25,0,2,1,4422.809999901801,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,7,Know,27,MARGARET,MARGARET,true,4506.010000128299,7,8,18,1,7,29,4,1,0,1,1273.1650001369417,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,8,Familiar,23,NA,NA,NA,NA,8,24,12,0,8,31,10,1,1,1,1115.359999705106,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,9,Know,6,BRIANNA,BRIANNA,true,5118.995000142604,9,30,10,1,9,36,32,0,1,0,1444.6350000798702,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,10,Familiar,13,NA,NA,NA,NA,10,29,15,0,10,35,15,1,0,1,1125.2999999560416,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,11,Familiar,18,NA,NA,NA,NA,11,6,19,1,11,15,33,1,2,1,2410.3650003671646,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,12,Know,26,EMILY,EMILY,true,2718.505000229925,12,15,7,2,12,30,31,1,1,1,2913.8100002892315,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,13,Know,2,VICTORIA,VICTORIA,true,3979.1149999946356,13,27,27,1,13,27,27,0,1,0,1633.6799999698997,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,14,Familiar,29,NA,NA,NA,NA,14,11,9,2,14,6,19,0,1,0,945.8499997854233,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,15,Know,10,GRACE,GRACE,true,2749.9599996954203,15,3,21,0,15,21,36,0,0,0,1602.760000154376,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,16,Know,14,BETTY,BETTY,true,2424.064999911934,16,18,16,0,16,26,5,0,1,0,911.3349998369813,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,17,Familiar,16,NA,NA,NA,NA,17,22,1,2,17,25,24,0,0,0,4212.809999939054,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,18,Familiar,24,NA,NA,NA,NA,18,28,3,0,18,14,28,1,1,1,1153.5749998874962,undefined,undefined,undefined,
zurbd4xejv,undefined,undefined,undefined,undefined,19,Know,8,MARY,MARY,true,2703.1600000336766,19,19,17,2,19,11,20,1,2,1,3083.680000156164,undefined,undefined,undefined,
